対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名	分類	採算科目名_経費合計
202607	006000000	1	総受注高	15500000.0	14782100.0	14929391.0		100.9	96.3	イノチオ農芸㈱	受注	
202607	006000000	2	総売上高	15500000.0	14782100.0	14929391.0		100.9	96.3	イノチオ農芸㈱		
202607	006000000	3	売上高	12020000.0	10000000.0	10016182.0	67.0	100.1	83.3	イノチオ農芸㈱	売上	
202607	006000000	4	グループ売上高	3480000.0	4782100.0	4913209.0	32.9	102.7	141.1	イノチオ農芸㈱	売上	
202607	006000000	5	社内売上高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	売上	
202607	006000000	7	販売奨励金	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	売上	
202607	006000000	8	売上原価	150000.0	150000.0	119800.0	0.8	79.8	79.8	イノチオ農芸㈱		
202607	006000000	9	仕入高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱		
202607	006000000	10	グループ仕入高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱		
202607	006000000	11	社内仕入高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱		
202607	006000000	12	荷造運搬費	150000.0	150000.0	119800.0	0.8	79.8	79.8	イノチオ農芸㈱		
202607	006000000	13	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱		
202607	006000000	14	総収益	15350000.0	14632100.0	14809591.0	99.1	101.2	96.4	イノチオ農芸㈱		
202607	006000000	15	経費合計	20255800.0	16715427.0	17187082.0	115.1	102.8	84.8	イノチオ農芸㈱		
202607	006000000	16	経費合計（原価）	18699400.0	15140926.0	15650368.0	104.8	103.3	83.6	イノチオ農芸㈱		
202607	006000000	17	種苗費*	14534000.0	11590860.0	12304860.0	82.4	106.1	84.6	イノチオ農芸㈱	経費	種苗費*
202607	006000000	18	肥料費*	300000.0	150000.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	肥料費*
202607	006000000	19	培土費用*	20000.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	培土費用*
202607	006000000	20	農薬衛生費*	745000.0	755000.0	834488.0	5.5	110.5	112.0	イノチオ農芸㈱	経費	農薬衛生費*
202607	006000000	21	農具費*	644000.0	319000.0	276008.0	1.8	86.5	42.8	イノチオ農芸㈱	経費	農具費*
202607	006000000	22	諸材料費*	413000.0	213000.0	184432.0	1.2	86.5	44.6	イノチオ農芸㈱	経費	諸材料費*
202607	006000000	23	その他仕入高*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	その他仕入高*
202607	006000000	24	減価償却費*	1140400.0	1140400.0	1183732.0	7.9	103.7	103.7	イノチオ農芸㈱	経費	減価償却費*
202607	006000000	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	車両費*
202607	006000000	26	水道光熱費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	水道光熱費*
202607	006000000	27	動力費*	420000.0	420000.0	402559.0	2.6	95.8	95.8	イノチオ農芸㈱	経費	動力費*
202607	006000000	28	燃料費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	燃料費*
202607	006000000	29	賃借料*	346000.0	345666.0	345643.0	2.3	99.9	99.8	イノチオ農芸㈱	経費	賃借料*
202607	006000000	30	修繕費*	122000.0	92000.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	修繕費*
202607	006000000	31	診断料*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	診断料*
202607	006000000	32	租税公課*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	租税公課*
202607	006000000	33	業務委託費*	15000.0	15000.0	15000.0	0.1	100.0	100.0	イノチオ農芸㈱	経費	業務委託費*
202607	006000000	34	雑費*	0.0	100000.0	103646.0	0.6	103.6	0.0	イノチオ農芸㈱	経費	雑費*
202607	006000000	35	雑給*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	雑給*
202607	006000000	36	経費合計（販管費）	1556400.0	1574501.0	1536714.0	10.2	97.6	98.7	イノチオ農芸㈱		
202607	006000000	37	減価償却費	10000.0	9900.0	9829.0	0.0	99.2	98.2	イノチオ農芸㈱	経費	減価償却費
202607	006000000	38	車両費	220000.0	220000.0	202917.0	1.3	92.2	92.2	イノチオ農芸㈱	経費	車両費
202607	006000000	39	旅費交通費	70000.0	23000.0	12255.0	0.0	53.2	17.5	イノチオ農芸㈱	経費	旅費交通費
202607	006000000	40	通信費	79000.0	79000.0	60681.0	0.4	76.8	76.8	イノチオ農芸㈱	経費	通信費
202607	006000000	41	水道光熱費	1000.0	1000.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	水道光熱費
202607	006000000	42	事務用品費	11000.0	11000.0	9422.0	0.0	85.6	85.6	イノチオ農芸㈱	経費	事務用品費
202607	006000000	43	消耗品費	20000.0	20000.0	20580.0	0.1	102.9	102.9	イノチオ農芸㈱	経費	消耗品費
202607	006000000	44	廃棄物処理料	7000.0	92000.0	88100.0	0.5	95.7		イノチオ農芸㈱	経費	廃棄物処理料
202607	006000000	45	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	広告宣伝費
202607	006000000	46	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	接待交際費
202607	006000000	47	賃借料	9100.0	9100.0	9091.0	0.0	99.9	99.9	イノチオ農芸㈱	経費	賃借料
202607	006000000	48	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	賃貸料収入
202607	006000000	49	修繕費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	修繕費
202607	006000000	50	支払リース料	7100.0	7100.0	7000.0	0.0	98.5	98.5	イノチオ農芸㈱	経費	支払リース料
202607	006000000	51	保険料	47200.0	47200.0	46632.0	0.3	98.7	98.7	イノチオ農芸㈱	経費	保険料
202607	006000000	52	支払報酬	480000.0	480000.0	471255.0	3.1	98.1	98.1	イノチオ農芸㈱	経費	支払報酬
202607	006000000	53	支払手数料	36000.0	36000.0	32540.0	0.2	90.3	90.3	イノチオ農芸㈱	経費	支払手数料
202607	006000000	54	診断料	6000.0	6000.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	診断料
202607	006000000	55	諸会費	15000.0	15000.0	15000.0	0.1	100.0	100.0	イノチオ農芸㈱	経費	諸会費
202607	006000000	56	会議費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	会議費
202607	006000000	57	寄付金	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	寄付金
202607	006000000	58	租税公課	0.0	0.0	4000.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	租税公課
202607	006000000	59	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	業務委託費
202607	006000000	60	業務受託収入	-104000.0	-104000.0	-104000.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	業務受託収入
202607	006000000	61	情報機器利用料	148000.0	128330.0	123880.0	0.8	96.5	83.7	イノチオ農芸㈱	経費	情報機器利用料
202607	006000000	62	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	貸倒金
202607	006000000	63	雑費	144000.0	144000.0	156581.0	1.0	108.7	108.7	イノチオ農芸㈱	経費	雑費
202607	006000000	64	福利消耗品費	8000.0	8000.0	4889.0	0.0	61.1	61.1	イノチオ農芸㈱	経費	福利消耗品費
202607	006000000	65	教育研修費	3000.0	2871.0	27062.0	0.1	942.5	902.0	イノチオ農芸㈱	経費	教育研修費
202607	006000000	66	廃棄損	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	廃棄損
202607	006000000	67	雑給	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	雑給
202607	006000000	68	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	社内金利（固定資産）
202607	006000000	69	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	社内金利（売掛金）
202607	006000000	70	グループ共通	339000.0	339000.0	339000.0	2.2	100.0	100.0	イノチオ農芸㈱	経費	グループ共通
202607	006000000	71	差引収益	-4905800.0	-2083327.0	-2377491.0	0.0	0.0	0.0	イノチオ農芸㈱		
202607	006000000	72	差引比率	-31.6	-14.0	-15.9		0.0	0.0	イノチオ農芸㈱		
202607	006000000	73	総時間	2317.0	2645.5	2781.5		105.1	120.0	イノチオ農芸㈱		
202607	006000000	74	定時間	2353.0	2693.0	2810.75		104.3	119.4	イノチオ農芸㈱	時間	
202607	006000000	75	残業時間	90.0	158.0	139.25		88.1	154.7	イノチオ農芸㈱	時間	
202607	006000000	76	移動時間	-126.0	-205.5	-168.5		0.0	0.0	イノチオ農芸㈱	時間	
202607	006000000	77	当月時間当り	-2117.3	-787.4	-854.7		0.0	0.0	イノチオ農芸㈱		
202607	006000000	78	人員	38.0	37.0	37.0		100.0	97.3	イノチオ農芸㈱		
202607	006090100	1	総受注高	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社	受注	
202607	006090100	2	総売上高	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社		
202607	006090100	3	売上高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	売上	
202607	006090100	4	グループ売上高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	売上	
202607	006090100	5	社内売上高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	売上	
202607	006090100	7	販売奨励金	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	売上	
202607	006090100	8	売上原価	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	9	仕入高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
