対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202605	007000000	1	総受注高	68049000.0	60308000.0	61525561.0		102.0	90.4
202605	007000000	2	総売上高	68049000.0	60308000.0	61525561.0		102.0	90.4
202605	007000000	3	売上高	68503000.0	60808000.0	62001357.0	100.7	101.9	90.5
202605	007000000	4	グループ売上高	0.0	0.0	0.0	0.0	0.0	0.0
202605	007000000	5	社内売上高	42400000.0	36633600.0	36677037.0	59.6	100.1	86.5
202605	007000000	7	販売奨励金	-454000.0	-500000.0	-475796.0	0.0	0.0	0.0
202605	007000000	8	売上原価	21562000.0	20484500.0	20900049.0	33.9	102.0	96.9
202605	007000000	9	仕入高	4783000.0	5152000.0	4987810.0	8.1	96.8	104.2
202605	007000000	10	グループ仕入高	10459000.0	8882500.0	9568808.0	15.5	107.7	91.4
202605	007000000	11	社内仕入高	42400000.0	36633600.0	36677037.0	59.6	100.1	86.5
202605	007000000	12	荷造運搬費	4057000.0	3420000.0	3361958.0	5.4	98.3	82.8
202605	007000000	13	販売手数料	2263000.0	3030000.0	2981473.0	4.8	98.3	131.7
202605	007000000	14	総収益	46487000.0	39823500.0	40625512.0	66.0	102.0	87.3
202605	007000000	15	経費合計	29091631.0	26512631.0	24240424.0	39.3	91.4	83.3
202605	007000000	16	経費合計（原価）	19502458.0	17487458.0	15611260.0	25.3	89.2	80.0
202605	007000000	17	種苗費*	0.0	0.0	0.0	0.0	0.0	0.0
202605	007000000	18	肥料費*	1378000.0	1579000.0	1580995.0	2.5	100.1	114.7
202605	007000000	19	培土費用*	550000.0	2656000.0	547204.0	0.8	20.6	99.4
202605	007000000	20	農薬衛生費*	670000.0	280000.0	741567.0	1.2	264.8	110.6
202605	007000000	21	農具費*	361000.0	247000.0	217462.0	0.3	88.0	60.2
202605	007000000	22	諸材料費*	5891000.0	3977000.0	4039779.0	6.5	101.5	68.5
202605	007000000	23	その他仕入高*	0.0	0.0	0.0	0.0	0.0	0.0
202605	007000000	24	減価償却費*	1914228.0	1914228.0	1914228.0	3.1	100.0	100.0
202605	007000000	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0
202605	007000000	26	水道光熱費*	167000.0	160000.0	161280.0	0.2	100.8	96.5
202605	007000000	27	動力費*	1450000.0	1251000.0	1270550.0	2.0	101.5	87.6
202605	007000000	28	燃料費*	760000.0	480000.0	0.0	0.0	0.0	0.0
202605	007000000	29	賃借料*	1248230.0	1248230.0	1248230.0	2.0	100.0	100.0
202605	007000000	30	修繕費*	350000.0	550000.0	364370.0	0.5	66.2	104.1
