対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202607	310A10500	1	総受注高	26040000.0	24790000.0	22565444.0		91.0	86.6
202607	310A10500	2	総売上高	26040000.0	24790000.0	22565444.0		91.0	86.6
202607	310A10500	3	売上高	26640000.0	25390000.0	23079571.0		90.9	86.6
202607	310A10500	4	売上値引	-600000.0	-600000.0	-514127.0		0.0	0.0
202607	310A10500	5	売上原価	22120000.0	21145000.0	18310236.0		86.5	82.7
202607	310A10500	6	総収益	3920000.0	3645000.0	4255208.0	18.8	116.7	108.5
202607	310A10500	7	経費合計	2386598.0	2389063.0	2069385.0	9.1	86.6	86.7
202607	310A10500	8	減価償却費	0.0	0.0	0.0	0.0	0.0	0.0
202607	310A10500	9	車両費	131060.0	131060.0	117201.0	0.5	89.4	89.4
202607	310A10500	10	旅費交通費	40000.0	40000.0	0.0	0.0	0.0	0.0
202607	310A10500	11	荷造運搬費	318000.0	318000.0	187730.0	0.8	59.0	59.0
202607	310A10500	12	通信費	15100.0	15100.0	18109.0	0.0	119.9	119.9
202607	310A10500	13	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0
202607	310A10500	14	事務用品費	11600.0	11600.0	-266099.0	0.0	0.0	0.0
202607	310A10500	15	消耗品費	1300.0	1300.0	0.0	0.0	0.0	0.0
202607	310A10500	16	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202607	310A10500	17	接待交際費	0.0	0.0	10910.0	0.0	0.0	0.0
202607	310A10500	18	賃借料	50000.0	50000.0	50000.0	0.2	100.0	100.0
202607	310A10500	19	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202607	310A10500	20	支払リース料	19000.0	19000.0	10400.0	0.0	54.7	54.7
202607	310A10500	21	保険料	0.0	0.0	0.0	0.0	0.0	0.0
202607	310A10500	22	支払手数料	104600.0	104600.0	294719.0	1.3	281.7	281.7
202607	310A10500	23	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202607	310A10500	24	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202607	310A10500	25	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202607	310A10500	26	租税公課	6000.0	6000.0	200.0	0.0	3.3	3.3
202607	310A10500	27	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
