対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202604	310A10500	1	総受注高	26980000.0	28680000.0	40333707.0		140.6	149.4
202604	310A10500	2	総売上高	26980000.0	28680000.0	40333707.0		140.6	149.4
202604	310A10500	3	売上高	27880000.0	29580000.0	40848943.0		138.0	146.5
202604	310A10500	4	売上値引	-900000.0	-900000.0	-515236.0		0.0	0.0
202604	310A10500	5	売上原価	22560000.0	23990000.0	34693781.0		144.6	153.7
202604	310A10500	6	総収益	4420000.0	4690000.0	5639926.0	13.9	120.2	127.6
202604	310A10500	7	経費合計	1940419.0	1940419.0	3340032.0	8.2	172.1	172.1
202604	310A10500	8	減価償却費	0.0	0.0	159434.0	0.3	0.0	0.0
202604	310A10500	9	車両費	155560.0	155560.0	139569.0	0.3	89.7	89.7
202604	310A10500	10	旅費交通費	50000.0	50000.0	13819.0	0.0	27.6	27.6
202604	310A10500	11	荷造運搬費	181000.0	181000.0	181320.0	0.4	100.1	100.1
202604	310A10500	12	通信費	15900.0	15900.0	15505.0	0.0	97.5	97.5
202604	310A10500	13	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	14	事務用品費	22800.0	22800.0	298477.0	0.7		
202604	310A10500	15	消耗品費	1500.0	1500.0	0.0	0.0	0.0	0.0
202604	310A10500	16	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	17	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	18	賃借料	50000.0	50000.0	50000.0	0.1	100.0	100.0
202604	310A10500	19	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	20	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	21	保険料	84980.0	84980.0	84980.0	0.2	100.0	100.0
202604	310A10500	22	支払手数料	96700.0	96700.0	151348.0	0.3	156.5	156.5
202604	310A10500	23	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	24	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	25	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	26	租税公課	1000.0	1000.0	0.0	0.0	0.0	0.0
202604	310A10500	27	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	28	情報機器利用料	75400.0	75400.0	80330.0	0.1	106.5	106.5
202604	310A10500	29	雑費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	30	新聞図書費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	32	雑給	6000.0	6000.0	0.0	0.0	0.0	0.0
202604	310A10500	33	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	34	社内金利（売掛金）	126579.0	126579.0	28345.0	0.0	22.3	22.3
202604	310A10500	35	部門共通（経費）	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	36	グループ共通	1073000.0	1073000.0	86000.0	0.2	8.0	8.0
202604	310A10500	37	差引収益	2479581.0	2749581.0	2299894.0	5.7	83.6	92.7
202604	310A10500	38	差引比率	9.1	9.5	5.7		60.0	62.6
202604	310A10500	39	総時間	588.0	588.0	558.5		94.9	94.9
202604	310A10500	40	定時間	552.0	552.0	510.0		92.3	92.3
202604	310A10500	41	残業時間	36.0	36.0	48.5		134.7	134.7
202604	310A10500	42	移動時間	0.0	0.0	0.0		0.0	0.0
202604	310A10500	43	部門共通（時間）	0.0	0.0	0.0		0.0	0.0
202604	310A10500	44	当月時間当り	4216.9	4676.1	4117.9		88.0	97.6
202604	310A10500	45	人員	3.0	3.0	3.0		100.0	100.0
202605	310A10500	1	総受注高	33160000.0	38560000.0	30925231.0		80.2	93.2
202605	310A10500	2	総売上高	33160000.0	38560000.0	30925231.0		80.2	93.2
202605	310A10500	3	売上高	33560000.0	38960000.0	31395779.0		80.5	93.5
202605	310A10500	4	売上値引	-400000.0	-400000.0	-470548.0		0.0	0.0
202605	310A10500	5	売上原価	27990000.0	33120000.0	26509228.0		80.0	94.7
202605	310A10500	6	総収益	5170000.0	5440000.0	4416003.0	14.2	81.1	85.4
202605	310A10500	7	経費合計	1751163.0	1751163.0	473927.0	1.5	27.0	27.0
202605	310A10500	8	減価償却費	0.0	0.0	-159434.0	0.0	0.0	0.0
202605	310A10500	9	車両費	114560.0	114560.0	122327.0	0.3	106.7	106.7
202605	310A10500	10	旅費交通費	50000.0	50000.0	0.0	0.0	0.0	0.0
202605	310A10500	11	荷造運搬費	153000.0	153000.0	200926.0	0.6	131.3	131.3
202605	310A10500	12	通信費	13800.0	13800.0	15239.0	0.0	110.4	110.4
202605	310A10500	13	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	14	事務用品費	6300.0	6300.0	7059.0	0.0	112.0	112.0
202605	310A10500	15	消耗品費	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	16	広告宣伝費	30000.0	30000.0	0.0	0.0	0.0	0.0
202605	310A10500	17	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	18	賃借料	50000.0	50000.0	50000.0	0.1	100.0	100.0
202605	310A10500	19	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	20	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	21	保険料	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	22	支払手数料	34700.0	34700.0	66101.0	0.2	190.4	190.4
202605	310A10500	23	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	24	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	25	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	26	租税公課	6000.0	6000.0	600.0	0.0	10.0	10.0
202605	310A10500	27	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	28	情報機器利用料	75400.0	75400.0	75402.0	0.2	100.0	100.0
202605	310A10500	29	雑費	0.0	0.0	659.0	0.0	0.0	0.0
202605	310A10500	30	新聞図書費	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	32	雑給	6000.0	6000.0	44000.0	0.1	733.3	733.3
202605	310A10500	33	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	34	社内金利（売掛金）	138403.0	138403.0	41048.0	0.1	29.6	29.6
202605	310A10500	35	部門共通（経費）	0.0	0.0	0.0	0.0	0.0	0.0
202605	310A10500	36	グループ共通	1073000.0	1073000.0	0.0	0.0	0.0	0.0
202605	310A10500	37	差引収益	3418837.0	3688837.0	3942076.0	12.7	106.8	115.3
202605	310A10500	38	差引比率	10.3	9.5	12.7		133.6	123.3
202605	310A10500	39	総時間	504.0	504.0	501.25		99.4	99.4
202605	310A10500	40	定時間	472.0	472.0	489.0		103.6	103.6
202605	310A10500	41	残業時間	32.0	32.0	32.25		100.7	100.7
202605	310A10500	42	移動時間	0.0	0.0	-20.0		0.0	0.0
202605	310A10500	43	部門共通（時間）	0.0	0.0	0.0		0.0	0.0
202605	310A10500	44	当月時間当り	6783.4	7319.1	7864.4		107.4	115.9
202605	310A10500	45	人員	3.0	3.0	3.0		100.0	100.0
202604	013000000	1	総受注高	37080000.0	38780000.0	46450126.0		119.7	125.2
202604	013000000	2	総売上高	37080000.0	38780000.0	46450126.0		119.7	125.2
202604	013000000	3	売上高	37980000.0	39680000.0	46972952.0		118.3	123.6
202604	013000000	4	売上値引	-900000.0	-900000.0	-522826.0		0.0	0.0
202604	013000000	5	売上原価	29450000.0	30880000.0	38741473.0		125.4	131.5
202604	013000000	6	総収益	7630000.0	7900000.0	7708653.0	16.5	97.5	101.0
202604	013000000	7	経費合計	3738021.0	3712494.0	3855886.0	8.3	103.8	103.1
202604	013000000	8	減価償却費	161156.0	161156.0	159434.0	0.3	98.9	98.9
202604	013000000	9	車両費	175720.0	175720.0	150145.0	0.3	85.4	85.4
202604	013000000	10	旅費交通費	50000.0	50000.0	13819.0	0.0	27.6	27.6
202604	013000000	11	荷造運搬費	181000.0	181000.0	181320.0	0.3	100.1	100.1
202604	013000000	12	通信費	48170.0	48170.0	45068.0	0.0	93.5	93.5
202604	013000000	13	水道光熱費	92000.0	92000.0	0.0	0.0	0.0	0.0
202604	013000000	14	事務用品費	33250.0	33250.0	301945.0	0.6	908.1	908.1
202604	013000000	15	消耗品費	59700.0	59700.0	2000.0	0.0	3.3	3.3
202604	013000000	16	広告宣伝費	800.0	800.0	0.0	0.0	0.0	0.0
202604	013000000	17	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	18	賃借料	371500.0	371500.0	385819.0	0.8	103.8	103.8
202604	013000000	19	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	20	支払リース料	9100.0	9100.0	9100.0	0.0	100.0	100.0
202604	013000000	21	保険料	84980.0	84980.0	84980.0	0.1	100.0	100.0
202604	013000000	22	支払手数料	145600.0	145600.0	229621.0	0.4	157.7	157.7
202604	013000000	23	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	24	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	25	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	26	租税公課	2000.0	2000.0	0.0	0.0	0.0	0.0
202604	013000000	27	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	28	情報機器利用料	150800.0	150800.0	155730.0	0.3	103.2	103.2
202604	013000000	29	雑費	29527.0	4000.0	0.0	0.0	0.0	0.0
202604	013000000	30	新聞図書費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	32	雑給	6000.0	6000.0	0.0	0.0	0.0	0.0
202604	013000000	33	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	34	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	35	部門共通（経費）	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	36	グループ共通	2136000.0	2136000.0	86000.0	0.1	4.0	4.0
202604	013000000	37	差引収益	3891979.0	4187506.0	3852767.0	8.2	92.0	98.9
202604	013000000	38	差引比率	10.4	10.7	8.2		76.6	78.8
202604	013000000	39	総時間	1331.0	1331.0	1381.5		103.7	103.7
202604	013000000	40	定時間	1230.0	1230.0	1196.5		97.2	97.2
202604	013000000	41	残業時間	101.0	101.0	185.0		183.1	183.1
202604	013000000	42	移動時間	0.0	0.0	0.0		0.0	0.0
202604	013000000	43	部門共通（時間）	0.0	0.0	0.0		0.0	0.0
202604	013000000	44	当月時間当り	2924.1	3146.1	2788.8		88.6	95.3
202604	013000000	45	人員	7.0	7.0	7.0		100.0	100.0
202605	013000000	1	総受注高	42940000.0	48340000.0	37446658.0		77.4	87.2
202605	013000000	2	総売上高	42940000.0	48340000.0	37446658.0		77.4	87.2
202605	013000000	3	売上高	43340000.0	48740000.0	37922206.0		77.8	87.4
202605	013000000	4	売上値引	-400000.0	-400000.0	-475548.0		0.0	0.0
