対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202604	310A10500	1	総受注高	26980000.0	28680000.0	40333707.0		140.6	149.4
202604	310A10500	2	総売上高	26980000.0	28680000.0	40333707.0		140.6	149.4
202604	310A10500	3	売上高	27880000.0	29580000.0	40848943.0		138.0	146.5
202604	310A10500	4	売上値引	-900000.0	-900000.0	-515236.0		0.0	0.0
202604	310A10500	5	売上原価	22560000.0	23990000.0	34693781.0		144.6	153.7
202604	310A10500	6	総収益	4420000.0	4690000.0	5639926.0	13.9	120.2	127.6
202604	310A10500	7	経費合計	1940419.0	1940419.0	3340032.0	8.2	172.1	172.1
202604	310A10500	8	減価償却費	0.0	0.0	159434.0	0.3	0.0	0.0
202604	310A10500	9	車両費	155560.0	155560.0	139569.0	0.3	89.7	89.7
202604	310A10500	10	旅費交通費	50000.0	50000.0	13819.0	0.0	27.6	27.6
202604	310A10500	11	荷造運搬費	181000.0	181000.0	181320.0	0.4	100.1	100.1
202604	310A10500	12	通信費	15900.0	15900.0	15505.0	0.0	97.5	97.5
202604	310A10500	13	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	14	事務用品費	22800.0	22800.0	298477.0	0.7		
202604	310A10500	15	消耗品費	1500.0	1500.0	0.0	0.0	0.0	0.0
202604	310A10500	16	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	17	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	18	賃借料	50000.0	50000.0	50000.0	0.1	100.0	100.0
202604	310A10500	19	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	20	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	21	保険料	84980.0	84980.0	84980.0	0.2	100.0	100.0
202604	310A10500	22	支払手数料	96700.0	96700.0	151348.0	0.3	156.5	156.5
202604	310A10500	23	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	24	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	25	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	26	租税公課	1000.0	1000.0	0.0	0.0	0.0	0.0
202604	310A10500	27	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	28	情報機器利用料	75400.0	75400.0	80330.0	0.1	106.5	106.5
202604	310A10500	29	雑費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	30	新聞図書費	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	32	雑給	6000.0	6000.0	0.0	0.0	0.0	0.0
202604	310A10500	33	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	34	社内金利（売掛金）	126579.0	126579.0	28345.0	0.0	22.3	22.3
202604	310A10500	35	部門共通（経費）	0.0	0.0	0.0	0.0	0.0	0.0
202604	310A10500	36	グループ共通	1073000.0	1073000.0	86000.0	0.2	8.0	8.0
202604	310A10500	37	差引収益	2479581.0	2749581.0	2299894.0	5.7	83.6	92.7
202604	310A10500	38	差引比率	9.1	9.5	5.7		60.0	62.6
202604	310A10500	39	総時間	588.0	588.0	558.5		94.9	94.9
202604	310A10500	40	定時間	552.0	552.0	510.0		92.3	92.3
202604	310A10500	41	残業時間	36.0	36.0	48.5		134.7	134.7
202604	310A10500	42	移動時間	0.0	0.0	0.0		0.0	0.0
202604	310A10500	43	部門共通（時間）	0.0	0.0	0.0		0.0	0.0
202604	310A10500	44	当月時間当り	4216.9	4676.1	4117.9		88.0	97.6
202604	310A10500	45	人員	3.0	3.0	3.0		100.0	100.0
202604	013000000	1	総受注高	37080000.0	38780000.0	46450126.0		119.7	125.2
202604	013000000	2	総売上高	37080000.0	38780000.0	46450126.0		119.7	125.2
202604	013000000	3	売上高	37980000.0	39680000.0	46972952.0		118.3	123.6
202604	013000000	4	売上値引	-900000.0	-900000.0	-522826.0		0.0	0.0
202604	013000000	5	売上原価	29450000.0	30880000.0	38741473.0		125.4	131.5
202604	013000000	6	総収益	7630000.0	7900000.0	7708653.0	16.5	97.5	101.0
202604	013000000	7	経費合計	3738021.0	3712494.0	3855886.0	8.3	103.8	103.1
202604	013000000	8	減価償却費	161156.0	161156.0	159434.0	0.3	98.9	98.9
202604	013000000	9	車両費	175720.0	175720.0	150145.0	0.3	85.4	85.4
202604	013000000	10	旅費交通費	50000.0	50000.0	13819.0	0.0	27.6	27.6
202604	013000000	11	荷造運搬費	181000.0	181000.0	181320.0	0.3	100.1	100.1
202604	013000000	12	通信費	48170.0	48170.0	45068.0	0.0	93.5	93.5
202604	013000000	13	水道光熱費	92000.0	92000.0	0.0	0.0	0.0	0.0
202604	013000000	14	事務用品費	33250.0	33250.0	301945.0	0.6	908.1	908.1
202604	013000000	15	消耗品費	59700.0	59700.0	2000.0	0.0	3.3	3.3
202604	013000000	16	広告宣伝費	800.0	800.0	0.0	0.0	0.0	0.0
202604	013000000	17	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	18	賃借料	371500.0	371500.0	385819.0	0.8	103.8	103.8
202604	013000000	19	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	20	支払リース料	9100.0	9100.0	9100.0	0.0	100.0	100.0
202604	013000000	21	保険料	84980.0	84980.0	84980.0	0.1	100.0	100.0
202604	013000000	22	支払手数料	145600.0	145600.0	229621.0	0.4	157.7	157.7
202604	013000000	23	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	24	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	25	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	26	租税公課	2000.0	2000.0	0.0	0.0	0.0	0.0
202604	013000000	27	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	28	情報機器利用料	150800.0	150800.0	155730.0	0.3	103.2	103.2
202604	013000000	29	雑費	29527.0	4000.0	0.0	0.0	0.0	0.0
202604	013000000	30	新聞図書費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	32	雑給	6000.0	6000.0	0.0	0.0	0.0	0.0
202604	013000000	33	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	34	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	35	部門共通（経費）	0.0	0.0	0.0	0.0	0.0	0.0
202604	013000000	36	グループ共通	2136000.0	2136000.0	86000.0	0.1	4.0	4.0
202604	013000000	37	差引収益	3891979.0	4187506.0	3852767.0	8.2	92.0	98.9
202604	013000000	38	差引比率	10.4	10.7	8.2		76.6	78.8
202604	013000000	39	総時間	1331.0	1331.0	1381.5		103.7	103.7
202604	013000000	40	定時間	1230.0	1230.0	1196.5		97.2	97.2
202604	013000000	41	残業時間	101.0	101.0	185.0		183.1	183.1
202604	013000000	42	移動時間	0.0	0.0	0.0		0.0	0.0
202604	013000000	43	部門共通（時間）	0.0	0.0	0.0		0.0	0.0
202604	013000000	44	当月時間当り	2924.1	3146.1	2788.8		88.6	95.3
202604	013000000	45	人員	7.0	7.0	7.0		100.0	100.0
202604	013090200	1	総受注高	0.0	0.0	0.0		0.0	0.0
202604	013090200	2	総売上高	0.0	0.0	0.0		0.0	0.0
202604	013090200	3	売上高	0.0	0.0	0.0		0.0	0.0
202604	013090200	4	売上値引	0.0	0.0	0.0		0.0	0.0
202604	013090200	5	売上原価	0.0	0.0	0.0		0.0	0.0
202604	013090200	6	総収益	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	7	経費合計	-182533.0	-182533.0	-82845.0	0.0	0.0	0.0
202604	013090200	8	減価償却費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	9	車両費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	10	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	11	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	12	通信費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	13	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	14	事務用品費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	15	消耗品費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	16	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	17	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	18	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	19	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	20	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	21	保険料	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	22	支払手数料	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	23	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	24	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	25	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	26	租税公課	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	27	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	28	情報機器利用料	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	29	雑費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	30	新聞図書費	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	32	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	33	社内金利（固定資産）	-54147.0	-54147.0	-54500.0	0.0	0.0	0.0
202604	013090200	34	社内金利（売掛金）	-128386.0	-128386.0	-28345.0	0.0	0.0	0.0
202604	013090200	35	部門共通（経費）	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	36	グループ共通	0.0	0.0	0.0	0.0	0.0	0.0
202604	013090200	37	差引収益	182533.0	182533.0	82845.0	0.0	45.3	45.3
202604	013090200	38	差引比率	0.0	0.0	0.0		0.0	0.0
202604	013090200	39	総時間	0.0	0.0	0.0		0.0	0.0
202604	013090200	40	定時間	0.0	0.0	0.0		0.0	0.0
202604	013090200	41	残業時間	0.0	0.0	0.0		0.0	0.0
202604	013090200	42	移動時間	0.0	0.0	0.0		0.0	0.0
202604	013090200	43	部門共通（時間）	0.0	0.0	0.0		0.0	0.0
202604	013090200	44	当月時間当り	0.0	0.0	0.0		0.0	0.0
202604	013090200	45	人員	0.0	0.0	0.0		0.0	0.0
