対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202605	010000000	1	総受注高	14000000.0	11500000.0	10806723.0		93.9	77.1
202605	010000000	2	総売上高	14000000.0	11500000.0	10806723.0		93.9	77.1
202605	010000000	3	売上高	6580000.0	6000000.0	5732385.0	53.0	95.5	87.1
202605	010000000	4	グループ売上高	7420000.0	5500000.0	5074338.0	46.9	92.2	68.3
202605	010000000	5	経費合計	8125000.0	7585000.0	6330469.0	58.5	83.4	77.9
202605	010000000	6	経費合計（原価）	6932000.0	6392000.0	5059685.0	46.8	79.1	72.9
202605	010000000	7	傭車費*	2300000.0	1800000.0	1393270.0	12.8	77.4	60.5
202605	010000000	8	外注費*	0.0	0.0	0.0	0.0	0.0	0.0
202605	010000000	9	減価償却費*	1238000.0	1238000.0	1237591.0	11.4	99.9	99.9
202605	010000000	10	車両費*	1240000.0	1240000.0	789301.0	7.3	63.6	63.6
202605	010000000	11	燃料費*	1460000.0	1460000.0	1154335.0	10.6	79.0	79.0
202605	010000000	12	道路使用料*	420000.0	420000.0	304331.0	2.8	72.4	72.4
202605	010000000	13	交通反則金*	0.0	0.0	0.0	0.0	0.0	0.0
202605	010000000	14	旅費交通費*	120000.0	100000.0	65472.0	0.6	65.4	54.5
202605	010000000	15	消耗品費*	0.0	0.0	0.0	0.0	0.0	0.0
202605	010000000	16	広告宣伝費*	0.0	0.0	0.0	0.0	0.0	0.0
202605	010000000	17	保険料*	39000.0	39000.0	44489.0	0.4	114.0	114.0
202605	010000000	18	福利消耗品費*	100000.0	80000.0	56896.0	0.5	71.1	56.8
202605	010000000	19	教育研修費*	15000.0	15000.0	14000.0	0.1	93.3	93.3
202605	010000000	20	経費合計（販管費）	1193000.0	1193000.0	1270784.0	11.7	106.5	106.5
202605	010000000	21	減価償却費	31000.0	31000.0	30590.0	0.2	98.6	98.6
202605	010000000	22	車両費	23000.0	23000.0	22300.0	0.2	96.9	96.9
202605	010000000	23	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202605	010000000	24	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0
202605	010000000	25	通信費	90000.0	90000.0	86771.0	0.8	96.4	96.4
202605	010000000	26	水道光熱費	30000.0	30000.0	22292.0	0.2	74.3	74.3
202605	010000000	27	事務用品費	5000.0	5000.0	5552.0	0.0	111.0	111.0
202605	010000000	28	消耗品費	3000.0	13000.0	8108.0	0.0	62.3	270.2
202605	010000000	29	廃棄物処理料	10000.0	0.0	0.0	0.0	0.0	0.0
202605	010000000	30	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202605	010000000	31	接待交際費	5000.0	5000.0	0.0	0.0	0.0	0.0
202605	010000000	32	賃借料	427000.0	427000.0	426500.0	3.9	99.8	99.8
202605	010000000	33	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
