対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202603	210A10200	1	総受注高	138000000.0	105000000.0	132419042.0		126.1	95.9
202603	210A10200	2	総売上高	138000000.0	105000000.0	132419042.0		126.1	95.9
202603	210A10200	3	農薬	20000000.0	10300000.0	23901966.0	18.0	232.0	119.5
202603	210A10200	4	資材	18000000.0	18700000.0	19557729.0	14.7	104.5	108.6
202603	210A10200	5	工事	100000000.0	76000000.0	88457206.0	66.8	116.3	88.4
202603	210A10200	6	値引き他	0.0	0.0	502141.0	0.3	0.0	0.0
202603	210A10200	7	原価	110200000.0	89550000.0	105956601.0	80.0	118.3	96.1
202603	210A10200	8	仕入高	106200000.0	85550000.0	100048581.0	75.5	116.9	94.2
202603	210A10200	9	仕入割戻高	0.0	0.0	0.0	0.0	0.0	0.0
202603	210A10200	10	外注加工費	4000000.0	4000000.0	5908020.0	4.4	147.7	147.7
202603	210A10200	11	総収益	27800000.0	15450000.0	26462441.0	19.9	171.2	95.1
202603	210A10200	12	経費合計	4695000.0	4648000.0	4454016.0	3.3	95.8	94.8
202603	210A10200	13	減価償却費	450000.0	450000.0	450000.0	0.3	100.0	100.0
202603	210A10200	14	車輛費	1559000.0	1509000.0	1205595.0	0.9	79.8	77.3
202603	210A10200	15	旅費交通費	330000.0	330000.0	136763.0	0.1	41.4	41.4
202603	210A10200	16	発送配達費	20000.0	20000.0	18670.0	0.0	93.3	93.3
202603	210A10200	17	通信費	82000.0	82000.0	94171.0	0.0	114.8	114.8
202603	210A10200	18	水道光熱費	80000.0	80000.0	154866.0	0.1	193.5	193.5
202603	210A10200	19	事務用品費	28000.0	40000.0	41475.0	0.0	103.6	148.1
202603	210A10200	20	消耗品費	50000.0	50000.0	52274.0	0.0	104.5	104.5
202603	210A10200	21	広告宣伝費	10000.0	0.0	25000.0	0.0	0.0	250.0
202603	210A10200	22	交際費	70000.0	50000.0	12157.0	0.0	24.3	17.3
202603	210A10200	23	地代家賃	473000.0	473000.0	512804.0	0.3	108.4	108.4
202603	210A10200	24	修繕費	5000.0	0.0	0.0	0.0	0.0	0.0
202603	210A10200	25	リース料	39000.0	39000.0	30500.0	0.0	78.2	78.2
202603	210A10200	26	保険料	237000.0	237000.0	263740.0	0.1	111.2	111.2
202603	210A10200	27	支払報酬	464000.0	530000.0	712091.0	0.5	134.3	153.4
202603	210A10200	28	支払手数料	400000.0	360000.0	406422.0	0.3	112.8	101.6
202603	210A10200	29	諸会費	30000.0	50000.0	30000.0	0.0	60.0	100.0
202603	210A10200	30	会議費	5000.0	5000.0	2173.0	0.0	43.4	43.4
