対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202607	015000000	1	総受注高	10270800.0	7184000.0	7461922.0		103.8	72.6
202607	015000000	2	総売上高	10270800.0	7184000.0	7461922.0		103.8	72.6
202607	015000000	3	苗売上	10270800.0	7184000.0	7461922.0		103.8	72.6
202607	015000000	4	その他の売上	0.0	0.0	0.0		0.0	0.0
202607	015000000	5	経費合計	1518664.0	1485664.0	1641414.0	21.9	110.4	108.0
202607	015000000	6	種苗費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	7	肥料費	100000.0	50000.0	54320.0	0.7	108.6	54.3
202607	015000000	8	培土費用	0.0	132000.0	140000.0	1.8	106.0	0.0
202607	015000000	9	農薬衛生費	100000.0	100000.0	255820.0	3.4	255.8	255.8
202607	015000000	10	農具費	50000.0	80000.0	88951.0	1.1	111.1	177.9
202607	015000000	11	諸材料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	12	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	13	減価償却費	237903.0	237903.0	237903.0	3.1	100.0	100.0
202607	015000000	14	車両費	29100.0	29100.0	25100.0	0.3	86.2	86.2
202607	015000000	15	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	16	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	17	通信費	10581.0	10581.0	10798.0	0.1	102.0	102.0
202607	015000000	18	水道光熱費	563400.0	563400.0	590905.0	7.9	104.8	104.8
202607	015000000	19	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	20	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	21	事務用品費	5000.0	5000.0	8945.0	0.1	178.9	178.9
202607	015000000	22	消耗品費	20000.0	20000.0	9108.0	0.1	45.5	45.5
202607	015000000	23	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	24	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	25	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	26	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	27	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202607	015000000	28	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
