対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202607	014000000	1	総受注高	3095000.0	3095000.0	2081725.0		67.2	67.2
202607	014000000	2	総売上高	69405050.0	69045250.0	70299910.0		101.8	101.2
202607	014000000	3	カーネーション売上高	66300000.0	65700000.0	67219950.0		102.3	101.3
202607	014000000	4	カスミ草売上高	908400.0	1113600.0	1034400.0		92.8	113.8
202607	014000000	5	その他の売上	396650.0	396650.0	252960.0		63.7	63.7
202607	014000000	6	送料	1800000.0	1835000.0	1792600.0		97.6	99.5
202607	014000000	7	売上原価	31923328.0	36495766.0	35238298.0		96.5	110.3
202607	014000000	8	苗仕入	31508200.0	9316920.0	10870163.0		116.6	34.4
202607	014000000	9	パテント仕入	0.0	1214000.0	1224000.0		100.8	0.0
202607	014000000	10	社内売	0.0	0.0	0.0		0.0	0.0
202607	014000000	11	社内仕入	0.0	0.0	0.0		0.0	0.0
202607	014000000	12	総収益	37481722.0	32549484.0	35061612.0		107.7	93.5
202607	014000000	13	経費合計	7266157.0	7044840.0	7173378.0	10.2	101.8	98.7
202607	014000000	14	種苗費	1307164.0	913000.0	626320.0	0.8	68.6	47.9
202607	014000000	15	肥料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	16	培土費用	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	17	農薬衛生費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	18	農具費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	19	諸材料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	20	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	21	減価償却費	422791.0	439903.0	440220.0	0.6	100.0	104.1
202607	014000000	22	車両費	151113.0	151113.0	203007.0	0.2	134.3	134.3
202607	014000000	23	旅費交通費	520000.0	520000.0	215731.0	0.3	41.4	41.4
202607	014000000	24	荷造運搬費	2062646.0	2214510.0	2871852.0	4.0	129.6	139.2
202607	014000000	25	通信費	83557.0	83557.0	79336.0	0.1	94.9	94.9
202607	014000000	26	水道光熱費	270000.0	270000.0	240667.0	0.3	89.1	89.1
202607	014000000	27	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	28	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	29	事務用品費	45000.0	45000.0	26955.0	0.0	59.9	59.9
202607	014000000	30	消耗品費	15000.0	15000.0	13188.0	0.0	87.9	87.9
202607	014000000	31	廃棄物処理料	16900.0	16900.0	16900.0	0.0	100.0	100.0
202607	014000000	32	広告宣伝費	44000.0	44000.0	0.0	0.0	0.0	0.0
202607	014000000	33	接待交際費	35000.0	35000.0	31000.0	0.0	88.5	88.5
202607	014000000	34	研究開発費	145000.0	145000.0	229258.0	0.3	158.1	158.1
202607	014000000	35	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	36	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	37	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	45	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	46	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	47	保険料	4108.0	4108.0	4108.0	0.0	100.0	100.0
202607	014000000	48	支払報酬	599385.0	599385.0	600050.0	0.8	100.1	100.1
202607	014000000	49	販売手数料	87372.0	87372.0	128907.0	0.1	147.5	147.5
202607	014000000	50	支払手数料	171797.0	171797.0	175319.0	0.2	102.0	102.0
202607	014000000	51	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	52	諸会費	31000.0	31000.0	31000.0	0.0	100.0	100.0
202607	014000000	53	会議費	5000.0	5000.0	5044.0	0.0	100.8	100.8
202607	014000000	54	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	55	租税公課	132000.0	133000.0	133000.0	0.1	100.0	100.7
202607	014000000	56	業務委託費	397800.0	397800.0	397800.0	0.5	100.0	100.0
202607	014000000	57	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	58	システム管理料	138000.0	138000.0	138000.0	0.1	100.0	100.0
202607	014000000	59	情報機器利用料	156610.0	156610.0	155730.0	0.2	99.4	99.4
202607	014000000	60	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202607	014000000	61	雑費	102134.0	102134.0	100115.0	0.1	98.0	98.0
202607	014000000	62	福利消耗品費	15780.0	15780.0	0.0	0.0	0.0	0.0
202607	014000000	63	教育研修費	0.0	2871.0	2871.0	0.0	100.0	0.0
202607	014000000	64	雑給	0.0	0.0	0.0	0.0	0.0	0.0
