対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202605	340C10100	1	総受注高	841000.0	743000.0	960605.0		129.2	114.2
202605	340C10100	2	総売上高	841000.0	743000.0	960605.0		129.2	114.2
202605	340C10100	3	切り花売上	677000.0	600000.0	746730.0	77.7	124.4	110.2
202605	340C10100	4	研究受託売上   	108000.0	108000.0	108000.0	11.2	100.0	100.0
202605	340C10100	5	資材売上	56000.0	35000.0	105875.0	11.0	302.5	189.0
202605	340C10100	6	委託売上            	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	7	経費合計	3795000.0	3735000.0	3308142.0	344.3	88.5	87.1
202605	340C10100	8	種苗費	410000.0	650000.0	563530.0	58.6	86.6	137.4
202605	340C10100	9	肥料費	40000.0	40000.0	69950.0	7.2	174.8	174.8
202605	340C10100	10	培土費用	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	11	農薬衛生費	700000.0	700000.0	814848.0	84.8	116.4	116.4
202605	340C10100	12	農具費	150000.0	150000.0	154260.0	16.0	102.8	102.8
202605	340C10100	13	諸材料費	350000.0	50000.0	2691.0	0.2	5.3	0.7
202605	340C10100	14	その他仕入高	20000.0	20000.0	70293.0	7.3	351.4	351.4
202605	340C10100	15	減価償却費	292000.0	292000.0	264137.0	27.4	90.4	90.4
202605	340C10100	16	車両費	135000.0	135000.0	182121.0	18.9	134.9	134.9
202605	340C10100	17	旅費交通費	5000.0	5000.0	0.0	0.0	0.0	0.0
202605	340C10100	18	荷造運搬費	30000.0	30000.0	75626.0	7.8	252.0	252.0
202605	340C10100	19	通信費	41000.0	41000.0	34694.0	3.6	84.6	84.6
202605	340C10100	20	水道光熱費	120000.0	120000.0	127110.0	13.2	105.9	105.9
202605	340C10100	21	動力費	390000.0	390000.0	361371.0	37.6	92.6	92.6
202605	340C10100	22	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	23	事務用品費	10000.0	10000.0	957.0	0.0	9.5	9.5
202605	340C10100	24	消耗品費	20000.0	20000.0	6794.0	0.7	33.9	33.9
202605	340C10100	25	廃棄物処理料	35000.0	35000.0	0.0	0.0	0.0	0.0
202605	340C10100	26	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	27	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	28	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	29	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	30	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	31	賃貸料収入	-10000.0	-10000.0	-60000.0	0.0	0.0	0.0
202605	340C10100	32	修繕費	30000.0	30000.0	-410575.0	0.0	0.0	0.0
202605	340C10100	33	支払リース料	5000.0	5000.0	5640.0	0.5	112.8	112.8
202605	340C10100	34	保険料	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	35	支払報酬	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	36	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	37	支払手数料	71000.0	71000.0	53291.0	5.5	75.0	75.0
202605	340C10100	38	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	39	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	40	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	41	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	42	租税公課	610000.0	610000.0	603800.0	62.8	98.9	98.9
202605	340C10100	43	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	44	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	45	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	46	情報機器利用料	56000.0	56000.0	61480.0	6.4	109.7	109.7
202605	340C10100	47	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	48	雑費	1000.0	1000.0	209.0	0.0	20.9	20.9
202605	340C10100	49	福利消耗品費	5000.0	5000.0	42425.0	4.4	848.5	848.5
202605	340C10100	50	教育研修費	3000.0	3000.0	2871.0	0.2	95.7	95.7
202605	340C10100	51	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202605	340C10100	52	社内金利（固定資産）	50000.0	50000.0	54619.0	5.6	109.2	109.2
202605	340C10100	53	グループ共通	226000.0	226000.0	226000.0	23.5	100.0	100.0
202605	340C10100	54	差引収益	-2954000.0	-2992000.0	-2347537.0	0.0	0.0	0.0
202605	340C10100	55	差引比率	-351.2	-402.6	-244.3		0.0	0.0
202605	340C10100	56	総時間	1071.0	1071.0	1041.75		97.2	97.2
202605	340C10100	57	定時間	960.0	960.0	963.0		100.3	100.3
202605	340C10100	58	残業時間	108.0	108.0	75.75		70.1	70.1
202605	340C10100	59	移動時間	3.0	3.0	3.0		100.0	100.0
202605	340C10100	60	当月時間当り	-2758.1	-2793.6	-2253.4		0.0	0.0
202605	340C10100	61	人員	6.0	6.0	8.0		133.3	133.3
202605	005000000	1	総受注高	841000.0	743000.0	960605.0		129.2	114.2
202605	005000000	2	総売上高	841000.0	743000.0	960605.0		129.2	114.2
202605	005000000	3	切り花売上	677000.0	600000.0	746730.0	77.7	124.4	110.2
202605	005000000	4	研究受託売上   	108000.0	108000.0	108000.0	11.2	100.0	100.0
202605	005000000	5	資材売上	56000.0	35000.0	105875.0	11.0	302.5	189.0
202605	005000000	6	委託売上            	0.0	0.0	0.0	0.0	0.0	0.0
202605	005000000	7	経費合計	3745000.0	3685000.0	3253523.0	338.6	88.2	86.8
202605	005000000	8	種苗費	410000.0	650000.0	563530.0	58.6	86.6	137.4
202605	005000000	9	肥料費	40000.0	40000.0	69950.0	7.2	174.8	174.8
202605	005000000	10	培土費用	0.0	0.0	0.0	0.0	0.0	0.0
202605	005000000	11	農薬衛生費	700000.0	700000.0	814848.0	84.8	116.4	116.4
202605	005000000	12	農具費	150000.0	150000.0	154260.0	16.0	102.8	102.8
