対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202604	340C10100	1	総受注高	1233000.0	1233000.0	772391.0		62.6	62.6
202604	340C10100	2	総売上高	1233000.0	1233000.0	772391.0		62.6	62.6
202604	340C10100	3	切り花売上	1225000.0	1225000.0	772391.0	100.0	63.0	63.0
202604	340C10100	4	研究受託売上   	0.0	0.0	0.0	0.0	0.0	0.0
202604	340C10100	5	資材売上	8000.0	8000.0	0.0	0.0	0.0	0.0
202604	340C10100	6	委託売上            	0.0	0.0	0.0	0.0	0.0	0.0
202604	340C10100	7	経費合計	5689000.0	6061000.0	5501123.0	712.2	90.7	96.6
202604	340C10100	8	種苗費	490000.0	490000.0	563260.0	72.9	114.9	114.9
202604	340C10100	9	肥料費	20000.0	20000.0	15100.0	1.9	75.5	75.5
202604	340C10100	10	培土費用	110000.0	110000.0	90000.0	11.6	81.8	81.8
202604	340C10100	11	農薬衛生費	450000.0	530000.0	584168.0	75.6	110.2	129.8
202604	340C10100	12	農具費	20000.0	66000.0	79100.0	10.2	119.8	395.5
202604	340C10100	13	諸材料費	40000.0	286000.0	54460.0	7.0	19.0	136.1
202604	340C10100	14	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202604	340C10100	15	減価償却費	241000.0	241000.0	229726.0	29.7	95.3	95.3
202604	340C10100	16	車両費	126000.0	126000.0	66520.0	8.6	52.7	52.7
202604	340C10100	17	旅費交通費	10000.0	10000.0	0.0	0.0	0.0	0.0
202604	340C10100	18	荷造運搬費	100000.0	100000.0	72154.0	9.3	72.1	72.1
202604	340C10100	19	通信費	42000.0	42000.0	33528.0	4.3	79.8	79.8
202604	340C10100	20	水道光熱費	160000.0	160000.0	170759.0	22.1	106.7	106.7
202604	340C10100	21	動力費	350000.0	350000.0	340722.0	44.1	97.3	97.3
202604	340C10100	22	燃料費	1200000.0	1200000.0	562000.0	72.7	46.8	46.8
