対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202605	230H60700	1	総受注高	495000.0	495000.0	495000.0		100.0	100.0
202605	230H60700	2	総売上高	495000.0	495000.0	495000.0		100.0	100.0
202605	230H60700	3	売上高	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	4	グループ売上高	495000.0	495000.0	495000.0	100.0	100.0	100.0
202605	230H60700	5	売上原価	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	6	仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	7	グループ仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	8	総収益	495000.0	495000.0	495000.0	100.0	100.0	100.0
202605	230H60700	9	経費合計	2520039.0	1544350.0	1359234.0	274.5	88.0	53.9
202605	230H60700	10	減価償却費	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	11	車両費	14974.0	14974.0	6594.0	1.3	44.0	44.0
202605	230H60700	12	旅費交通費	910000.0	80000.0	83307.0	16.8	104.1	9.1
202605	230H60700	13	荷造運搬費	1000.0	1000.0	3039.0	0.6	303.9	303.9
202605	230H60700	14	通信費	14046.0	18046.0	17203.0	3.4	95.3	122.4
202605	230H60700	15	水道光熱費	23282.0	23282.0	21443.0	4.3	92.1	92.1
202605	230H60700	16	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	17	事務用品費	9723.0	1059.0	7417.0	1.4	700.3	76.2
202605	230H60700	18	消耗品費	7362.0	14343.0	13997.0	2.8	97.5	190.1
202605	230H60700	19	廃棄物処理料	3000.0	3000.0	872.0	0.1	29.0	29.0
202605	230H60700	20	広告宣伝費	44216.0	116400.0	56400.0	11.3	48.4	127.5
202605	230H60700	21	接待交際費	10000.0	10000.0	16701.0	3.3	167.0	167.0
202605	230H60700	22	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	23	賃借料	534700.0	534700.0	534700.0	108.0	100.0	100.0
202605	230H60700	24	賃貸料収入	-10000.0	-10000.0	-10000.0	0.0	0.0	0.0
202605	230H60700	25	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	26	支払リース料	12558.0	12558.0	10534.0	2.1	83.8	83.8
202605	230H60700	27	保険料	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	28	支払報酬	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	29	支払手数料	18215.0	18215.0	18215.0	3.6	100.0	100.0
202605	230H60700	30	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	31	諸会費	50000.0	50000.0	0.0	0.0	0.0	0.0
202605	230H60700	32	会議費	2000.0	1000.0	5689.0	1.1	568.9	284.4
202605	230H60700	33	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	34	租税公課	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	35	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	36	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	37	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	38	情報機器利用料	213366.0	216366.0	197336.0	39.8	91.2	92.4
202605	230H60700	39	雑費	376294.0	376294.0	370043.0	74.7	98.3	98.3
202605	230H60700	40	福利消耗品費	283909.0	61719.0	2850.0	0.5	4.6	1.0
202605	230H60700	41	教育研修費	1394.0	1394.0	2894.0	0.5	207.6	207.6
202605	230H60700	42	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	43	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202605	230H60700	44	差引収益	-2025039.0	-1049350.0	-864234.0	0.0	0.0	0.0
202605	230H60700	45	差引比率	-409.0	-211.9	-174.5	0.0	0.0	0.0
202605	230H60700	46	総時間	970.5	941.5	941.75	0.1	100.0	97.0
202605	230H60700	47	定時間	1284.0	1255.0	1272.75	0.2	101.4	99.1
202605	230H60700	48	残業時間	134.0	134.0	116.5		86.9	86.9
202605	230H60700	49	移動時間	-447.5	-447.5	-447.5		0.0	0.0
202605	230H60700	50	当月時間当り	-2086.5	-1114.5	-917.6		0.0	0.0
