対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202607	012090100	1	総受注高	0.0	0.0	0.0		0.0	0.0
202607	012090100	2	総売上高	0.0	0.0	0.0		0.0	0.0
202607	012090100	3	売上高	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	4	売上値引	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	5	売上原価	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	6	総収益	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	7	経費合計	1115523.0	1165453.0	1028252.0	0.0	88.2	92.1
202607	012090100	8	減価償却費	714775.0	714775.0	755227.0	73.4	105.6	105.6
202607	012090100	9	車両費	51310.0	51310.0	34919.0	3.3	68.0	68.0
202607	012090100	10	旅費交通費	123711.0	270711.0	168690.0	16.4	62.3	136.3
202607	012090100	11	荷造運搬費	5188.0	5188.0	0.0	0.0	0.0	0.0
202607	012090100	12	通信費	5193.0	5193.0	6654.0	0.6	128.1	128.1
202607	012090100	13	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	14	事務用品費	1202.0	1202.0	2685.0	0.2	223.3	223.3
202607	012090100	15	消耗品費	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	16	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	17	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	18	接待交際費	99000.0	99000.0	48003.0	4.6	48.4	48.4
202607	012090100	20	賃借料	64000.0	64000.0	64000.0	6.2	100.0	100.0
202607	012090100	21	賃貸料収入	0.0	0.0	-60000.0	0.0	0.0	0.0
202607	012090100	22	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	23	支払リース料	90000.0	0.0	1856.0	0.1	0.0	2.0
202607	012090100	24	保険料	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	25	支払報酬	630420.0	630420.0	630382.0	61.3	99.9	99.9
202607	012090100	26	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202607	012090100	27	支払手数料	420780.0	420780.0	382782.0	37.2	90.9	90.9
202607	012090100	28	診断料	0.0	0.0	0.0	0.0	0.0	0.0
