対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202607	004000000	1	総受注高	142103350.0	139171350.0	262284252.0		188.4	184.5
202607	004000000	2	許諾料	1000000.0	1000000.0	760000.0	0.2	76.0	76.0
202607	004000000	3	穂木	43875000.0	43875000.0	158118825.0	60.2	360.3	360.3
202607	004000000	4	ﾛｲﾔﾙﾃｨ	90665000.0	88115000.0	90726193.0	34.5	102.9	100.0
202607	004000000	5	バラ	1582000.0	1670000.0	1763113.0	0.6	105.5	111.4
202607	004000000	6	通信販売	200000.0	200000.0	104612.0	0.0	52.3	52.3
202607	004000000	7	セット苗	640000.0	340000.0	-6240.0	0.0	0.0	0.0
202607	004000000	8	その他	4141350.0	3971350.0	10817749.0	4.1	272.3	261.2
202607	004000000	9	総売上高	140063350.0	136536350.0	139571600.0		102.2	99.6
202607	004000000	10	許諾料	1550000.0	4480000.0	1670000.0	1.1	37.2	107.7
202607	004000000	11	穂木	41225000.0	37500000.0	40171943.0	28.7	107.1	97.4
202607	004000000	12	ﾛｲﾔﾙﾃｨ	90665000.0	88115000.0	90827534.0	65.0	103.0	100.1
202607	004000000	13	バラ	1582000.0	1670000.0	1763113.0	1.2	105.5	111.4
202607	004000000	14	通信販売	400000.0	300000.0	315101.0	0.2	105.0	78.7
202607	004000000	15	セット苗	500000.0	500000.0	495122.0	0.3	99.0	99.0
202607	004000000	16	その他	4141350.0	3971350.0	4328787.0	3.1	109.0	104.5
202607	004000000	17	社外売上	140063350.0	136536350.0	139571600.0		102.2	99.6
202607	004000000	18	売上原価	29076135.0	29716089.0	31279621.0	22.4	105.2	107.5
202607	004000000	19	穂木・苗仕入高	22937790.0	23609735.0	24156146.0	17.3	102.3	105.3
202607	004000000	20	送料	4623845.0	4841854.0	5265887.0	3.7	108.7	113.8
202607	004000000	21	その他	1514500.0	1264500.0	1857588.0	1.3	146.9	122.6
202607	004000000	22	総生産	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	23	社内売	531500.0	531500.0	873738.0	0.6	164.3	164.3
202607	004000000	24	社内仕入	531500.0	531500.0	873738.0	0.6	164.3	164.3
202607	004000000	25	営業口銭	0.0	0.0	0.0		0.0	0.0
202607	004000000	26	総収益	110987215.0	106820261.0	108291979.0	77.5	101.3	97.5
202607	004000000	27	経費合計	33160018.0	33410638.0	32681373.0	23.4	97.8	98.5
202607	004000000	28	種苗費	0.0	16000.0	16000.0	0.0	100.0	0.0
202607	004000000	29	肥料費	88000.0	130340.0	73260.0	0.0	56.2	83.2
202607	004000000	30	培土費用	289500.0	60000.0	-46245.0	0.0	0.0	0.0
202607	004000000	31	農薬衛生費	565658.0	604233.0	656162.0	0.4	108.5	115.9
202607	004000000	32	農具費	17000.0	18256.0	41595.0	0.0	227.8	244.6
202607	004000000	33	諸材料費	1533578.0	1249758.0	1192078.0	0.8	95.3	77.7
202607	004000000	34	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	35	減価償却費	4311490.0	4311494.0	4318902.0	3.0	100.1	100.1
202607	004000000	36	車両費	1581851.0	1533285.0	1284501.0	0.9	83.7	81.2
202607	004000000	37	旅費交通費	2835419.0	3076587.0	2566610.0	1.8	83.4	90.5
202607	004000000	38	荷造運搬費	2709350.0	2795769.0	2341140.0	1.6	83.7	86.4
202607	004000000	39	通信費	497204.0	499266.0	472642.0	0.3	94.6	95.0
202607	004000000	40	水道光熱費	972100.0	1052101.0	1220285.0	0.8	115.9	125.5
202607	004000000	41	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	42	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	43	事務用品費	91458.0	124196.0	133149.0	0.0	107.2	145.5
202607	004000000	44	消耗品費	142678.0	118590.0	177312.0	0.1	149.5	124.2
202607	004000000	45	廃棄物処理料	338200.0	264076.0	168492.0	0.1	63.8	49.8
202607	004000000	46	広告宣伝費	1824400.0	1064011.0	1095280.0	0.7	102.9	60.0
202607	004000000	47	接待交際費	200000.0	212000.0	115905.0	0.0	54.6	57.9
202607	004000000	48	研究開発費	454546.0	454546.0	0.0	0.0	0.0	0.0
202607	004000000	49	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	50	賃借料	1001938.0	906449.0	1282330.0	0.9	141.4	127.9
202607	004000000	51	賃貸料収入	-50000.0	-50000.0	-95000.0	0.0	0.0	0.0
202607	004000000	52	修繕費	69500.0	661900.0	1265894.0	0.9	191.2	
202607	004000000	53	支払リース料	33800.0	42446.0	33800.0	0.0	79.6	100.0
202607	004000000	54	保険料	44957.0	26229.0	73061.0	0.0	278.5	162.5
202607	004000000	55	支払報酬	735490.0	735490.0	735445.0	0.5	99.9	99.9
202607	004000000	56	販売手数料	4356406.0	2675688.0	2547737.0	1.8	95.2	58.4
202607	004000000	57	支払手数料	619493.0	1063139.0	377032.0	0.2	35.4	60.8
202607	004000000	58	診断料	30550.0	19200.0	3850.0	0.0	20.0	12.6
202607	004000000	59	諸会費	98250.0	98250.0	46200.0	0.0	47.0	47.0
202607	004000000	60	会議費	0.0	0.0	12000.0	0.0	0.0	0.0
202607	004000000	61	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	62	租税公課	347200.0	347200.0	521689.0	0.3	150.2	150.2
202607	004000000	63	業務委託費	4570119.0	4570119.0	5047474.0	3.6	110.4	110.4
202607	004000000	64	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	65	システム管理料	434300.0	434300.0	418800.0	0.3	96.4	96.4
202607	004000000	66	情報機器利用料	1176907.0	1221194.0	1324030.0	0.9	108.4	112.5
202607	004000000	67	貸倒金	0.0	1816752.0	1994856.0	1.4	109.8	0.0
202607	004000000	68	雑費	58364.0	45460.0	58559.0	0.0	128.8	100.3
202607	004000000	69	福利消耗品費	8450.0	32852.0	32678.0	0.0	99.4	386.7
202607	004000000	70	教育研修費	862.0	862.0	2870.0	0.0	332.9	332.9
202607	004000000	71	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	72	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	73	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	74	部門共通（経費）	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	75	全社共通（経費）	0.0	0.0	0.0	0.0	0.0	0.0
202607	004000000	76	グループ共通	1171000.0	1178600.0	1171000.0	0.8	99.3	100.0
202607	004000000	77	差引収益	77827197.0	73409623.0	75610606.0	54.1	102.9	97.1
202607	004000000	78	差引比率	55.5	53.7	54.1		100.7	97.4
