対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202605	006000000	1	総受注高	15275000.0	13861650.0	15279074.0		110.2	100.0
202605	006000000	2	総売上高	15275000.0	13861650.0	15279074.0		110.2	100.0
202605	006000000	3	売上高	4815000.0	4979150.0	5710266.0	37.3	114.6	118.5
202605	006000000	4	グループ売上高	10460000.0	8882500.0	9568808.0	62.6	107.7	91.4
202605	006000000	5	社内売上高	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	7	販売奨励金	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	8	売上原価	50000.0	50000.0	50000.0	0.3	100.0	100.0
202605	006000000	9	仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	10	グループ仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	11	社内仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	12	荷造運搬費	50000.0	50000.0	50000.0	0.3	100.0	100.0
202605	006000000	13	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	14	総収益	15225000.0	13811650.0	15229074.0	99.6	110.2	100.0
202605	006000000	15	経費合計	9352300.0	10025929.0	9565605.0	62.6	95.4	102.2
202605	006000000	16	経費合計（原価）	7116900.0	7871736.0	7884073.0	51.6	100.1	110.7
202605	006000000	17	種苗費*	1250000.0	1008170.0	1264480.0	8.2	125.4	101.1
202605	006000000	18	肥料費*	185000.0	185000.0	168121.0	1.1	90.8	90.8
202605	006000000	19	培土費用*	12000.0	0.0	59800.0	0.3	0.0	498.3
202605	006000000	20	農薬衛生費*	170000.0	180000.0	157323.0	1.0	87.4	92.5
202605	006000000	21	農具費*	33000.0	194600.0	221428.0	1.4	113.7	670.9
202605	006000000	22	諸材料費*	1590000.0	1300000.0	1047672.0	6.8	80.5	65.8
202605	006000000	23	その他仕入高*	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	24	減価償却費*	1093900.0	1078300.0	1091977.0	7.1	101.2	99.8
202605	006000000	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	26	水道光熱費*	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	27	動力費*	430000.0	430000.0	387249.0	2.5	90.0	90.0
202605	006000000	28	燃料費*	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	29	賃借料*	346000.0	345666.0	345643.0	2.2	99.9	99.8
202605	006000000	30	修繕費*	1992000.0	2015000.0	2005380.0	13.1	99.5	100.6
202605	006000000	31	診断料*	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	32	租税公課*	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	33	業務委託費*	15000.0	15000.0	15000.0	0.0	100.0	100.0
202605	006000000	34	雑費*	0.0	1120000.0	1120000.0	7.3	100.0	0.0
202605	006000000	35	雑給*	0.0	0.0	0.0	0.0	0.0	0.0
202605	006000000	36	経費合計（販管費）	2235400.0	2154193.0	1681532.0	11.0	78.0	75.2
202605	006000000	37	減価償却費	10000.0	9900.0	9829.0	0.0	99.2	98.2
202605	006000000	38	車両費	280000.0	280000.0	213410.0	1.3	76.2	76.2
