対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202604	006000000	1	総受注高	13915000.0	14380000.0	14194996.0		98.7	102.0
202604	006000000	2	総売上高	13915000.0	14380000.0	14194996.0		98.7	102.0
202604	006000000	3	売上高	4095000.0	4095000.0	3494804.0	24.6	85.3	85.3
202604	006000000	4	グループ売上高	9820000.0	10285000.0	10700192.0	75.3	104.0	108.9
202604	006000000	5	社内売上高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	7	販売奨励金	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	8	売上原価	50000.0	50000.0	30400.0	0.2	60.8	60.8
202604	006000000	9	仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	10	グループ仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	11	社内仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	12	荷造運搬費	50000.0	50000.0	30400.0	0.2	60.8	60.8
202604	006000000	13	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	14	総収益	13865000.0	14330000.0	14164596.0	99.7	98.8	102.1
202604	006000000	15	経費合計	7505300.0	8814617.0	5058519.0	35.6	57.3	67.3
202604	006000000	16	経費合計（原価）	6368900.0	7699376.0	4643217.0	32.7	60.3	72.9
202604	006000000	17	種苗費*	640000.0	635160.0	260500.0	1.8	41.0	40.7
202604	006000000	18	肥料費*	195000.0	195000.0	102265.0	0.7	52.4	52.4
202604	006000000	19	培土費用*	12000.0	11650.0	17475.0	0.1	150.0	145.6
202604	006000000	20	農薬衛生費*	255000.0	255000.0	195214.0	1.3	76.5	76.5
202604	006000000	21	農具費*	33000.0	33000.0	26129.0	0.1	79.1	79.1
202604	006000000	22	諸材料費*	1526000.0	1526000.0	1490616.0	10.5	97.6	97.6
202604	006000000	23	その他仕入高*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	24	減価償却費*	1093900.0	1093900.0	1091983.0	7.6	99.8	99.8
202604	006000000	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	26	水道光熱費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	27	動力費*	440000.0	440000.0	408733.0	2.8	92.8	92.8
202604	006000000	28	燃料費*	264000.0	0.0	112819.0	0.7	0.0	42.7
202604	006000000	29	賃借料*	346000.0	345666.0	345677.0	2.4	100.0	99.9
202604	006000000	30	修繕費*	122000.0	1722000.0	13376.0	0.0	0.7	10.9
202604	006000000	31	診断料*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	32	租税公課*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	33	業務委託費*	15000.0	15000.0	15000.0	0.1	100.0	100.0
202604	006000000	34	雑費*	1427000.0	1427000.0	563430.0	3.9	39.4	39.4
202604	006000000	35	雑給*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	36	経費合計（販管費）	1136400.0	1115241.0	415302.0	2.9	37.2	36.5
202604	006000000	37	減価償却費	10000.0	9900.0	9829.0	0.0	99.2	98.2
202604	006000000	38	車両費	220000.0	220000.0	182739.0	1.2	83.0	83.0
202604	006000000	39	旅費交通費	10000.0	10000.0	2663.0	0.0	26.6	26.6
202604	006000000	40	通信費	79000.0	79000.0	81114.0	0.5	102.6	102.6
202604	006000000	41	水道光熱費	10000.0	10000.0	10454.0	0.0	104.5	104.5
202604	006000000	42	事務用品費	11000.0	11000.0	8787.0	0.0	79.8	79.8
202604	006000000	43	消耗品費	20000.0	20000.0	10744.0	0.0	53.7	53.7
202604	006000000	44	廃棄物処理料	2000.0	1500.0	1364.0	0.0	90.9	68.2
202604	006000000	45	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	46	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	47	賃借料	9100.0	9100.0	9091.0	0.0	99.9	99.9
202604	006000000	48	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	49	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	50	支払リース料	7100.0	7100.0	7000.0	0.0	98.5	98.5
202604	006000000	51	保険料	47200.0	47200.0	46632.0	0.3	98.7	98.7
202604	006000000	52	支払報酬	50000.0	50000.0	51000.0	0.3	102.0	102.0
202604	006000000	53	支払手数料	36000.0	36000.0	35041.0	0.2	97.3	97.3
202604	006000000	54	診断料	6000.0	6000.0	9600.0	0.0	160.0	160.0
202604	006000000	55	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	56	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	57	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	58	租税公課	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	59	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	60	業務受託収入	-40000.0	-40000.0	-672000.0	0.0	0.0	0.0
202604	006000000	61	情報機器利用料	148000.0	128330.0	123880.0	0.8	96.5	83.7
202604	006000000	62	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	63	雑費	154000.0	153240.0	155493.0	1.0	101.4	100.9
202604	006000000	64	福利消耗品費	15000.0	15000.0	0.0	0.0	0.0	0.0
202604	006000000	65	教育研修費	3000.0	2871.0	2871.0	0.0	100.0	95.7
202604	006000000	66	廃棄損	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	67	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	68	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	69	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0
202604	006000000	70	グループ共通	339000.0	339000.0	339000.0	2.3	100.0	100.0
202604	006000000	71	差引収益	6359700.0	5515383.0	9106077.0	64.1	165.1	143.1
202604	006000000	72	差引比率	45.7	38.3	64.1		167.3	140.2
202604	006000000	73	総時間	4070.0	4198.0	3909.0		93.1	96.0
202604	006000000	74	定時間	4086.0	4363.0	4007.5		91.8	98.0
202604	006000000	75	残業時間	110.0	166.0	153.5		92.4	139.5
202604	006000000	76	移動時間	-126.0	-331.0	-252.0		0.0	0.0
202604	006000000	77	当月時間当り	1562.5	1313.8	2329.5		177.3	149.0
202604	006000000	78	人員	38.0	39.0	36.0		92.3	94.7
202604	006090100	1	総受注高	0.0	0.0	0.0		0.0	0.0
202604	006090100	2	総売上高	0.0	0.0	0.0		0.0	0.0
202604	006090100	3	売上高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	4	グループ売上高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	5	社内売上高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	7	販売奨励金	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	8	売上原価	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	9	仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	10	グループ仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	11	社内仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	12	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	13	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	14	総収益	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	15	経費合計	195000.0	195000.0	-490757.0	0.0	0.0	0.0
202604	006090100	16	経費合計（原価）	176000.0	176000.0	168747.0	0.0	95.8	95.8
202604	006090100	17	種苗費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	18	肥料費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	19	培土費用*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	20	農薬衛生費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	21	農具費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	22	諸材料費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	23	その他仕入高*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	24	減価償却費*	119000.0	119000.0	118959.0	0.0	99.9	99.9
202604	006090100	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	26	水道光熱費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	27	動力費*	40000.0	40000.0	34788.0	0.0	86.9	86.9
202604	006090100	28	燃料費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	29	賃借料*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	30	修繕費*	2000.0	2000.0	0.0	0.0	0.0	0.0
202604	006090100	31	診断料*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	32	租税公課*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	33	業務委託費*	15000.0	15000.0	15000.0	0.0	100.0	100.0
202604	006090100	34	雑費*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	35	雑給*	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	36	経費合計（販管費）	19000.0	19000.0	-659504.0	0.0	0.0	0.0
202604	006090100	37	減価償却費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	38	車両費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	39	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	40	通信費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	41	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	42	事務用品費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	43	消耗品費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	44	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	45	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	46	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	47	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	48	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	49	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	50	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	51	保険料	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	52	支払報酬	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	53	支払手数料	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	54	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	55	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	56	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	57	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	58	租税公課	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	59	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0
202604	006090100	60	業務受託収入	0.0	0.0	-672000.0	0.0	0.0	0.0
