対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202204	007000000	1	総受注高	67200000.0	65354000.0	65714918.0		100.5	97.7
202204	007000000	2	総売上高	67200000.0	65354000.0	65714918.0		100.5	97.7
202204	007000000	3	売上高	67640000.0	65800000.0	66097709.0	100.5	100.4	97.7
202204	007000000	4	グループ売上高	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	5	社内売上高	29300000.0	26124000.0	24134855.0	36.7	92.3	82.3
202204	007000000	7	販売奨励金	-440000.0	-446000.0	-382791.0	0.0	0.0	0.0
202204	007000000	8	売上原価	34460000.0	35516030.0	37279240.0	56.7	104.9	108.1
202204	007000000	9	仕入高	10366350.0	10167000.0	10227809.0	15.5	100.5	98.6
202204	007000000	10	グループ仕入高	18585250.0	20165910.0	22163327.0	33.7	109.9	119.2
202204	007000000	11	社内仕入高	29300000.0	26124000.0	24134855.0	36.7	92.3	82.3
202204	007000000	12	荷造運搬費	4148160.0	3902120.0	3936905.0	5.9	100.8	94.9
202204	007000000	13	販売手数料	1360240.0	1281000.0	951199.0	1.4	74.2	69.9
202204	007000000	14	総収益	32740000.0	29837970.0	28435678.0	43.2	95.3	86.8
202204	007000000	15	経費合計	21167893.0	21132893.0	21127771.0	32.1	99.9	99.8
202204	007000000	16	経費合計（原価）	17161000.0	17275000.0	17788019.0	27.0	102.9	103.6
202204	007000000	17	種苗費*	2831000.0	2831000.0	2830230.0	4.3	99.9	99.9
202204	007000000	18	肥料費*	655000.0	895000.0	838824.0	1.2	93.7	128.0
202204	007000000	19	培土費用*	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	20	農薬衛生費*	660000.0	709000.0	383110.0	0.5	54.0	58.0
202204	007000000	21	農具費*	186000.0	679000.0	568016.0	0.8	83.6	305.3
202204	007000000	22	諸材料費*	4451000.0	4570000.0	5076603.0	7.7	111.0	114.0
202204	007000000	23	その他仕入高*	0.0	0.0	-2454.0	0.0	0.0	0.0
202204	007000000	24	減価償却費*	3962000.0	3962000.0	3961097.0	6.0	99.9	99.9
202204	007000000	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	26	水道光熱費*	140000.0	140000.0	166976.0	0.2	119.2	119.2
202204	007000000	27	動力費*	1035000.0	935000.0	1373237.0	2.0	146.8	132.6
202204	007000000	28	燃料費*	1725000.0	900000.0	1052400.0	1.6	116.9	61.0
202204	007000000	29	賃借料*	1249000.0	1249000.0	1248241.0	1.8	99.9	99.9
202204	007000000	30	修繕費*	30000.0	170000.0	192060.0	0.2	112.9	640.2
202204	007000000	31	診断料*	189000.0	187000.0	53092.0	0.0	28.3	28.0
202204	007000000	32	租税公課*	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	33	業務委託費*	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	34	雑費*	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	35	雑給*	48000.0	48000.0	46587.0	0.0	97.0	97.0
202204	007000000	36	経費合計（販管費）	4006893.0	3857893.0	3339752.0	5.0	86.5	83.3
202204	007000000	37	減価償却費	841488.0	841488.0	841488.0	1.2	100.0	100.0
202204	007000000	38	車両費	460030.0	457030.0	437687.0	0.6	95.7	95.1
202204	007000000	39	旅費交通費	40000.0	40000.0	33955.0	0.0	84.8	84.8
202204	007000000	40	通信費	57418.0	55418.0	64405.0	0.0	116.2	112.1
202204	007000000	41	水道光熱費	120000.0	120000.0	158277.0	0.2	131.8	131.8
202204	007000000	42	事務用品費	35000.0	35000.0	38985.0	0.0	111.3	111.3
202204	007000000	43	消耗品費	85000.0	71000.0	37070.0	0.0	52.2	43.6
202204	007000000	44	廃棄物処理料	264000.0	264000.0	200773.0	0.3	76.0	76.0
202204	007000000	45	広告宣伝費	23892.0	23892.0	6053.0	0.0	25.3	25.3
202204	007000000	46	接待交際費	30000.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	47	賃借料	126500.0	126500.0	126000.0	0.1	99.6	99.6
202204	007000000	48	賃貸料収入	-101000.0	-101000.0	-91000.0	0.0	0.0	0.0
202204	007000000	49	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	50	支払リース料	4375.0	4375.0	4375.0	0.0	100.0	100.0
202204	007000000	51	保険料	205390.0	205390.0	196380.0	0.2	95.6	95.6
202204	007000000	52	支払報酬	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	53	支払手数料	759000.0	759000.0	756333.0	1.1	99.6	99.6
202204	007000000	54	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	55	諸会費	0.0	0.0	500.0	0.0	0.0	0.0
202204	007000000	56	会議費	5000.0	5000.0	6423.0	0.0	128.4	128.4
202204	007000000	57	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	58	租税公課	0.0	0.0	8200.0	0.0	0.0	0.0
202204	007000000	59	業務委託費	40000.0	40000.0	40000.0	0.0	100.0	100.0
202204	007000000	60	業務受託収入	0.0	0.0	-409091.0	0.0	0.0	0.0
202204	007000000	61	情報機器利用料	160800.0	160800.0	146480.0	0.2	91.0	91.0
202204	007000000	62	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	63	雑費	159000.0	59000.0	45459.0	0.0	77.0	28.5
202204	007000000	64	福利消耗品費	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	65	教育研修費	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	66	廃棄損	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	67	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	68	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	69	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0
202204	007000000	70	グループ共通	691000.0	691000.0	691000.0	1.0	100.0	100.0
202204	007000000	71	差引収益	11572107.0	8705077.0	7307907.0	11.1	83.9	63.1
202204	007000000	72	差引比率	17.2	13.3	11.1		83.4	64.5
202204	007000000	73	総時間	7577.75	7577.75	7231.5		95.4	95.4
202204	007000000	74	定時間	7280.0	7280.0	7011.0		96.3	96.3
202204	007000000	75	残業時間	211.0	211.0	164.5		77.9	77.9
202204	007000000	76	移動時間	86.75	86.75	56.0		64.5	64.5
202204	007000000	77	当月時間当り	1527.1	1148.7	1010.5		87.9	66.1
202204	007000000	78	人員	69.0	69.0	68.0		98.5	98.5
202205	007000000	1	総受注高	74570000.0	65230000.0	62026088.0		95.0	83.1
202205	007000000	2	総売上高	74570000.0	65230000.0	62026088.0		95.0	83.1
202205	007000000	3	売上高	75000000.0	65650000.0	62443641.0	100.6	95.1	83.2
202205	007000000	4	グループ売上高	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	5	社内売上高	29500000.0	25659000.0	23368372.0	37.6	91.0	79.2
202205	007000000	7	販売奨励金	-430000.0	-420000.0	-417553.0	0.0	0.0	0.0
202205	007000000	8	売上原価	40970000.0	36443500.0	35779238.0	57.6	98.1	87.3
202205	007000000	9	仕入高	10196250.0	10080000.0	10279406.0	16.5	101.9	100.8
202205	007000000	10	グループ仕入高	24724800.0	20748500.0	19910471.0	32.1	95.9	80.5
202205	007000000	11	社内仕入高	29500000.0	25659000.0	23368372.0	37.6	91.0	79.2
202205	007000000	12	荷造運搬費	4687310.0	4205000.0	4171692.0	6.7	99.2	88.9
202205	007000000	13	販売手数料	1361640.0	1410000.0	1417669.0	2.2	100.5	104.1
202205	007000000	14	総収益	33600000.0	28786500.0	26246850.0	42.3	91.1	78.1
202205	007000000	15	経費合計	27383893.0	24580923.0	23156791.0	37.3	94.2	84.5
202205	007000000	16	経費合計（原価）	15276000.0	12332000.0	10752644.0	17.3	87.1	70.3
202205	007000000	17	種苗費*	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	18	肥料費*	655000.0	1215000.0	1081118.0	1.7	88.9	165.0
202205	007000000	19	培土費用*	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	20	農薬衛生費*	498000.0	478000.0	358059.0	0.5	74.9	71.8
202205	007000000	21	農具費*	182000.0	151000.0	170212.0	0.2	112.7	93.5
202205	007000000	22	諸材料費*	5172000.0	2089000.0	1810417.0	2.9	86.6	35.0
202205	007000000	23	その他仕入高*	0.0	0.0	-11260.0	0.0	0.0	0.0
202205	007000000	24	減価償却費*	3962000.0	3962000.0	3961097.0	6.3	99.9	99.9
202205	007000000	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	26	水道光熱費*	170000.0	170000.0	169216.0	0.2	99.5	99.5
202205	007000000	27	動力費*	930000.0	920000.0	1153814.0	1.8	125.4	124.0
202205	007000000	28	燃料費*	863000.0	453000.0	614250.0	0.9	135.5	71.1
202205	007000000	29	賃借料*	1249000.0	1249000.0	1248230.0	2.0	99.9	99.9
202205	007000000	30	修繕費*	200000.0	30000.0	0.0	0.0	0.0	0.0
202205	007000000	31	診断料*	15000.0	133000.0	142000.0	0.2	106.7	946.6
202205	007000000	32	租税公課*	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	33	業務委託費*	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	34	雑費*	1000000.0	1422000.0	0.0	0.0	0.0	0.0
202205	007000000	35	雑給*	380000.0	60000.0	55491.0	0.0	92.4	14.6
202205	007000000	36	経費合計（販管費）	12107893.0	12248923.0	12404147.0	19.9	101.2	102.4
202205	007000000	37	減価償却費	841488.0	841488.0	841488.0	1.3	100.0	100.0
202205	007000000	38	車両費	507030.0	502030.0	503297.0	0.8	100.2	99.2
202205	007000000	39	旅費交通費	30000.0	40000.0	73299.0	0.1	183.2	244.3
202205	007000000	40	通信費	57418.0	65418.0	59185.0	0.0	90.4	103.0
202205	007000000	41	水道光熱費	90000.0	90000.0	118976.0	0.1	132.1	132.1
202205	007000000	42	事務用品費	35000.0	109000.0	88211.0	0.1	80.9	252.0
202205	007000000	43	消耗品費	81000.0	246000.0	242624.0	0.3	98.6	299.5
202205	007000000	44	廃棄物処理料	363000.0	296000.0	317864.0	0.5	107.3	87.5
202205	007000000	45	広告宣伝費	9802.0	9802.0	728.0	0.0	7.4	7.4
202205	007000000	46	接待交際費	0.0	0.0	12724.0	0.0	0.0	0.0
202205	007000000	47	賃借料	126500.0	126500.0	126000.0	0.2	99.6	99.6
202205	007000000	48	賃貸料収入	-101000.0	-110300.0	-101000.0	0.0	0.0	0.0
202205	007000000	49	修繕費	0.0	20000.0	0.0	0.0	0.0	0.0
202205	007000000	50	支払リース料	4375.0	4375.0	4375.0	0.0	100.0	100.0
202205	007000000	51	保険料	161030.0	161030.0	152020.0	0.2	94.4	94.4
202205	007000000	52	支払報酬	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	53	支払手数料	55000.0	125000.0	128897.0	0.2	103.1	234.3
202205	007000000	54	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	55	諸会費	5000.0	5000.0	9000.0	0.0	180.0	180.0
202205	007000000	56	会議費	5000.0	5000.0	0.0	0.0	0.0	0.0
202205	007000000	57	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	58	租税公課	8126000.0	8126000.0	8315100.0	13.4	102.3	102.3
202205	007000000	59	業務委託費	40000.0	40000.0	40000.0	0.0	100.0	100.0
202205	007000000	60	業務受託収入	0.0	-80000.0	-80000.0	0.0	0.0	0.0
202205	007000000	61	情報機器利用料	160800.0	160800.0	146480.0	0.2	91.0	91.0
202205	007000000	62	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	63	雑費	735000.0	715000.0	684508.0	1.1	95.7	93.1
202205	007000000	64	福利消耗品費	84450.0	59780.0	26188.0	0.0	43.8	31.0
202205	007000000	65	教育研修費	0.0	0.0	3183.0	0.0	0.0	0.0
202205	007000000	66	廃棄損	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	67	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	68	社内金利（固定資産）	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	69	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0
202205	007000000	70	グループ共通	691000.0	691000.0	691000.0	1.1	100.0	100.0
202205	007000000	71	差引収益	6216107.0	4205577.0	3090059.0	4.9	73.4	49.7
202205	007000000	72	差引比率	8.3	6.4	4.9		76.5	59.0
202205	007000000	73	総時間	8668.25	8391.25	7797.0		92.9	89.9
202205	007000000	74	定時間	8036.0	8047.5	7510.25		93.3	93.4
202205	007000000	75	残業時間	552.0	278.5	226.25		81.2	40.9
202205	007000000	76	移動時間	80.25	65.25	60.5		92.7	75.3
202205	007000000	77	当月時間当り	717.1	501.1	396.3		79.0	55.2
202205	007000000	78	人員	69.0	69.0	69.0		100.0	100.0
202206	007000000	1	総受注高	80480000.0	72016000.0	73008303.0		101.3	90.7
202206	007000000	2	総売上高	80480000.0	72016000.0	73008303.0		101.3	90.7
