対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202204	015000000	1	総受注高	2277800.0	2101900.0	3024900.0		143.9	132.7
202204	015000000	2	総売上高	2277800.0	2101900.0	3024900.0		143.9	132.7
202204	015000000	3	苗売上	2277800.0	2101900.0	3024900.0		143.9	132.7
202204	015000000	4	その他の売上	0.0	0.0	0.0		0.0	0.0
202204	015000000	5	経費合計	815257.0	877257.0	1739153.0	57.4	198.2	213.3
202204	015000000	6	種苗費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	7	肥料費	10000.0	120000.0	5420.0	0.1	4.5	54.2
202204	015000000	8	培土費用	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	9	農薬衛生費	150000.0	150000.0	282670.0	9.3	188.4	188.4
202204	015000000	10	農具費	0.0	0.0	5200.0	0.1	0.0	0.0
202204	015000000	11	諸材料費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	12	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	13	減価償却費	173512.0	173512.0	167512.0	5.5	96.5	96.5
202204	015000000	14	車両費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	15	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	16	荷造運搬費	0.0	0.0	2400.0	0.0	0.0	0.0
202204	015000000	17	通信費	1903.0	1903.0	8957.0	0.2	470.6	470.6
202204	015000000	18	水道光熱費	150000.0	150000.0	158477.0	5.2	105.6	105.6
202204	015000000	19	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	20	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	21	事務用品費	5700.0	5700.0	1976.0	0.0	34.6	34.6
202204	015000000	22	消耗品費	100000.0	52000.0	247244.0	8.1	475.4	247.2
202204	015000000	23	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	24	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	25	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	26	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	27	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	28	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	29	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	30	修繕費	0.0	0.0	463370.0	15.3	0.0	0.0
202204	015000000	31	支払リース料	28000.0	28000.0	25455.0	0.8	90.9	90.9
202204	015000000	32	保険料	36630.0	36630.0	34580.0	1.1	94.4	94.4
202204	015000000	33	支払報酬	13000.0	13000.0	13000.0	0.4	100.0	100.0
202204	015000000	34	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	35	支払手数料	84160.0	84160.0	12038.0	0.3	14.3	14.3
202204	015000000	36	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	37	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	38	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	39	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	40	租税公課	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	41	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	42	業務受託収入	-480000.0	-480000.0	0.0	0.0	0.0	0.0
202204	015000000	43	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	44	情報機器利用料	8800.0	8800.0	24540.0	0.8	278.8	278.8
202204	015000000	45	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	46	雑費	4000.0	4000.0	762.0	0.0	19.0	19.0
202204	015000000	47	福利消耗品費	141552.0	141552.0	147552.0	4.8	104.2	104.2
202204	015000000	48	教育研修費	0.0	0.0	0.0	0.0	0.0	0.0
202204	015000000	49	雑給	250000.0	250000.0	0.0	0.0	0.0	0.0
202204	015000000	50	グループ共通	138000.0	138000.0	138000.0	4.5	100.0	100.0
202204	015000000	51	差引収益	1462543.0	1224643.0	1285747.0	42.5	104.9	87.9
202204	015000000	52	差引比率	64.2	58.2	42.5		73.0	66.1
202204	015000000	53	総時間	1966.25	1982.75	2018.75		101.8	102.6
202204	015000000	54	定時間	1792.0	1792.0	1573.25		87.7	87.7
202204	015000000	55	残業時間	5.0	0.0	13.5		0.0	270.0
202204	015000000	56	移動時間	169.25	190.75	432.0		226.4	255.2
202204	015000000	57	当月時間当り	743.8	617.6	636.9		103.1	85.6
202204	015000000	58	人員	18.0	17.0	17.0		100.0	94.4
202205	015000000	1	総受注高	3788400.0	4691800.0	2682100.0		57.1	70.7
202205	015000000	2	総売上高	3788400.0	4691800.0	2682100.0		57.1	70.7
202205	015000000	3	苗売上	3788400.0	4691800.0	2682100.0		57.1	70.7
202205	015000000	4	その他の売上	0.0	0.0	0.0		0.0	0.0
202205	015000000	5	経費合計	2872765.0	2588345.0	767021.0	28.5	29.6	26.6
202205	015000000	6	種苗費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	7	肥料費	10000.0	120000.0	34720.0	1.2	28.9	347.2
202205	015000000	8	培土費用	850000.0	360000.0	0.0	0.0	0.0	0.0
202205	015000000	9	農薬衛生費	220000.0	220000.0	51700.0	1.9	23.5	23.5
202205	015000000	10	農具費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	11	諸材料費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	12	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	13	減価償却費	173512.0	173512.0	167512.0	6.2	96.5	96.5
202205	015000000	14	車両費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	15	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	16	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	17	通信費	7703.0	7703.0	4137.0	0.1	53.7	53.7
202205	015000000	18	水道光熱費	310000.0	310000.0	401383.0	14.9	129.4	129.4
202205	015000000	19	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	20	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	21	事務用品費	5700.0	5700.0	9088.0	0.3	159.4	159.4
202205	015000000	22	消耗品費	650000.0	500000.0	238861.0	8.9	47.7	36.7
202205	015000000	23	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	24	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	25	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	26	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	27	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	28	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	29	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	30	修繕費	150000.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	31	支払リース料	28000.0	28000.0	25455.0	0.9	90.9	90.9
202205	015000000	32	保険料	36630.0	36630.0	34580.0	1.2	94.4	94.4
202205	015000000	33	支払報酬	13000.0	13000.0	0.0	0.0	0.0	0.0
202205	015000000	34	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	35	支払手数料	13000.0	13000.0	11250.0	0.4	86.5	86.5
202205	015000000	36	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	37	諸会費	0.0	0.0	1000.0	0.0	0.0	0.0
202205	015000000	38	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	39	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	40	租税公課	250000.0	250000.0	210300.0	7.8	84.1	84.1
202205	015000000	41	業務委託費	0.0	0.0	83680.0	3.1	0.0	0.0
202205	015000000	42	業務受託収入	-480000.0	-480000.0	-960000.0	0.0	0.0	0.0
202205	015000000	43	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	44	情報機器利用料	8800.0	8800.0	27920.0	1.0	317.2	317.2
202205	015000000	45	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	46	雑費	4000.0	4000.0	765.0	0.0	19.1	19.1
202205	015000000	47	福利消耗品費	184420.0	530000.0	286670.0	10.6	54.0	155.4
202205	015000000	48	教育研修費	0.0	0.0	0.0	0.0	0.0	0.0
202205	015000000	49	雑給	300000.0	350000.0	0.0	0.0	0.0	0.0
202205	015000000	50	グループ共通	138000.0	138000.0	138000.0	5.1	100.0	100.0
202205	015000000	51	差引収益	915635.0	2103455.0	1915079.0	71.4	91.0	209.1
202205	015000000	52	差引比率	24.1	44.8	71.4		159.3	296.2
202205	015000000	53	総時間	2114.75	2118.0	2040.5		96.3	96.4
202205	015000000	54	定時間	1936.0	1936.0	1691.5		87.3	87.3
202205	015000000	55	残業時間	10.0	0.0	38.0		0.0	380.0
202205	015000000	56	移動時間	168.75	182.0	311.0		170.8	184.2
202205	015000000	57	当月時間当り	432.9	993.1	938.5		94.5	216.7
202205	015000000	58	人員	18.0	17.0	16.0		94.1	88.8
202206	015000000	1	総受注高	26835800.0	26873420.0	30375796.0		113.0	113.1
202206	015000000	2	総売上高	26835800.0	26873420.0	30375796.0		113.0	113.1
202206	015000000	3	苗売上	26835800.0	26873420.0	30375796.0		113.0	113.1
202206	015000000	4	その他の売上	0.0	0.0	0.0		0.0	0.0
202206	015000000	5	経費合計	1187545.0	1120097.0	1612473.0	5.3	143.9	135.7
202206	015000000	6	種苗費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	7	肥料費	10000.0	10000.0	0.0	0.0	0.0	0.0
202206	015000000	8	培土費用	0.0	0.0	352110.0	1.1	0.0	0.0
202206	015000000	9	農薬衛生費	20000.0	20000.0	0.0	0.0	0.0	0.0
202206	015000000	10	農具費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	11	諸材料費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	12	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	13	減価償却費	173512.0	173512.0	167512.0	0.5	96.5	96.5
202206	015000000	14	車両費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	15	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	16	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	17	通信費	1903.0	4455.0	6278.0	0.0	140.9	329.9
202206	015000000	18	水道光熱費	170000.0	200000.0	232934.0	0.7	116.4	137.0
202206	015000000	19	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	20	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	21	事務用品費	5700.0	5700.0	0.0	0.0	0.0	0.0
202206	015000000	22	消耗品費	200000.0	50000.0	111911.0	0.3	223.8	55.9
202206	015000000	23	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	24	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	25	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	26	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	27	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	28	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	29	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	30	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	31	支払リース料	28000.0	28000.0	25455.0	0.0	90.9	90.9
202206	015000000	32	保険料	36630.0	36630.0	34580.0	0.1	94.4	94.4
202206	015000000	33	支払報酬	363000.0	363000.0	388729.0	1.2	107.0	107.0
202206	015000000	34	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	35	支払手数料	13000.0	13000.0	13800.0	0.0	106.1	106.1
202206	015000000	36	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	37	諸会費	10000.0	10000.0	9000.0	0.0	90.0	90.0
202206	015000000	38	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	39	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	40	租税公課	0.0	0.0	10500.0	0.0	0.0	0.0
202206	015000000	41	業務委託費	0.0	0.0	92979.0	0.3	0.0	0.0
202206	015000000	42	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	43	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	44	情報機器利用料	8800.0	8800.0	27920.0	0.0	317.2	317.2
202206	015000000	45	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	46	雑費	4000.0	4000.0	765.0	0.0	19.1	19.1
202206	015000000	47	福利消耗品費	5000.0	5000.0	0.0	0.0	0.0	0.0
202206	015000000	48	教育研修費	0.0	0.0	0.0	0.0	0.0	0.0
202206	015000000	49	雑給	0.0	50000.0	0.0	0.0	0.0	0.0
202206	015000000	50	グループ共通	138000.0	138000.0	138000.0	0.4	100.0	100.0
202206	015000000	51	差引収益	25648255.0	25753323.0	28763323.0	94.6	111.6	112.1
202206	015000000	52	差引比率	95.5	95.8	94.6		98.7	99.0
202206	015000000	53	総時間	2030.25	2076.5	2013.25		96.9	99.1
202206	015000000	54	定時間	1840.0	1840.0	1653.5		89.8	89.8
202206	015000000	55	残業時間	20.0	20.0	94.0		470.0	470.0
202206	015000000	56	移動時間	170.25	216.5	265.75		122.7	156.0
202206	015000000	57	当月時間当り	12633.0	12402.2	14287.0		115.1	113.0
202206	015000000	58	人員	18.0	16.0	16.0		100.0	88.8
202207	015000000	1	総受注高	948000.0	1505900.0	2492630.0		165.5	262.9
202207	015000000	2	総売上高	948000.0	1505900.0	2492630.0		165.5	262.9
202207	015000000	3	苗売上	948000.0	1505900.0	2492630.0		165.5	262.9
202207	015000000	4	その他の売上	0.0	0.0	0.0		0.0	0.0
202207	015000000	5	経費合計	1327197.0	1501749.0	1484292.0	59.5	98.8	111.8
202207	015000000	6	種苗費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	7	肥料費	100000.0	120000.0	913100.0	36.6	760.9	913.1
202207	015000000	8	培土費用	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	9	農薬衛生費	150000.0	150000.0	162310.0	6.5	108.2	108.2
202207	015000000	10	農具費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	11	諸材料費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	12	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	13	減価償却費	185512.0	167512.0	167512.0	6.7	100.0	90.2
202207	015000000	14	車両費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	15	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	16	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	17	通信費	6903.0	4455.0	12554.0	0.5	281.7	181.8
202207	015000000	18	水道光熱費	600000.0	600000.0	287661.0	11.5	47.9	47.9
202207	015000000	19	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	20	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	21	事務用品費	5700.0	5700.0	15840.0	0.6	277.8	277.8
202207	015000000	22	消耗品費	30000.0	50000.0	36943.0	1.4	73.8	123.1
202207	015000000	23	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	24	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	25	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	26	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	27	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	28	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	29	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	30	修繕費	0.0	150000.0	0.0	0.0	0.0	0.0
202207	015000000	31	支払リース料	28000.0	28000.0	25455.0	1.0	90.9	90.9
202207	015000000	32	保険料	36630.0	36630.0	34580.0	1.3	94.4	94.4
202207	015000000	33	支払報酬	13000.0	13000.0	13000.0	0.5	100.0	100.0
202207	015000000	34	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	35	支払手数料	13000.0	13000.0	100050.0	4.0	769.6	769.6
202207	015000000	36	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	37	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	38	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	39	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	40	租税公課	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	41	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	42	業務受託収入	0.0	0.0	-480000.0	0.0	0.0	0.0
202207	015000000	43	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	44	情報機器利用料	11452.0	11452.0	27920.0	1.1	243.8	243.8
202207	015000000	45	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	46	雑費	4000.0	4000.0	27173.0	1.0	679.3	679.3
202207	015000000	47	福利消耗品費	5000.0	10000.0	2194.0	0.0	21.9	43.8
202207	015000000	48	教育研修費	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	49	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202207	015000000	50	グループ共通	138000.0	138000.0	138000.0	5.5	100.0	100.0
202207	015000000	51	差引収益	-379197.0	4151.0	1008338.0	40.4		0.0
202207	015000000	52	差引比率	-39.9	0.2	40.4			0.0
202207	015000000	53	総時間	1149.75	1223.0	971.5		79.4	84.4
202207	015000000	54	定時間	976.0	1036.0	774.25		74.7	79.3
202207	015000000	55	残業時間	5.0	5.0	13.25		265.0	265.0
202207	015000000	56	移動時間	168.75	182.0	184.0		101.0	109.0
202207	015000000	57	当月時間当り	-329.8	3.3	1037.9			0.0
202207	015000000	58	人員	18.0	15.0	16.0		106.6	88.8
202208	015000000	1	総受注高	0.0	0.0	20800.0		0.0	0.0
202208	015000000	2	総売上高	0.0	0.0	20800.0		0.0	0.0
202208	015000000	3	苗売上	0.0	0.0	20800.0		0.0	0.0
202208	015000000	4	その他の売上	0.0	0.0	0.0		0.0	0.0
202208	015000000	5	経費合計	1712997.0	727749.0	1057201.0	0.0	145.2	61.7
