対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202404	210A10200	1	総受注高	0.0	50000000.0	41868949.0		83.7	0.0
202404	210A10200	2	総売上高	0.0	50000000.0	41868949.0		83.7	0.0
202404	210A10200	3	農薬	0.0	5000000.0	8821153.0	21.0	176.4	0.0
202404	210A10200	4	資材	0.0	20000000.0	15319873.0	36.5	76.5	0.0
202404	210A10200	5	工事	0.0	25000000.0	17667320.0	42.1	70.6	0.0
202404	210A10200	6	値引き他	0.0	0.0	60603.0	0.1	0.0	0.0
202404	210A10200	7	原価	0.0	40000000.0	4680842.0	11.1	11.7	0.0
202404	210A10200	8	仕入高	0.0	25000000.0	0.0	0.0	0.0	0.0
202404	210A10200	9	仕入割戻高	0.0	0.0	0.0	0.0	0.0	0.0
202404	210A10200	10	外注加工費	0.0	15000000.0	4680842.0	11.1	31.2	0.0
202404	210A10200	11	総収益	0.0	10000000.0	37188107.0	88.8	371.8	0.0
202404	210A10200	12	経費合計	0.0	2855000.0	5346394.0	12.7	187.2	0.0
202404	210A10200	13	減価償却費	0.0	500000.0	520000.0	1.2	104.0	0.0
202404	210A10200	14	車輛費	0.0	0.0	0.0	0.0	0.0	0.0
202404	210A10200	15	旅費交通費	0.0	500000.0	743815.0	1.7	148.7	0.0
202404	210A10200	16	発送配達費	0.0	20000.0	9220.0	0.0	46.1	0.0
202404	210A10200	17	通信費	0.0	100000.0	101742.0	0.2	101.7	0.0
202404	210A10200	18	水道光熱費	0.0	20000.0	133413.0	0.3	667.0	0.0
202404	210A10200	19	事務用品費	0.0	30000.0	84518.0	0.2	281.7	0.0
202404	210A10200	20	消耗品費	0.0	20000.0	326917.0	0.7		0.0
202404	210A10200	21	広告宣伝費	0.0	1000.0	0.0	0.0	0.0	0.0
202404	210A10200	22	交際費	0.0	20000.0	112847.0	0.2	564.2	0.0
202404	210A10200	23	地代家賃	0.0	200000.0	451462.0	1.0	225.7	0.0
