組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230L30100	生産課	総受注高	0.0	0.0		
230L30100	生産課	総売上高	423988588.0	423000000.0	100.2	98.1
230L30100	生産課	売上高	0.0	0.0		
230L30100	生産課	グループ売上高	0.0	0.0		
230L30100	生産課	社内売上高	423988588.0	423000000.0	100.2	98.1
230L30100	生産課	販売奨励金	0.0	0.0		
230L30100	生産課	売上原価	0.0	0.0		
230L30100	生産課	仕入高	0.0	0.0		
230L30100	生産課	グループ仕入高	0.0	0.0		
230L30100	生産課	社内仕入高	0.0	0.0		
230L30100	生産課	荷造運搬費	0.0	0.0		
230L30100	生産課	販売手数料	0.0	0.0		
230L30100	生産課	総収益	423988588.0	423000000.0	100.2	98.1
230L30100	生産課	経費合計	265095186.0	265500000.0	99.8	96.7
230L30100	生産課	経費合計（原価）	214089185.0	213650000.0	100.2	98.3
230L30100	生産課	種苗費*	13335942.0	12600000.0	105.8	129.6
230L30100	生産課	肥料費*	18897622.0	18037000.0	104.7	96.5
230L30100	生産課	培土費用*	8292964.0	8820000.0	94.0	218.3
230L30100	生産課	農薬衛生費*	7596096.0	6731000.0	112.8	110.9
230L30100	生産課	農具費*	4362312.0	2589000.0	168.4	49.6
230L30100	生産課	諸材料費*	58656725.0	60052000.0	97.6	87.1
230L30100	生産課	その他仕入高*	0.0	0.0		
230L30100	生産課	減価償却費*	22970907.0	22970907.0	100.0	98.4
230L30100	生産課	車両費*	0.0	0.0		
230L30100	生産課	水道光熱費*	1958872.0	1970000.0	99.4	99.7
230L30100	生産課	動力費*	20104462.0	21580000.0	93.1	107.5
230L30100	生産課	燃料費*	23137300.0	24100000.0	96.0	106.6
230L30100	生産課	賃借料*	14978771.0	14978760.0	100.0	100.0
230L30100	生産課	修繕費*	4328798.0	5767333.0	75.0	78.5
230L30100	生産課	診断料*	0.0	0.0		
230L30100	生産課	租税公課*	0.0	0.0		
230L30100	生産課	業務委託費*	0.0	0.0		
230L30100	生産課	雑費*	9229257.0	9454000.0	97.6	102.7
230L30100	生産課	雑給*	6239157.0	4000000.0	155.9	104.8
230L30100	生産課	経費合計（販管費）	51006001.0	51850000.0	98.3	90.4
230L30100	生産課	減価償却費	11164911.0	11170851.0	99.9	89.2
230L30100	生産課	車両費	1247200.0	1420000.0	87.8	99.7
230L30100	生産課	旅費交通費	168570.0	170000.0	99.1	194.7
230L30100	生産課	通信費	432276.0	440000.0	98.2	77.0
230L30100	生産課	水道光熱費	2188965.0	2126000.0	102.9	100.9
230L30100	生産課	事務用品費	293688.0	360000.0	81.5	159.8
230L30100	生産課	消耗品費	1550069.0	1239437.0	125.0	61.4
230L30100	生産課	廃棄物処理料	6420990.0	6122000.0	104.8	121.3
230L30100	生産課	広告宣伝費	57167.0	84000.0	68.0	117.1
230L30100	生産課	接待交際費	0.0	0.0		
230L30100	生産課	賃借料	-960000.0	-960000.0		
230L30100	生産課	賃貸料収入	-720000.0	-720000.0		
230L30100	生産課	修繕費	1229700.0	1000000.0	122.9	98.2
230L30100	生産課	支払リース料	136800.0	136800.0	100.0	118.1
230L30100	生産課	保険料	389952.0	389952.0	100.0	44.0
230L30100	生産課	支払報酬	184096.0	184000.0	100.0	102.7
230L30100	生産課	支払手数料	1912165.0	2263000.0	84.4	69.9
230L30100	生産課	診断料	581919.0	650000.0	89.5	105.4
230L30100	生産課	諸会費	5000.0	5000.0	100.0	31.2
230L30100	生産課	会議費	0.0	0.0		
230L30100	生産課	寄付金	0.0	0.0		
230L30100	生産課	租税公課	5386581.0	5906000.0	91.2	91.1
230L30100	生産課	業務委託費	0.0	0.0		
230L30100	生産課	業務受託収入	-1033280.0	-600000.0		
230L30100	生産課	情報機器利用料	1255488.0	1260360.0	99.6	96.9
230L30100	生産課	貸倒金	0.0	0.0		
230L30100	生産課	雑費	1856522.0	1885000.0	98.4	91.5
230L30100	生産課	福利消耗品費	64391.0	64000.0	100.6	117.6
230L30100	生産課	教育研修費	80000.0	90000.0	88.8	69.0
230L30100	生産課	廃棄損	0.0	0.0		
230L30100	生産課	雑給	0.0	0.0		
230L30100	生産課	社内金利（固定資産）	12664431.0	12660000.0	100.0	86.3
230L30100	生産課	社内金利（売掛金）	0.0	0.0		
230L30100	生産課	グループ共通	4448400.0	4503600.0	98.7	98.7
230L30100	生産課	差引収益	158893402.0	157500000.0	100.8	100.6
230L30100	生産課	差引比率	37.4	37.2	100.5	102.4
230L30100	生産課	総時間	85833.75	85100.0	100.8	99.0
230L30100	生産課	定時間	81893.5	81546.25	100.4	100.0
230L30100	生産課	残業時間	3325.0	3723.75	89.2	68.2
230L30100	生産課	移動時間	615.25	-170.0		
230L30100	生産課	当月時間当り	1851.1	1850.7	100.0	101.5
230L30100	生産課	人員	79.0	79.0	100.0	109.7
