組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230L10200	青果流通課	総受注高	680428306.0	680000000.0	100.0	101.1
230L10200	青果流通課	総売上高	680428306.0	680000000.0	100.0	101.1
230L10200	青果流通課	売上高	686702293.0	686230000.0	100.0	101.0
230L10200	青果流通課	グループ売上高	0.0	0.0		
230L10200	青果流通課	社内売上高	0.0	0.0		
230L10200	青果流通課	販売奨励金	-6273987.0	-6230000.0		
230L10200	青果流通課	売上原価	639915343.0	639500000.0	100.0	101.1
230L10200	青果流通課	仕入高	54047831.0	52500000.0	102.9	90.2
230L10200	青果流通課	グループ仕入高	103741692.0	104000000.0	99.7	137.0
230L10200	青果流通課	社内仕入高	421670729.0	423000000.0	99.6	97.6
230L10200	青果流通課	荷造運搬費	33810101.0	34500000.0	98.0	100.7
230L10200	青果流通課	販売手数料	26644990.0	25500000.0	104.4	85.2
230L10200	青果流通課	総収益	40512963.0	40500000.0	100.0	100.0
230L10200	青果流通課	経費合計	8947293.0	9000000.0	99.4	110.2
230L10200	青果流通課	経費合計（原価）	0.0	0.0		
230L10200	青果流通課	種苗費*	0.0	0.0		
230L10200	青果流通課	肥料費*	0.0	0.0		
230L10200	青果流通課	培土費用*	0.0	0.0		
230L10200	青果流通課	農薬衛生費*	0.0	0.0		
230L10200	青果流通課	農具費*	0.0	0.0		
230L10200	青果流通課	諸材料費*	0.0	0.0		
230L10200	青果流通課	その他仕入高*	0.0	0.0		
230L10200	青果流通課	減価償却費*	0.0	0.0		
230L10200	青果流通課	車両費*	0.0	0.0		
230L10200	青果流通課	水道光熱費*	0.0	0.0		
230L10200	青果流通課	動力費*	0.0	0.0		
230L10200	青果流通課	燃料費*	0.0	0.0		
230L10200	青果流通課	賃借料*	0.0	0.0		
230L10200	青果流通課	修繕費*	0.0	0.0		
230L10200	青果流通課	診断料*	0.0	0.0		
230L10200	青果流通課	租税公課*	0.0	0.0		
230L10200	青果流通課	業務委託費*	0.0	0.0		
230L10200	青果流通課	雑費*	0.0	0.0		
230L10200	青果流通課	雑給*	0.0	0.0		
230L10200	青果流通課	経費合計（販管費）	8947293.0	9000000.0	99.4	110.2
230L10200	青果流通課	減価償却費	71328.0	71328.0	100.0	160.0
230L10200	青果流通課	車両費	2299640.0	2330400.0	98.6	115.0
230L10200	青果流通課	旅費交通費	580636.0	610000.0	95.1	142.0
230L10200	青果流通課	通信費	158918.0	170000.0	93.4	122.7
230L10200	青果流通課	水道光熱費	0.0	0.0		
230L10200	青果流通課	事務用品費	57873.0	60000.0	96.4	139.3
230L10200	青果流通課	消耗品費	0.0	0.0		0.0
230L10200	青果流通課	廃棄物処理料	0.0	0.0		
230L10200	青果流通課	広告宣伝費	31005.0	30000.0	103.3	101.1
230L10200	青果流通課	接待交際費	56192.0	66192.0	84.8	255.7
230L10200	青果流通課	賃借料	960000.0	960000.0	100.0	100.0
230L10200	青果流通課	賃貸料収入	0.0	0.0		
230L10200	青果流通課	修繕費	0.0	0.0		
230L10200	青果流通課	支払リース料	0.0	0.0		
230L10200	青果流通課	保険料	68640.0	45000.0	152.5	143.3
230L10200	青果流通課	支払報酬	185000.0	185000.0	100.0	103.2
230L10200	青果流通課	支払手数料	512316.0	480000.0	106.7	121.2
230L10200	青果流通課	診断料	0.0	0.0		
230L10200	青果流通課	諸会費	3000.0	3000.0	100.0	85.7
230L10200	青果流通課	会議費	35660.0	40660.0	87.7	280.3
230L10200	青果流通課	寄付金	0.0	0.0		
230L10200	青果流通課	租税公課	16000.0	16000.0	100.0	84.9
230L10200	青果流通課	業務委託費	0.0	0.0		
230L10200	青果流通課	業務受託収入	0.0	0.0		
230L10200	青果流通課	情報機器利用料	973782.0	975000.0	99.8	106.8
230L10200	青果流通課	貸倒金	0.0	0.0		
230L10200	青果流通課	雑費	1087703.0	1107820.0	98.1	99.6
230L10200	青果流通課	福利消耗品費	30000.0	30000.0	100.0	
230L10200	青果流通課	教育研修費	0.0	0.0		0.0
230L10200	青果流通課	廃棄損	0.0	0.0		
230L10200	青果流通課	雑給	0.0	0.0		
230L10200	青果流通課	社内金利（固定資産）	40000.0	40000.0	100.0	139.8
230L10200	青果流通課	社内金利（売掛金）	0.0	0.0		
230L10200	青果流通課	グループ共通	1779600.0	1779600.0	100.0	105.4
230L10200	青果流通課	差引収益	31565670.0	31500000.0	100.2	97.5
230L10200	青果流通課	差引比率	4.6	4.6	100.0	95.8
230L10200	青果流通課	総時間	9188.75	9200.0	99.8	101.3
230L10200	青果流通課	定時間	7925.0	7936.0	99.8	99.5
230L10200	青果流通課	残業時間	1092.75	1094.0	99.8	104.7
230L10200	青果流通課	移動時間	171.0	170.0	100.5	282.6
230L10200	青果流通課	当月時間当り	3435.2	3423.9	100.3	96.1
230L10200	青果流通課	人員	4.0	4.0	100.0	100.0
