組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230J30120	フィルム加工課 出荷部門	総出荷	450201963.0	450000000.0	100.0	95.4
230J30120	フィルム加工課 出荷部門	社外売	0.0	0.0		
230J30120	フィルム加工課 出荷部門	社内売	450201963.0	450000000.0	100.0	95.4
230J30120	フィルム加工課 出荷部門	社内仕入	450201963.0	450000000.0	100.0	95.4
230J30120	フィルム加工課 出荷部門	仕掛1	0.0	0.0		
230J30120	フィルム加工課 出荷部門	総生産	0.0	0.0		
230J30120	フィルム加工課 出荷部門	経費合計	0.0	0.0		0.0
230J30120	フィルム加工課 出荷部門	経費合計(原価)	0.0	0.0		
230J30120	フィルム加工課 出荷部門	仕掛2	0.0	0.0		
230J30120	フィルム加工課 出荷部門	商品仕入高	0.0	0.0		
230J30120	フィルム加工課 出荷部門	原材料費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	外注加工費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	その他 直接経費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	他勘定振替高	0.0	0.0		
230J30120	フィルム加工課 出荷部門	経費合計（販管費）	0.0	0.0		0.0
230J30120	フィルム加工課 出荷部門	減価償却費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	車両費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	旅費交通費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	荷造運搬費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	通信費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	水道光熱費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	動力費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	事務用品費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	消耗品費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	廃棄物処理料	0.0	0.0		0.0
230J30120	フィルム加工課 出荷部門	広告宣伝費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	接待交際費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	研究開発費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	アフターサービス費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	クレーム費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	賃借料	0.0	0.0		
230J30120	フィルム加工課 出荷部門	賃貸料収入	0.0	0.0		
230J30120	フィルム加工課 出荷部門	修繕費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	支払リース料	0.0	0.0		
230J30120	フィルム加工課 出荷部門	保険料	0.0	0.0		
230J30120	フィルム加工課 出荷部門	支払報酬	0.0	0.0		
230J30120	フィルム加工課 出荷部門	販売手数料	0.0	0.0		
230J30120	フィルム加工課 出荷部門	支払手数料	0.0	0.0		
230J30120	フィルム加工課 出荷部門	診断料	0.0	0.0		
230J30120	フィルム加工課 出荷部門	諸会費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	会議費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	寄付金	0.0	0.0		
230J30120	フィルム加工課 出荷部門	租税公課	0.0	0.0		
230J30120	フィルム加工課 出荷部門	業務委託費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	業務受託収入	0.0	0.0		
230J30120	フィルム加工課 出荷部門	システム管理料	0.0	0.0		
230J30120	フィルム加工課 出荷部門	情報機器利用料	0.0	0.0		
230J30120	フィルム加工課 出荷部門	貸倒金	0.0	0.0		
230J30120	フィルム加工課 出荷部門	雑費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	福利消耗品費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	教育研修費	0.0	0.0		
230J30120	フィルム加工課 出荷部門	廃棄損・減耗損	0.0	0.0		
230J30120	フィルム加工課 出荷部門	雑給	0.0	0.0		
230J30120	フィルム加工課 出荷部門	社内金利（固定資産）	0.0	0.0		
230J30120	フィルム加工課 出荷部門	社内金利（売掛金）	0.0	0.0		
230J30120	フィルム加工課 出荷部門	社内金利（在庫）	0.0	0.0		
230J30120	フィルム加工課 出荷部門	営業口銭①（新築）	0.0	0.0		
230J30120	フィルム加工課 出荷部門	営業口銭②（リフォ）	0.0	0.0		
230J30120	フィルム加工課 出荷部門	開発口銭	0.0	0.0		
230J30120	フィルム加工課 出荷部門	部門共通（経費）	0.0	0.0		
230J30120	フィルム加工課 出荷部門	グループ共通	0.0	0.0		
230J30120	フィルム加工課 出荷部門	差引収益	0.0	0.0		
230J30120	フィルム加工課 出荷部門	差引比率	0.0	0.0		
230J30120	フィルム加工課 出荷部門	総時間	0.0	0.0		
230J30120	フィルム加工課 出荷部門	定時間	0.0	0.0		
230J30120	フィルム加工課 出荷部門	残業時間	0.0	0.0		
230J30120	フィルム加工課 出荷部門	移動時間	0.0	0.0		
230J30120	フィルム加工課 出荷部門	部門共通（時間）	0.0	0.0		
230J30120	フィルム加工課 出荷部門	当月時間当り	0.0	0.0		
230J30120	フィルム加工課 出荷部門	人員	0.0	0.0		
