組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H10200	マーケティング課	総受注高	0.0	0.0		
230H10200	マーケティング課	【新築】受注高	0.0	0.0		
230H10200	マーケティング課	【リフォ】受注高	0.0	0.0		
230H10200	マーケティング課	【資材】受注高	0.0	0.0		
230H10200	マーケティング課	総売上高	0.0	0.0		
230H10200	マーケティング課	【新築】売上高	0.0	0.0		
230H10200	マーケティング課	【リフォ】売上高	0.0	0.0		
230H10200	マーケティング課	【資材】売上高	0.0	0.0		
230H10200	マーケティング課	【新築】インセンティブ	0.0	0.0		
230H10200	マーケティング課	【リフォ】インセンティブ	0.0	0.0		
230H10200	マーケティング課	【資材】インセンティブ	0.0	0.0		
230H10200	マーケティング課	収益①（営業口銭）	0.0	0.0		
230H10200	マーケティング課	【新築】収益①(営業口銭)	0.0	0.0		
230H10200	マーケティング課	【リフォ】収益①(営業口銭)	0.0	0.0		
230H10200	マーケティング課	【資材】売上原価	0.0	0.0		
230H10200	マーケティング課	収益②（資材）	0.0	0.0		
230H10200	マーケティング課	総収益	0.0	0.0		
230H10200	マーケティング課	経費合計	0.0	0.0		
230H10200	マーケティング課	減価償却費	0.0	0.0		
230H10200	マーケティング課	車両費	1534.0	0.0		24.2
230H10200	マーケティング課	旅費交通費	2701376.0	2702000.0	99.9	152.4
230H10200	マーケティング課	荷造運搬費	1865.0	0.0		454.8
230H10200	マーケティング課	通信費	126188.0	126031.0	100.1	108.3
230H10200	マーケティング課	水道光熱費	240630.0	245121.0	98.1	131.1
230H10200	マーケティング課	動力費	0.0	0.0		
230H10200	マーケティング課	事務用品費	21378.0	32876.0	65.0	44.4
230H10200	マーケティング課	消耗品費	62574.0	53016.0	118.0	164.2
230H10200	マーケティング課	廃棄物処理料	19218.0	21480.0	89.4	114.4
230H10200	マーケティング課	広告宣伝費	20004087.0	19488000.0	102.6	142.3
230H10200	マーケティング課	接待交際費	42775.0	9000.0	475.2	63.0
230H10200	マーケティング課	研究開発費	0.0	0.0		
230H10200	マーケティング課	アフターサービス費	0.0	0.0		
230H10200	マーケティング課	クレーム費	0.0	0.0		
230H10200	マーケティング課	賃借料	4273320.0	4273320.0	100.0	134.2
230H10200	マーケティング課	賃貸料収入	0.0	0.0		
230H10200	マーケティング課	修繕費	4305.0	4305.0	100.0	
230H10200	マーケティング課	支払リース料	7742.0	7584.0	102.0	122.4
230H10200	マーケティング課	保険料	0.0	0.0		
230H10200	マーケティング課	支払報酬	1800000.0	1800000.0	100.0	79.1
230H10200	マーケティング課	販売手数料	0.0	0.0		
230H10200	マーケティング課	支払手数料	1625185.0	2216517.0	73.3	73.9
230H10200	マーケティング課	診断料	0.0	0.0		
230H10200	マーケティング課	諸会費	0.0	0.0		0.0
230H10200	マーケティング課	会議費	0.0	0.0		
230H10200	マーケティング課	寄付金	0.0	0.0		
230H10200	マーケティング課	租税公課	0.0	0.0		
230H10200	マーケティング課	業務委託費	0.0	0.0		
230H10200	マーケティング課	業務受託収入	0.0	0.0		
230H10200	マーケティング課	システム管理料	0.0	0.0		
230H10200	マーケティング課	情報機器利用料	6414948.0	6403648.0	100.1	235.7
230H10200	マーケティング課	貸倒金	0.0	0.0		
230H10200	マーケティング課	雑費	9708.0	9708.0	100.0	12.0
230H10200	マーケティング課	福利消耗品費	3989.0	24888.0	16.0	31.6
230H10200	マーケティング課	教育研修費	171394.0	170620.0	100.4	373.8
230H10200	マーケティング課	廃棄損・減耗損	0.0	0.0		
230H10200	マーケティング課	雑給	0.0	0.0		
230H10200	マーケティング課	社内金利（固定資産）	0.0	0.0		
230H10200	マーケティング課	社内金利（売掛金）	0.0	0.0		
230H10200	マーケティング課	社内金利（在庫）	0.0	0.0		
230H10200	マーケティング課	開発口銭	0.0	0.0		
230H10200	マーケティング課	部門共通（経費）	-39039416.0	-39095314.0		
230H10200	マーケティング課	グループ共通	1507200.0	1507200.0	100.0	128.1
230H10200	マーケティング課	差引収益	0.0	0.0		
230H10200	マーケティング課	差引比率	0.0	0.0		
230H10200	マーケティング課	総時間	0.0	0.0		
230H10200	マーケティング課	定時間	9505.0	9586.0	99.1	99.6
230H10200	マーケティング課	残業時間	869.25	843.0	103.1	129.3
230H10200	マーケティング課	移動時間	1278.0	1284.0	99.5	152.7
230H10200	マーケティング課	部門共通（時間）	-11652.25	-11713.0		
230H10200	マーケティング課	当月時間当り	0.0	0.0		
230H10200	マーケティング課	人員	5.0	5.0	100.0	100.0
