組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220C10300	中日本営業部	総受注高	3158967367.0	3720000000.0	84.9	
220C10300	中日本営業部	【新築】受注高	663067855.0	1010000000.0	65.6	
220C10300	中日本営業部	【リフォ】受注高	814283148.0	1130000000.0	72.0	
220C10300	中日本営業部	【資材】受注高	1681616364.0	1580000000.0	106.4	
220C10300	中日本営業部	総売上高	3259631742.0	3720000000.0	87.6	
220C10300	中日本営業部	【新築】売上高	805802855.0	1010000000.0	79.7	
220C10300	中日本営業部	【リフォ】売上高	868231807.0	1130000000.0	76.8	
220C10300	中日本営業部	【資材】売上高	1585997080.0	1580400000.0	100.3	
220C10300	中日本営業部	【新築】インセンティブ	0.0	0.0		
220C10300	中日本営業部	【リフォ】インセンティブ	0.0	0.0		
220C10300	中日本営業部	【資材】インセンティブ	-400000.0	-400000.0		
220C10300	中日本営業部	収益①（営業口銭）	170524899.0	220000000.0	77.5	
220C10300	中日本営業部	【新築】収益①(営業口銭)	40290142.0	50500000.0	79.7	
220C10300	中日本営業部	【リフォ】収益①(営業口銭)	130234757.0	169500000.0	76.8	
220C10300	中日本営業部	【資材】売上原価	1247339120.0	1240000000.0	100.5	
220C10300	中日本営業部	収益②（資材）	338257960.0	340000000.0	99.4	
220C10300	中日本営業部	総収益	508782859.0	560000000.0	90.8	
220C10300	中日本営業部	総出荷	1674034662.0	2140000000.0	78.2	
220C10300	中日本営業部	社外売	1674034662.0	2140000000.0	78.2	
220C10300	中日本営業部	社内売	0.0	0.0		
220C10300	中日本営業部	社内仕入	255372144.0	331418309.0	77.0	
220C10300	中日本営業部	仕掛1	0.0	15864041.0	0.0	
220C10300	中日本営業部	総生産	1418662518.0	1792717650.0	79.1	
220C10300	中日本営業部	経費合計	1596032700.0	1875723487.0	85.0	
220C10300	中日本営業部	経費合計(原価)	1143513448.0	1376717650.0	83.0	
220C10300	中日本営業部	仕掛2	127535050.0	124221764.0	102.6	
220C10300	中日本営業部	商品仕入高	481256775.0	606829839.0	79.3	
220C10300	中日本営業部	原材料費	0.0	0.0		
220C10300	中日本営業部	外注加工費	509583830.0	619612554.0	82.2	
220C10300	中日本営業部	その他 直接経費	25137793.0	26053493.0	96.4	
220C10300	中日本営業部	他勘定振替高	0.0	0.0		
220C10300	中日本営業部	経費合計（販管費）	452519252.0	499005837.0	90.6	
220C10300	中日本営業部	減価償却費	6634520.0	6756811.0	98.1	
220C10300	中日本営業部	車両費	46419356.0	45925341.0	101.0	
220C10300	中日本営業部	旅費交通費	12730078.0	12139327.0	104.8	
220C10300	中日本営業部	荷造運搬費	851940.0	675100.0	126.1	
