組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
040A30101	宮城工務チーム	総出荷	162186955.0	250000000.0	64.8	222.5
040A30101	宮城工務チーム	社外売	162186955.0	250000000.0	64.8	222.5
040A30101	宮城工務チーム	社内売	0.0	0.0		
040A30101	宮城工務チーム	社内仕入	26215415.0	36975000.0	70.9	516.7
040A30101	宮城工務チーム	仕掛1	1279254.0	1279254.0	100.0	
040A30101	宮城工務チーム	総生産	134692286.0	211745746.0	63.6	195.1
040A30101	宮城工務チーム	経費合計	132562595.0	194477684.0	68.1	206.8
040A30101	宮城工務チーム	経費合計(原価)	116460079.0	172045746.0	67.6	227.3
040A30101	宮城工務チーム	仕掛2	1205674.0	397688.0	303.1	30.6
040A30101	宮城工務チーム	商品仕入高	51355510.0	75048058.0	68.4	491.4
040A30101	宮城工務チーム	原材料費	0.0	0.0		
040A30101	宮城工務チーム	外注加工費	63626433.0	96600000.0	65.8	172.7
040A30101	宮城工務チーム	その他 直接経費	272462.0	0.0		
040A30101	宮城工務チーム	他勘定振替高	0.0	0.0		
040A30101	宮城工務チーム	経費合計（販管費）	16102516.0	22431938.0	71.7	125.1
040A30101	宮城工務チーム	減価償却費	0.0	0.0		
040A30101	宮城工務チーム	車両費	0.0	0.0		0.0
040A30101	宮城工務チーム	旅費交通費	100000.0	120000.0	83.3	42.3
040A30101	宮城工務チーム	荷造運搬費	0.0	0.0		
040A30101	宮城工務チーム	通信費	0.0	0.0		0.0
040A30101	宮城工務チーム	水道光熱費	78910.0	92760.0	85.0	994.0
040A30101	宮城工務チーム	動力費	0.0	0.0		
040A30101	宮城工務チーム	事務用品費	0.0	0.0		0.0
040A30101	宮城工務チーム	消耗品費	0.0	0.0		0.0
040A30101	宮城工務チーム	廃棄物処理料	0.0	0.0		
040A30101	宮城工務チーム	広告宣伝費	0.0	0.0		
040A30101	宮城工務チーム	接待交際費	0.0	0.0		
040A30101	宮城工務チーム	研究開発費	0.0	0.0		
040A30101	宮城工務チーム	アフターサービス費	0.0	0.0		
040A30101	宮城工務チーム	クレーム費	0.0	0.0		
040A30101	宮城工務チーム	賃借料	0.0	0.0		0.0
040A30101	宮城工務チーム	賃貸料収入	0.0	0.0		
040A30101	宮城工務チーム	修繕費	0.0	0.0		
040A30101	宮城工務チーム	支払リース料	0.0	0.0		
040A30101	宮城工務チーム	保険料	0.0	0.0		
040A30101	宮城工務チーム	支払報酬	0.0	0.0		
040A30101	宮城工務チーム	販売手数料	0.0	0.0		
040A30101	宮城工務チーム	支払手数料	0.0	0.0		
040A30101	宮城工務チーム	診断料	0.0	0.0		
040A30101	宮城工務チーム	諸会費	0.0	0.0		
040A30101	宮城工務チーム	会議費	0.0	0.0		
040A30101	宮城工務チーム	寄付金	0.0	0.0		
040A30101	宮城工務チーム	租税公課	0.0	0.0		
040A30101	宮城工務チーム	業務委託費	0.0	0.0		
040A30101	宮城工務チーム	業務受託収入	0.0	0.0		
040A30101	宮城工務チーム	システム管理料	0.0	0.0		
040A30101	宮城工務チーム	情報機器利用料	0.0	0.0		
040A30101	宮城工務チーム	貸倒金	0.0	0.0		
040A30101	宮城工務チーム	雑費	0.0	0.0		
040A30101	宮城工務チーム	福利消耗品費	0.0	0.0		
040A30101	宮城工務チーム	教育研修費	0.0	0.0		
040A30101	宮城工務チーム	廃棄損・減耗損	0.0	0.0		
040A30101	宮城工務チーム	雑給	0.0	0.0		
040A30101	宮城工務チーム	社内金利（固定資産）	0.0	0.0		
040A30101	宮城工務チーム	社内金利（売掛金）	0.0	0.0		
040A30101	宮城工務チーム	社内金利（在庫）	0.0	0.0		
040A30101	宮城工務チーム	営業口銭①（新築）	5065750.0	8500000.0	59.5	765.9
040A30101	宮城工務チーム	営業口銭②（リフォ）	9130793.0	12000000.0	76.0	102.0
040A30101	宮城工務チーム	開発口銭	0.0	0.0		
040A30101	宮城工務チーム	部門共通（経費）	1727063.0	1719178.0	100.4	71.3
040A30101	宮城工務チーム	グループ共通	0.0	0.0		0.0
040A30101	宮城工務チーム	差引収益	2129691.0	17268062.0	12.3	43.1
040A30101	宮城工務チーム	差引比率	1.5	8.1	18.5	21.1
040A30101	宮城工務チーム	総時間	1849.25	1850.5	99.9	80.5
040A30101	宮城工務チーム	定時間	0.0	0.0		
040A30101	宮城工務チーム	残業時間	0.0	0.0		
040A30101	宮城工務チーム	移動時間	1080.0	1080.0	100.0	100.0
040A30101	宮城工務チーム	部門共通（時間）	769.25	770.5	99.8	63.2
040A30101	宮城工務チーム	当月時間当り	1151.6	9331.5	12.3	53.5
040A30101	宮城工務チーム	人員	0.0	0.0		
