組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230S10300	尾張営業課	総受注高	753820830.0	830000000.0	90.8	85.0
230S10300	尾張営業課	【新築】受注高	162278182.0	200000000.0	81.1	76.6
230S10300	尾張営業課	【リフォ】受注高	131315887.0	200000000.0	65.6	61.5
230S10300	尾張営業課	【資材】受注高	460226761.0	430000000.0	107.0	99.7
230S10300	尾張営業課	総売上高	793367135.0	830000000.0	95.5	94.7
230S10300	尾張営業課	【新築】売上高	209878182.0	200000000.0	104.9	106.4
230S10300	尾張営業課	【リフォ】売上高	147692457.0	200000000.0	73.8	77.0
230S10300	尾張営業課	【資材】売上高	436196496.0	430400000.0	101.3	96.9
230S10300	尾張営業課	【新築】インセンティブ	0.0	0.0		
230S10300	尾張営業課	【リフォ】インセンティブ	0.0	0.0		
230S10300	尾張営業課	【資材】インセンティブ	-400000.0	-400000.0		
230S10300	尾張営業課	収益①（営業口銭）	32647773.0	40000000.0	81.6	80.7
230S10300	尾張営業課	【新築】収益①(営業口銭)	10493909.0	10000000.0	104.9	88.0
230S10300	尾張営業課	【リフォ】収益①(営業口銭)	22153864.0	30000000.0	73.8	77.6
230S10300	尾張営業課	【資材】売上原価	352857999.0	344000000.0	102.5	94.8
230S10300	尾張営業課	収益②（資材）	82938497.0	86000000.0	96.4	107.1
230S10300	尾張営業課	総収益	115586270.0	126000000.0	91.7	99.2
230S10300	尾張営業課	総出荷	357570639.0	400000000.0	89.3	91.9
230S10300	尾張営業課	社外売	357570639.0	400000000.0	89.3	91.9
230S10300	尾張営業課	社内売	0.0	0.0		
230S10300	尾張営業課	社内仕入	58621717.0	60672350.0	96.6	83.9
230S10300	尾張営業課	仕掛1	0.0	0.0		0.0
230S10300	尾張営業課	総生産	298948922.0	339327650.0	88.1	95.1
230S10300	尾張営業課	経費合計	344232456.0	373317508.0	92.2	99.2
230S10300	尾張営業課	経費合計(原価)	249265127.0	273327650.0	91.1	100.8
230S10300	尾張営業課	仕掛2	0.0	0.0		0.0
230S10300	尾張営業課	商品仕入高	123264142.0	141711320.0	86.9	117.4
230S10300	尾張営業課	原材料費	0.0	0.0		0.0
230S10300	尾張営業課	外注加工費	119487415.0	124157837.0	96.2	84.5
230S10300	尾張営業課	その他 直接経費	6513570.0	7458493.0	87.3	
230S10300	尾張営業課	他勘定振替高	0.0	0.0		
230S10300	尾張営業課	経費合計（販管費）	94967329.0	99989858.0	94.9	95.3
230S10300	尾張営業課	減価償却費	290610.0	387480.0	75.0	
230S10300	尾張営業課	車両費	9804632.0	9680479.0	101.2	103.2
230S10300	尾張営業課	旅費交通費	3077987.0	3003627.0	102.4	98.2
230S10300	尾張営業課	荷造運搬費	216730.0	97000.0	223.4	324.8
230S10300	尾張営業課	通信費	916813.0	900839.0	101.7	92.4
230S10300	尾張営業課	水道光熱費	516386.0	532268.0	97.0	115.6
230S10300	尾張営業課	動力費	0.0	0.0		
230S10300	尾張営業課	事務用品費	283598.0	278747.0	101.7	103.1
230S10300	尾張営業課	消耗品費	104821.0	98628.0	106.2	93.9
230S10300	尾張営業課	廃棄物処理料	1063640.0	1066000.0	99.7	116.0
230S10300	尾張営業課	広告宣伝費	193000.0	198000.0	97.4	89.4
230S10300	尾張営業課	接待交際費	170597.0	180000.0	94.7	70.4
230S10300	尾張営業課	研究開発費	0.0	0.0		
230S10300	尾張営業課	アフターサービス費	0.0	0.0		
230S10300	尾張営業課	クレーム費	3821171.0	2000000.0	191.0	71.7
230S10300	尾張営業課	賃借料	4992648.0	5052382.0	98.8	102.2
230S10300	尾張営業課	賃貸料収入	-271560.0	-271560.0		
230S10300	尾張営業課	修繕費	0.0	0.0		
230S10300	尾張営業課	支払リース料	8200.0	8200.0	100.0	100.0
230S10300	尾張営業課	保険料	18396.0	18396.0	100.0	108.3
230S10300	尾張営業課	支払報酬	136364.0	0.0		
230S10300	尾張営業課	販売手数料	0.0	0.0		
230S10300	尾張営業課	支払手数料	141244.0	131813.0	107.1	103.9
230S10300	尾張営業課	診断料	0.0	0.0		
230S10300	尾張営業課	諸会費	38000.0	38500.0	98.7	83.8
230S10300	尾張営業課	会議費	0.0	0.0		0.0
230S10300	尾張営業課	寄付金	0.0	0.0		
230S10300	尾張営業課	租税公課	112700.0	141500.0	79.6	55.9
230S10300	尾張営業課	業務委託費	0.0	0.0		
230S10300	尾張営業課	業務受託収入	0.0	0.0		
230S10300	尾張営業課	システム管理料	0.0	0.0		
230S10300	尾張営業課	情報機器利用料	8762792.0	8697840.0	100.7	99.4
230S10300	尾張営業課	貸倒金	0.0	0.0		
230S10300	尾張営業課	雑費	87430.0	84680.0	103.2	100.3
230S10300	尾張営業課	福利消耗品費	138880.0	159030.0	87.3	49.9
230S10300	尾張営業課	教育研修費	175372.0	180455.0	97.1	83.4
230S10300	尾張営業課	廃棄損・減耗損	129893.0	120000.0	108.2	457.5
230S10300	尾張営業課	雑給	0.0	0.0		
230S10300	尾張営業課	社内金利（固定資産）	0.0	0.0		
230S10300	尾張営業課	社内金利（売掛金）	325653.0	324000.0	100.5	108.2
230S10300	尾張営業課	社内金利（在庫）	426513.0	359800.0	118.5	113.3
230S10300	尾張営業課	営業口銭①（新築）	10493909.0	10000000.0	104.9	88.0
230S10300	尾張営業課	営業口銭②（リフォ）	22153864.0	30000000.0	73.8	77.6
230S10300	尾張営業課	開発口銭	0.0	0.0		
230S10300	尾張営業課	部門共通（経費）	22966146.0	22901354.0	100.2	124.3
230S10300	尾張営業課	グループ共通	3670900.0	3620400.0	101.3	83.4
230S10300	尾張営業課	差引収益	70302736.0	92010142.0	76.4	83.8
230S10300	尾張営業課	差引比率	6.4	7.8	82.0	88.8
230S10300	尾張営業課	総時間	39619.5	39561.75	100.1	103.4
230S10300	尾張営業課	定時間	22699.0	22452.0	101.1	90.4
230S10300	尾張営業課	残業時間	4010.0	4000.0	100.2	90.9
230S10300	尾張営業課	移動時間	591.75	742.0	79.7	
230S10300	尾張営業課	部門共通（時間）	12318.75	12367.75	99.6	115.5
230S10300	尾張営業課	当月時間当り	1774.4	2325.7	76.2	80.9
230S10300	尾張営業課	人員	12.0	12.0	100.0	85.7
