組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230C30500	工務管理課	総出荷	0.0	0.0		
230C30500	工務管理課	社外売	0.0	0.0		
230C30500	工務管理課	社内売	0.0	0.0		
230C30500	工務管理課	社内仕入	0.0	0.0		
230C30500	工務管理課	仕掛1	0.0	0.0		
230C30500	工務管理課	総生産	0.0	0.0		
230C30500	工務管理課	経費合計	0.0	0.0		
230C30500	工務管理課	経費合計(原価)	0.0	0.0		
230C30500	工務管理課	仕掛2	0.0	0.0		
230C30500	工務管理課	商品仕入高	0.0	0.0		
230C30500	工務管理課	原材料費	0.0	0.0		
230C30500	工務管理課	外注加工費	0.0	0.0		
230C30500	工務管理課	その他 直接経費	0.0	0.0		
230C30500	工務管理課	他勘定振替高	0.0	0.0		
230C30500	工務管理課	経費合計（販管費）	0.0	0.0		
230C30500	工務管理課	減価償却費	53057.0	53057.0	100.0	77.0
230C30500	工務管理課	車両費	3509311.0	3580353.0	98.0	97.0
230C30500	工務管理課	旅費交通費	162217.0	160000.0	101.3	330.6
230C30500	工務管理課	荷造運搬費	0.0	0.0		0.0
230C30500	工務管理課	通信費	224506.0	239620.0	93.6	151.7
230C30500	工務管理課	水道光熱費	144502.0	144000.0	100.3	71.9
230C30500	工務管理課	動力費	0.0	0.0		
230C30500	工務管理課	事務用品費	54727.0	69000.0	79.3	150.8
230C30500	工務管理課	消耗品費	30943.0	5412.0	571.7	16.0
230C30500	工務管理課	廃棄物処理料	45136.0	57144.0	78.9	828.3
230C30500	工務管理課	広告宣伝費	0.0	0.0		0.0
230C30500	工務管理課	接待交際費	135000.0	180000.0	75.0	107.6
230C30500	工務管理課	研究開発費	0.0	0.0		
230C30500	工務管理課	アフターサービス費	0.0	0.0		
230C30500	工務管理課	クレーム費	0.0	0.0		
230C30500	工務管理課	賃借料	3541824.0	3541824.0	100.0	347.0
230C30500	工務管理課	賃貸料収入	-679636.0	-738500.0		
230C30500	工務管理課	修繕費	908320.0	1055500.0	86.0	111.6
230C30500	工務管理課	支払リース料	13659.0	13662.0	99.9	87.6
230C30500	工務管理課	保険料	5980560.0	5980560.0	100.0	86.6
230C30500	工務管理課	支払報酬	0.0	0.0		
230C30500	工務管理課	販売手数料	0.0	0.0		
230C30500	工務管理課	支払手数料	1449964.0	1448000.0	100.1	100.1
230C30500	工務管理課	診断料	0.0	0.0		
230C30500	工務管理課	諸会費	125286.0	125286.0	100.0	100.8
230C30500	工務管理課	会議費	0.0	0.0		
230C30500	工務管理課	寄付金	0.0	0.0		
230C30500	工務管理課	租税公課	0.0	0.0		0.0
230C30500	工務管理課	業務委託費	0.0	0.0		
230C30500	工務管理課	業務受託収入	0.0	0.0		
230C30500	工務管理課	システム管理料	0.0	0.0		
230C30500	工務管理課	情報機器利用料	2869044.0	2869044.0	100.0	111.9
230C30500	工務管理課	貸倒金	0.0	0.0		
230C30500	工務管理課	雑費	28804.0	25006.0	115.1	
230C30500	工務管理課	福利消耗品費	49780.0	27630.0	180.1	282.2
230C30500	工務管理課	教育研修費	49904.0	32000.0	155.9	244.8
230C30500	工務管理課	廃棄損・減耗損	0.0	0.0		
230C30500	工務管理課	雑給	0.0	0.0		
230C30500	工務管理課	社内金利（固定資産）	7377.0	11899.0	61.9	67.0
230C30500	工務管理課	社内金利（売掛金）	0.0	0.0		
230C30500	工務管理課	社内金利（在庫）	0.0	0.0		
230C30500	工務管理課	営業口銭①（新築）	0.0	0.0		
230C30500	工務管理課	営業口銭②（リフォ）	0.0	0.0		
230C30500	工務管理課	開発口銭	0.0	0.0		
230C30500	工務管理課	部門共通（経費）	-19613885.0	-19790097.0		
230C30500	工務管理課	グループ共通	909600.0	909600.0	100.0	77.3
230C30500	工務管理課	差引収益	0.0	0.0		
230C30500	工務管理課	差引比率	0.0	0.0		
230C30500	工務管理課	総時間	0.0	0.0		
230C30500	工務管理課	定時間	7270.25	7328.0	99.2	106.9
230C30500	工務管理課	残業時間	798.25	828.0	96.4	145.5
230C30500	工務管理課	移動時間	-604.5	-632.0		
230C30500	工務管理課	部門共通（時間）	-7464.0	-7524.0		
230C30500	工務管理課	当月時間当り	0.0	0.0		
230C30500	工務管理課	人員	4.0	4.0	100.0	100.0
