組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230C30400	工務統括部	総出荷	18522188.0	18000000.0	102.9	186.0
230C30400	工務統括部	社外売	0.0	0.0		
230C30400	工務統括部	社内売	18522188.0	18000000.0	102.9	186.0
230C30400	工務統括部	社内仕入	0.0	0.0		
230C30400	工務統括部	仕掛1	0.0	0.0		
230C30400	工務統括部	総生産	18522188.0	18000000.0	102.9	186.0
230C30400	工務統括部	経費合計	14049221.0	14200515.0	98.9	185.0
230C30400	工務統括部	経費合計(原価)	0.0	0.0		
230C30400	工務統括部	仕掛2	0.0	0.0		
230C30400	工務統括部	商品仕入高	0.0	0.0		
230C30400	工務統括部	原材料費	0.0	0.0		
230C30400	工務統括部	外注加工費	0.0	0.0		
230C30400	工務統括部	その他 直接経費	0.0	0.0		
230C30400	工務統括部	他勘定振替高	0.0	0.0		
230C30400	工務統括部	経費合計（販管費）	14049221.0	14200515.0	98.9	185.0
230C30400	工務統括部	減価償却費	240617.0	240617.0	100.0	349.2
230C30400	工務統括部	車両費	6332251.0	6447330.0	98.2	120.6
230C30400	工務統括部	旅費交通費	416452.0	400000.0	104.1	577.2
230C30400	工務統括部	荷造運搬費	0.0	0.0		0.0
230C30400	工務統括部	通信費	381163.0	399400.0	95.4	140.5
230C30400	工務統括部	水道光熱費	456493.0	468676.0	97.4	100.6
230C30400	工務統括部	動力費	0.0	0.0		
230C30400	工務統括部	事務用品費	151157.0	161268.0	93.7	296.3
230C30400	工務統括部	消耗品費	976374.0	962120.0	101.4	364.6
230C30400	工務統括部	廃棄物処理料	52221.0	63828.0	81.8	186.1
230C30400	工務統括部	広告宣伝費	2349.0	2349.0	100.0	54.5
230C30400	工務統括部	接待交際費	139190.0	180000.0	77.3	110.9
230C30400	工務統括部	研究開発費	0.0	0.0		
230C30400	工務統括部	アフターサービス費	0.0	0.0		
230C30400	工務統括部	クレーム費	0.0	0.0		0.0
230C30400	工務統括部	賃借料	7297669.0	7394576.0	98.6	253.5
230C30400	工務統括部	賃貸料収入	-1413556.0	-1472420.0		
230C30400	工務統括部	修繕費	908320.0	1055500.0	86.0	111.6
230C30400	工務統括部	支払リース料	96805.0	101610.0	95.2	275.3
230C30400	工務統括部	保険料	5992508.0	5980560.0	100.1	86.7
230C30400	工務統括部	支払報酬	0.0	0.0		
230C30400	工務統括部	販売手数料	0.0	0.0		
230C30400	工務統括部	支払手数料	1477144.0	1475270.0	100.1	101.6
230C30400	工務統括部	診断料	0.0	0.0		
230C30400	工務統括部	諸会費	138428.0	138928.0	99.6	105.1
230C30400	工務統括部	会議費	0.0	0.0		
230C30400	工務統括部	寄付金	0.0	0.0		
230C30400	工務統括部	租税公課	57072.0	65216.0	87.5	603.6
230C30400	工務統括部	業務委託費	0.0	0.0		
230C30400	工務統括部	業務受託収入	0.0	0.0		
230C30400	工務統括部	システム管理料	0.0	0.0		
230C30400	工務統括部	情報機器利用料	4774884.0	4774884.0	100.0	109.4
230C30400	工務統括部	貸倒金	0.0	0.0		
230C30400	工務統括部	雑費	86542.0	82738.0	104.5	
230C30400	工務統括部	福利消耗品費	224639.0	204660.0	109.7	625.9
230C30400	工務統括部	教育研修費	719128.0	702036.0	102.4	
230C30400	工務統括部	廃棄損・減耗損	0.0	0.0		
230C30400	工務統括部	雑給	0.0	0.0		
230C30400	工務統括部	社内金利（固定資産）	7377.0	11899.0	61.9	67.0
230C30400	工務統括部	社内金利（売掛金）	0.0	0.0		
230C30400	工務統括部	社内金利（在庫）	0.0	0.0		
230C30400	工務統括部	営業口銭①（新築）	0.0	0.0		
230C30400	工務統括部	営業口銭②（リフォ）	0.0	0.0		
230C30400	工務統括部	開発口銭	0.0	0.0		
230C30400	工務統括部	部門共通（経費）	-18792406.0	-18966930.0		
230C30400	工務統括部	グループ共通	3326400.0	3326400.0	100.0	125.6
230C30400	工務統括部	差引収益	4472967.0	3799485.0	117.7	189.1
230C30400	工務統括部	差引比率	24.1	21.1	114.2	101.6
230C30400	工務統括部	総時間	21106.75	21000.0	100.5	232.4
230C30400	工務統括部	定時間	24555.25	24608.0	99.7	150.7
230C30400	工務統括部	残業時間	3202.25	3133.0	102.2	162.3
230C30400	工務統括部	移動時間	53.5	29.0	184.4	
230C30400	工務統括部	部門共通（時間）	-6704.25	-6770.0		
230C30400	工務統括部	当月時間当り	211.9	180.9	117.1	81.3
230C30400	工務統括部	人員	13.0	13.0	100.0	144.4
