組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
400A10100	広域支援課	総出荷	0.0	0.0		
400A10100	広域支援課	社外売	0.0	0.0		
400A10100	広域支援課	社内売	0.0	0.0		
400A10100	広域支援課	社内仕入	0.0	0.0		
400A10100	広域支援課	仕掛1	0.0	0.0		
400A10100	広域支援課	総生産	0.0	0.0		
400A10100	広域支援課	経費合計	0.0	0.0		
400A10100	広域支援課	経費合計(原価)	0.0	0.0		
400A10100	広域支援課	仕掛2	0.0	0.0		
400A10100	広域支援課	商品仕入高	0.0	0.0		
400A10100	広域支援課	原材料費	0.0	0.0		
400A10100	広域支援課	外注加工費	0.0	0.0		
400A10100	広域支援課	その他 直接経費	0.0	0.0		
400A10100	広域支援課	他勘定振替高	0.0	0.0		
400A10100	広域支援課	経費合計（販管費）	0.0	0.0		
400A10100	広域支援課	減価償却費	0.0	0.0		
400A10100	広域支援課	車両費	2543005.0	2542482.0	100.0	83.4
400A10100	広域支援課	旅費交通費	3285374.0	3310000.0	99.2	101.3
400A10100	広域支援課	荷造運搬費	0.0	0.0		0.0
400A10100	広域支援課	通信費	108135.0	108120.0	100.0	77.5
400A10100	広域支援課	水道光熱費	0.0	0.0		0.0
400A10100	広域支援課	動力費	0.0	0.0		
400A10100	広域支援課	事務用品費	11320.0	13300.0	85.1	37.7
400A10100	広域支援課	消耗品費	120049.0	147000.0	81.6	44.3
400A10100	広域支援課	廃棄物処理料	0.0	0.0		
400A10100	広域支援課	広告宣伝費	0.0	0.0		0.0
400A10100	広域支援課	接待交際費	130000.0	140000.0	92.8	93.1
400A10100	広域支援課	研究開発費	0.0	0.0		
400A10100	広域支援課	アフターサービス費	0.0	0.0		
400A10100	広域支援課	クレーム費	0.0	0.0		
400A10100	広域支援課	賃借料	311998.0	336000.0	92.8	19.8
400A10100	広域支援課	賃貸料収入	0.0	0.0		
400A10100	広域支援課	修繕費	0.0	0.0		
400A10100	広域支援課	支払リース料	0.0	0.0		
400A10100	広域支援課	保険料	0.0	0.0		0.0
400A10100	広域支援課	支払報酬	0.0	0.0		
400A10100	広域支援課	販売手数料	0.0	0.0		
400A10100	広域支援課	支払手数料	220.0	0.0		1.0
400A10100	広域支援課	診断料	0.0	0.0		
400A10100	広域支援課	諸会費	26500.0	14000.0	189.2	114.4
400A10100	広域支援課	会議費	0.0	0.0		
400A10100	広域支援課	寄付金	0.0	0.0		
400A10100	広域支援課	租税公課	0.0	0.0		
400A10100	広域支援課	業務委託費	0.0	0.0		
400A10100	広域支援課	業務受託収入	0.0	0.0		
400A10100	広域支援課	システム管理料	0.0	0.0		
400A10100	広域支援課	情報機器利用料	2058096.0	2053464.0	100.2	106.0
400A10100	広域支援課	貸倒金	0.0	0.0		
400A10100	広域支援課	雑費	31085.0	0.0		136.7
400A10100	広域支援課	福利消耗品費	12990.0	36390.0	35.6	56.8
400A10100	広域支援課	教育研修費	242000.0	242000.0	100.0	11.6
400A10100	広域支援課	廃棄損・減耗損	0.0	0.0		
400A10100	広域支援課	雑給	0.0	0.0		
400A10100	広域支援課	社内金利（固定資産）	0.0	0.0		
400A10100	広域支援課	社内金利（売掛金）	0.0	0.0		
400A10100	広域支援課	社内金利（在庫）	0.0	0.0		
400A10100	広域支援課	営業口銭①（新築）	0.0	0.0		
400A10100	広域支援課	営業口銭②（リフォ）	0.0	0.0		
400A10100	広域支援課	開発口銭	0.0	0.0		
400A10100	広域支援課	部門共通（経費）	-10387972.0	-10449956.0		
400A10100	広域支援課	グループ共通	1507200.0	1507200.0	100.0	85.6
400A10100	広域支援課	差引収益	0.0	0.0		
400A10100	広域支援課	差引比率	0.0	0.0		
400A10100	広域支援課	総時間	0.0	0.0		
400A10100	広域支援課	定時間	9556.75	9588.0	99.6	88.1
400A10100	広域支援課	残業時間	1665.5	1690.0	98.5	96.9
400A10100	広域支援課	移動時間	137.0	150.0	91.3	116.1
400A10100	広域支援課	部門共通（時間）	-11359.25	-11428.0		
400A10100	広域支援課	当月時間当り	0.0	0.0		
400A10100	広域支援課	人員	5.0	5.0	100.0	83.3
