組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H10100	推進チーム	総受注高	0.0	0.0		
230H10100	推進チーム	【新築】受注高	0.0	0.0		
230H10100	推進チーム	【リフォ】受注高	0.0	0.0		
230H10100	推進チーム	【資材】受注高	0.0	0.0		
230H10100	推進チーム	総売上高	0.0	0.0		
230H10100	推進チーム	【新築】売上高	0.0	0.0		
230H10100	推進チーム	【リフォ】売上高	0.0	0.0		
230H10100	推進チーム	【資材】売上高	0.0	0.0		
230H10100	推進チーム	【新築】インセンティブ	0.0	0.0		
230H10100	推進チーム	【リフォ】インセンティブ	0.0	0.0		
230H10100	推進チーム	【資材】インセンティブ	0.0	0.0		
230H10100	推進チーム	収益①（営業口銭）	0.0	0.0		
230H10100	推進チーム	【新築】収益①(営業口銭)	0.0	0.0		
230H10100	推進チーム	【リフォ】収益①(営業口銭)	0.0	0.0		
230H10100	推進チーム	【資材】売上原価	0.0	0.0		
230H10100	推進チーム	収益②（資材）	0.0	0.0		
230H10100	推進チーム	総収益	0.0	0.0		
230H10100	推進チーム	経費合計	0.0	0.0		
230H10100	推進チーム	減価償却費	138000.0	0.0		
230H10100	推進チーム	車両費	476462.0	504657.0	94.4	
230H10100	推進チーム	旅費交通費	106999.0	123000.0	86.9	86.9
230H10100	推進チーム	荷造運搬費	0.0	0.0		
230H10100	推進チーム	通信費	622592.0	710706.0	87.6	219.8
230H10100	推進チーム	水道光熱費	239664.0	245121.0	97.7	87.1
230H10100	推進チーム	動力費	0.0	0.0		
230H10100	推進チーム	事務用品費	45912.0	36676.0	125.1	27.8
230H10100	推進チーム	消耗品費	78048.0	37016.0	210.8	8.7
230H10100	推進チーム	廃棄物処理料	159400.0	161480.0	98.7	47.6
230H10100	推進チーム	広告宣伝費	20927.0	154000.0	13.5	115.1
230H10100	推進チーム	接待交際費	6300.0	6000.0	105.0	157.7
230H10100	推進チーム	研究開発費	0.0	0.0		
230H10100	推進チーム	アフターサービス費	0.0	0.0		
230H10100	推進チーム	クレーム費	0.0	0.0		
230H10100	推進チーム	賃借料	4273320.0	4638888.0	92.1	89.5
230H10100	推進チーム	賃貸料収入	0.0	0.0		
230H10100	推進チーム	修繕費	4035.0	4305.0	93.7	
230H10100	推進チーム	支払リース料	7742.0	7584.0	102.0	81.6
230H10100	推進チーム	保険料	0.0	0.0		
230H10100	推進チーム	支払報酬	1200000.0	1300000.0	92.3	
230H10100	推進チーム	販売手数料	0.0	0.0		
230H10100	推進チーム	支払手数料	383928.0	501456.0	76.5	150.4
230H10100	推進チーム	診断料	0.0	0.0		
230H10100	推進チーム	諸会費	0.0	0.0		
230H10100	推進チーム	会議費	1649.0	0.0		
230H10100	推進チーム	寄付金	0.0	0.0		
230H10100	推進チーム	租税公課	0.0	0.0		0.0
230H10100	推進チーム	業務委託費	0.0	0.0		
230H10100	推進チーム	業務受託収入	0.0	0.0		
230H10100	推進チーム	システム管理料	0.0	0.0		
230H10100	推進チーム	情報機器利用料	5064408.0	5064408.0	100.0	129.0
230H10100	推進チーム	貸倒金	0.0	0.0		
230H10100	推進チーム	雑費	9890.0	9708.0	101.8	40.0
230H10100	推進チーム	福利消耗品費	4142.0	15888.0	26.0	19.1
230H10100	推進チーム	教育研修費	38101.0	33464.0	113.8	81.8
230H10100	推進チーム	廃棄損・減耗損	600000.0	600000.0	100.0	23.6
230H10100	推進チーム	雑給	0.0	0.0		
230H10100	推進チーム	社内金利（固定資産）	6727.0	0.0		
230H10100	推進チーム	社内金利（売掛金）	0.0	0.0		
230H10100	推進チーム	社内金利（在庫）	11570945.0	10740000.0	107.7	137.9
230H10100	推進チーム	開発口銭	0.0	0.0		
230H10100	推進チーム	部門共通（経費）	-26566391.0	-26401557.0		
230H10100	推進チーム	グループ共通	1507200.0	1507200.0	100.0	85.6
230H10100	推進チーム	差引収益	0.0	0.0		
230H10100	推進チーム	差引比率	0.0	0.0		
230H10100	推進チーム	総時間	0.0	0.0		
230H10100	推進チーム	定時間	11282.75	11272.0	100.0	100.7
230H10100	推進チーム	残業時間	1442.5	1445.0	99.8	119.8
230H10100	推進チーム	移動時間	-1413.0	-1379.0		
230H10100	推進チーム	部門共通（時間）	-11312.25	-11338.0		
230H10100	推進チーム	当月時間当り	0.0	0.0		
230H10100	推進チーム	人員	6.0	6.0	100.0	100.0
