組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230C30310	施設加工課	総出荷	137520818.0	198000000.0	69.4	146.0
230C30310	施設加工課	社外売	0.0	0.0		
230C30310	施設加工課	社内売	137520818.0	198000000.0	69.4	146.0
230C30310	施設加工課	社内仕入	0.0	0.0		
230C30310	施設加工課	仕掛1	0.0	0.0		
230C30310	施設加工課	総生産	137520818.0	198000000.0	69.4	146.0
230C30310	施設加工課	経費合計	68601447.0	74961078.0	91.5	115.3
230C30310	施設加工課	経費合計(原価)	12416960.0	18600000.0	66.7	114.6
230C30310	施設加工課	仕掛2	0.0	0.0		
230C30310	施設加工課	商品仕入高	0.0	0.0		
230C30310	施設加工課	原材料費	0.0	0.0		
230C30310	施設加工課	外注加工費	13599560.0	19800000.0	68.6	111.5
230C30310	施設加工課	その他 直接経費	0.0	0.0		
230C30310	施設加工課	他勘定振替高	-1182600.0	-1200000.0		
230C30310	施設加工課	経費合計（販管費）	56184487.0	56361078.0	99.6	115.5
230C30310	施設加工課	減価償却費	8245453.0	8245453.0	100.0	166.8
230C30310	施設加工課	車両費	2778226.0	2902492.0	95.7	93.1
230C30310	施設加工課	旅費交通費	305109.0	300000.0	101.7	246.3
230C30310	施設加工課	荷造運搬費	3163.0	0.0		
230C30310	施設加工課	通信費	283471.0	271861.0	104.2	106.0
230C30310	施設加工課	水道光熱費	59383.0	60000.0	98.9	97.1
230C30310	施設加工課	動力費	3361133.0	3606528.0	93.1	124.3
230C30310	施設加工課	事務用品費	174744.0	188000.0	92.9	127.1
230C30310	施設加工課	消耗品費	6001950.0	5980000.0	100.3	100.3
230C30310	施設加工課	廃棄物処理料	-742035.0	-1000004.0		
230C30310	施設加工課	広告宣伝費	0.0	0.0		
230C30310	施設加工課	接待交際費	101204.0	120000.0	84.3	
230C30310	施設加工課	研究開発費	0.0	0.0		
230C30310	施設加工課	アフターサービス費	0.0	0.0		
230C30310	施設加工課	クレーム費	0.0	0.0		
230C30310	施設加工課	賃借料	13473000.0	13596000.0	99.0	100.1
230C30310	施設加工課	賃貸料収入	-585000.0	-708000.0		
230C30310	施設加工課	修繕費	885000.0	955000.0	92.6	73.2
230C30310	施設加工課	支払リース料	122648.0	122646.0	100.0	99.0
230C30310	施設加工課	保険料	0.0	0.0		0.0
230C30310	施設加工課	支払報酬	0.0	0.0		
230C30310	施設加工課	販売手数料	0.0	0.0		
230C30310	施設加工課	支払手数料	137972.0	139000.0	99.2	61.2
230C30310	施設加工課	診断料	0.0	0.0		
230C30310	施設加工課	諸会費	61817.0	62498.0	98.9	121.0
230C30310	施設加工課	会議費	0.0	0.0		
230C30310	施設加工課	寄付金	5000.0	5000.0	100.0	
230C30310	施設加工課	租税公課	488221.0	488221.0	100.0	164.2
230C30310	施設加工課	業務委託費	0.0	0.0		
230C30310	施設加工課	業務受託収入	0.0	0.0		
230C30310	施設加工課	システム管理料	0.0	0.0		
230C30310	施設加工課	情報機器利用料	7022124.0	7018284.0	100.0	130.9
230C30310	施設加工課	貸倒金	0.0	0.0		
230C30310	施設加工課	雑費	98833.0	87474.0	112.9	119.0
230C30310	施設加工課	福利消耗品費	453470.0	484000.0	93.6	525.2
230C30310	施設加工課	教育研修費	271116.0	312000.0	86.8	564.6
230C30310	施設加工課	廃棄損・減耗損	1182600.0	1200000.0	98.5	86.9
230C30310	施設加工課	雑給	0.0	0.0		
230C30310	施設加工課	社内金利（固定資産）	1519404.0	1519404.0	100.0	94.4
230C30310	施設加工課	社内金利（売掛金）	0.0	0.0		
230C30310	施設加工課	社内金利（在庫）	29485.0	11500.0	256.3	248.0
230C30310	施設加工課	営業口銭①（新築）	0.0	0.0		
230C30310	施設加工課	営業口銭②（リフォ）	0.0	0.0		
230C30310	施設加工課	開発口銭	0.0	0.0		
230C30310	施設加工課	部門共通（経費）	6524196.0	6470921.0	100.8	127.2
230C30310	施設加工課	グループ共通	3922800.0	3922800.0	100.0	111.1
230C30310	施設加工課	差引収益	68919371.0	123038922.0	56.0	198.5
230C30310	施設加工課	差引比率	50.1	62.1	80.6	136.1
230C30310	施設加工課	総時間	32769.25	32795.25	99.9	122.2
230C30310	施設加工課	定時間	27749.25	27736.0	100.0	126.3
230C30310	施設加工課	残業時間	1936.0	1962.0	98.6	582.6
230C30310	施設加工課	移動時間	-1172.0	-1168.0		
230C30310	施設加工課	部門共通（時間）	4256.0	4265.25	99.7	119.3
230C30310	施設加工課	当月時間当り	2103.1	3751.7	56.0	162.4
230C30310	施設加工課	人員	15.0	15.0	100.0	125.0
