組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
003090200	本社収支	総受注高	0.0	0.0		
003090200	本社収支	【新築】受注高	0.0	0.0		
003090200	本社収支	【リフォ】受注高	0.0	0.0		
003090200	本社収支	【資材】受注高	0.0	0.0		
003090200	本社収支	総売上高	0.0	0.0		
003090200	本社収支	【新築】売上高	0.0	0.0		
003090200	本社収支	【リフォ】売上高	0.0	0.0		
003090200	本社収支	【資材】売上高	0.0	0.0		
003090200	本社収支	【新築】インセンティブ	0.0	0.0		
003090200	本社収支	【リフォ】インセンティブ	0.0	0.0		
003090200	本社収支	【資材】インセンティブ	0.0	0.0		
003090200	本社収支	収益①（営業口銭）	0.0	0.0		
003090200	本社収支	【新築】収益①(営業口銭)	0.0	0.0		
003090200	本社収支	【リフォ】収益①(営業口銭)	0.0	0.0		
003090200	本社収支	【資材】売上原価	0.0	0.0		
003090200	本社収支	収益②（資材）	0.0	0.0		
003090200	本社収支	総収益	0.0	0.0		
003090200	本社収支	経費合計	-38202832.0	-36739697.0		
003090200	本社収支	減価償却費	0.0	0.0		
003090200	本社収支	車両費	0.0	0.0		
003090200	本社収支	旅費交通費	0.0	0.0		
003090200	本社収支	荷造運搬費	0.0	0.0		
003090200	本社収支	通信費	0.0	0.0		
003090200	本社収支	水道光熱費	0.0	0.0		
003090200	本社収支	動力費	0.0	0.0		
003090200	本社収支	事務用品費	0.0	0.0		
003090200	本社収支	消耗品費	0.0	0.0		
003090200	本社収支	廃棄物処理料	0.0	0.0		
003090200	本社収支	広告宣伝費	0.0	0.0		
003090200	本社収支	接待交際費	0.0	0.0		
003090200	本社収支	研究開発費	0.0	0.0		
003090200	本社収支	アフターサービス費	0.0	0.0		
003090200	本社収支	クレーム費	0.0	0.0		
003090200	本社収支	賃借料	0.0	0.0		
003090200	本社収支	賃貸料収入	0.0	0.0		
003090200	本社収支	修繕費	0.0	0.0		
003090200	本社収支	支払リース料	0.0	0.0		
003090200	本社収支	保険料	0.0	0.0		
003090200	本社収支	支払報酬	0.0	0.0		
003090200	本社収支	販売手数料	0.0	0.0		
003090200	本社収支	支払手数料	0.0	0.0		
003090200	本社収支	診断料	0.0	0.0		
003090200	本社収支	諸会費	0.0	0.0		
003090200	本社収支	会議費	0.0	0.0		
003090200	本社収支	寄付金	0.0	0.0		
003090200	本社収支	租税公課	0.0	0.0		
003090200	本社収支	業務委託費	0.0	0.0		
003090200	本社収支	業務受託収入	0.0	0.0		
003090200	本社収支	システム管理料	0.0	0.0		
003090200	本社収支	情報機器利用料	0.0	0.0		
003090200	本社収支	貸倒金	0.0	0.0		
003090200	本社収支	雑費	0.0	0.0		
003090200	本社収支	福利消耗品費	0.0	0.0		
003090200	本社収支	教育研修費	0.0	0.0		
003090200	本社収支	廃棄損・減耗損	0.0	0.0		
003090200	本社収支	雑給	0.0	0.0		
003090200	本社収支	社内金利（固定資産）	-9888283.0	-9934054.0		
003090200	本社収支	社内金利（売掛金）	-5154192.0	-5081930.0		
003090200	本社収支	社内金利（在庫）	-23160357.0	-21723713.0		
003090200	本社収支	開発口銭	0.0	0.0		
003090200	本社収支	部門共通（経費）	0.0	0.0		
003090200	本社収支	グループ共通	0.0	0.0		
003090200	本社収支	差引収益	38202832.0	36739697.0	103.9	102.9
003090200	本社収支	差引比率	0.0	0.0		
003090200	本社収支	総時間	655.0	3963.25	16.5	17.4
003090200	本社収支	定時間	0.0	0.0		
003090200	本社収支	残業時間	0.0	0.0		
003090200	本社収支	移動時間	655.0	3963.25	16.5	17.4
003090200	本社収支	部門共通（時間）	0.0	0.0		
003090200	本社収支	当月時間当り	58324.9	9270.0	629.1	590.2
003090200	本社収支	人員	0.0	0.0		
