組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H10500	本社営業チーム	総受注高	1212472220.0	2190000000.0	55.3	88.9
230H10500	本社営業チーム	【新築】受注高	613910000.0	1500000000.0	40.9	124.2
230H10500	本社営業チーム	【リフォ】受注高	99914200.0	200000000.0	49.9	34.2
230H10500	本社営業チーム	【資材】受注高	498648020.0	490000000.0	101.7	86.3
230H10500	本社営業チーム	総売上高	1259386162.0	2190000000.0	57.5	52.7
230H10500	本社営業チーム	【新築】売上高	638995000.0	1500000000.0	42.5	43.2
230H10500	本社営業チーム	【リフォ】売上高	120453200.0	200000000.0	60.2	37.0
230H10500	本社営業チーム	【資材】売上高	500067962.0	490130000.0	102.0	85.9
230H10500	本社営業チーム	【新築】インセンティブ	0.0	0.0		
230H10500	本社営業チーム	【リフォ】インセンティブ	0.0	0.0		
230H10500	本社営業チーム	【資材】インセンティブ	-130000.0	-130000.0		
230H10500	本社営業チーム	収益①（営業口銭）	50017730.0	105000000.0	47.6	40.5
230H10500	本社営業チーム	【新築】収益①(営業口銭)	31949750.0	75000000.0	42.5	42.8
230H10500	本社営業チーム	【リフォ】収益①(営業口銭)	18067980.0	30000000.0	60.2	37.0
230H10500	本社営業チーム	【資材】売上原価	438506299.0	431000000.0	101.7	84.2
230H10500	本社営業チーム	収益②（資材）	61431663.0	59000000.0	104.1	99.8
230H10500	本社営業チーム	総収益	111449393.0	164000000.0	67.9	60.2
230H10500	本社営業チーム	経費合計	55977194.0	56309302.0	99.4	76.6
230H10500	本社営業チーム	減価償却費	0.0	0.0		
230H10500	本社営業チーム	車両費	3898083.0	4025076.0	96.8	85.5
230H10500	本社営業チーム	旅費交通費	7182220.0	6900000.0	104.0	68.0
230H10500	本社営業チーム	荷造運搬費	22000.0	24000.0	91.6	161.9
230H10500	本社営業チーム	通信費	530665.0	548267.0	96.7	86.5
230H10500	本社営業チーム	水道光熱費	336807.0	343091.0	98.1	73.4
230H10500	本社営業チーム	動力費	0.0	0.0		
230H10500	本社営業チーム	事務用品費	192477.0	197184.0	97.6	89.5
230H10500	本社営業チーム	消耗品費	42944.0	46211.0	92.9	57.2
230H10500	本社営業チーム	廃棄物処理料	27969.0	30064.0	93.0	69.4
230H10500	本社営業チーム	広告宣伝費	150000.0	180000.0	83.3	438.3
230H10500	本社営業チーム	接待交際費	995223.0	1200000.0	82.9	65.3
230H10500	本社営業チーム	研究開発費	0.0	0.0		
230H10500	本社営業チーム	アフターサービス費	0.0	0.0		
230H10500	本社営業チーム	クレーム費	5200000.0	5000000.0	104.0	107.1
230H10500	本社営業チーム	賃借料	5981400.0	5981400.0	100.0	75.2
230H10500	本社営業チーム	賃貸料収入	0.0	0.0		
230H10500	本社営業チーム	修繕費	6025.0	6025.0	100.0	
230H10500	本社営業チーム	支払リース料	10838.0	10618.0	102.0	68.4
230H10500	本社営業チーム	保険料	122.0	0.0		13.7
230H10500	本社営業チーム	支払報酬	0.0	0.0		0.0
230H10500	本社営業チーム	販売手数料	0.0	0.0		
230H10500	本社営業チーム	支払手数料	123120.0	144000.0	85.5	181.4
230H10500	本社営業チーム	診断料	44000.0	49000.0	89.7	181.8
230H10500	本社営業チーム	諸会費	4200.0	7140.0	58.8	140.0
230H10500	本社営業チーム	会議費	0.0	0.0		
230H10500	本社営業チーム	寄付金	0.0	0.0		
230H10500	本社営業チーム	租税公課	195200.0	260000.0	75.0	92.9
230H10500	本社営業チーム	業務委託費	80000.0	0.0		
230H10500	本社営業チーム	業務受託収入	0.0	0.0		
230H10500	本社営業チーム	システム管理料	0.0	0.0		
230H10500	本社営業チーム	情報機器利用料	7519848.0	7517412.0	100.0	80.6
230H10500	本社営業チーム	貸倒金	315743.0	315743.0	100.0	23.6
230H10500	本社営業チーム	雑費	79335.0	85596.0	92.6	115.6
230H10500	本社営業チーム	福利消耗品費	73255.0	61840.0	118.4	73.9
230H10500	本社営業チーム	教育研修費	145325.0	718640.0	20.2	23.1
230H10500	本社営業チーム	廃棄損・減耗損	25000.0	25000.0	100.0	
230H10500	本社営業チーム	雑給	0.0	0.0		
230H10500	本社営業チーム	社内金利（固定資産）	0.0	0.0		
230H10500	本社営業チーム	社内金利（売掛金）	440873.0	360000.0	122.4	85.1
230H10500	本社営業チーム	社内金利（在庫）	1824.0	0.0		62.4
230H10500	本社営業チーム	開発口銭	0.0	0.0		
230H10500	本社営業チーム	部門共通（経費）	19935898.0	19856195.0	100.4	74.4
230H10500	本社営業チーム	グループ共通	2416800.0	2416800.0	100.0	82.3
230H10500	本社営業チーム	差引収益	55472199.0	107690698.0	51.5	49.5
230H10500	本社営業チーム	差引比率	4.4	4.9	89.7	95.6
230H10500	本社営業チーム	総時間	27374.5	27794.5	98.4	70.0
230H10500	本社営業チーム	定時間	17709.5	18056.0	98.0	81.5
230H10500	本社営業チーム	残業時間	2646.5	2671.0	99.0	90.8
230H10500	本社営業チーム	移動時間	-4448.75	-4425.0		
230H10500	本社営業チーム	部門共通（時間）	11467.25	11492.5	99.7	62.5
230H10500	本社営業チーム	当月時間当り	2026.4	3874.5	52.3	70.7
230H10500	本社営業チーム	人員	9.0	9.0	100.0	75.0
