組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H10600	本社営業課	総受注高	1212472220.0	2190000000.0	55.3	88.9
230H10600	本社営業課	【新築】受注高	613910000.0	1500000000.0	40.9	124.2
230H10600	本社営業課	【リフォ】受注高	99914200.0	200000000.0	49.9	34.2
230H10600	本社営業課	【資材】受注高	498648020.0	490000000.0	101.7	86.3
230H10600	本社営業課	総売上高	1259386162.0	2190000000.0	57.5	52.7
230H10600	本社営業課	【新築】売上高	638995000.0	1500000000.0	42.5	43.2
230H10600	本社営業課	【リフォ】売上高	120453200.0	200000000.0	60.2	37.0
230H10600	本社営業課	【資材】売上高	500067962.0	490130000.0	102.0	85.9
230H10600	本社営業課	【新築】インセンティブ	0.0	0.0		
230H10600	本社営業課	【リフォ】インセンティブ	0.0	0.0		
230H10600	本社営業課	【資材】インセンティブ	-130000.0	-130000.0		
230H10600	本社営業課	収益①（営業口銭）	50017730.0	105000000.0	47.6	40.5
230H10600	本社営業課	【新築】収益①(営業口銭)	31949750.0	75000000.0	42.5	42.8
230H10600	本社営業課	【リフォ】収益①(営業口銭)	18067980.0	30000000.0	60.2	37.0
230H10600	本社営業課	【資材】売上原価	438506299.0	431000000.0	101.7	84.2
230H10600	本社営業課	収益②（資材）	61431663.0	59000000.0	104.1	99.8
230H10600	本社営業課	総収益	111449393.0	164000000.0	67.9	60.2
230H10600	本社営業課	総出荷	759448200.0	1700000000.0	44.6	42.1
230H10600	本社営業課	社外売	759448200.0	1700000000.0	44.6	42.1
230H10600	本社営業課	社内売	0.0	0.0		
230H10600	本社営業課	社内仕入	257760326.0	467965000.0	55.0	136.2
230H10600	本社営業課	仕掛1	317677.0	0.0		4.8
230H10600	本社営業課	総生産	501370197.0	1232035000.0	40.6	31.1
230H10600	本社営業課	経費合計	584131385.0	1213222404.0	48.1	34.7
230H10600	本社営業課	経費合計(原価)	458170197.0	1032035000.0	44.3	31.6
230H10600	本社営業課	仕掛2	152065.0	0.0		0.2
230H10600	本社営業課	商品仕入高	187806644.0	448671001.0	41.8	63.6
230H10600	本社営業課	原材料費	0.0	0.0		
230H10600	本社営業課	外注加工費	228774534.0	540216999.0	42.3	20.9
230H10600	本社営業課	その他 直接経費	41436954.0	43147000.0	96.0	
230H10600	本社営業課	他勘定振替高	0.0	0.0		
230H10600	本社営業課	経費合計（販管費）	125961188.0	181187404.0	69.5	54.0
230H10600	本社営業課	減価償却費	0.0	0.0		
230H10600	本社営業課	車両費	8305765.0	8503476.0	97.6	91.3
230H10600	本社営業課	旅費交通費	7892074.0	7560000.0	104.3	38.1
230H10600	本社営業課	荷造運搬費	22000.0	24000.0	91.6	142.5
230H10600	本社営業課	通信費	642993.0	664023.0	96.8	90.6
230H10600	本社営業課	水道光熱費	481078.0	490054.0	98.1	80.7
230H10600	本社営業課	動力費	0.0	0.0		
230H10600	本社営業課	事務用品費	251176.0	252540.0	99.4	104.2
230H10600	本社営業課	消耗品費	60774.0	66002.0	92.0	56.3
230H10600	本社営業課	廃棄物処理料	39415.0	42941.0	91.7	68.9
230H10600	本社営業課	広告宣伝費	150000.0	180000.0	83.3	438.3
230H10600	本社営業課	接待交際費	1015223.0	1220000.0	83.2	65.9
230H10600	本社営業課	研究開発費	0.0	0.0		
230H10600	本社営業課	アフターサービス費	0.0	0.0		
230H10600	本社営業課	クレーム費	5200000.0	5000000.0	104.0	107.1
230H10600	本社営業課	賃借料	8543400.0	8543400.0	100.0	67.2
230H10600	本社営業課	賃貸料収入	0.0	0.0		
230H10600	本社営業課	修繕費	8606.0	8606.0	100.0	20.9
230H10600	本社営業課	支払リース料	15482.0	15168.0	102.0	75.2
230H10600	本社営業課	保険料	831128.0	0.0		
230H10600	本社営業課	支払報酬	0.0	0.0		0.0
230H10600	本社営業課	販売手数料	0.0	0.0		0.0
230H10600	本社営業課	支払手数料	156120.0	177000.0	88.2	154.2
230H10600	本社営業課	診断料	44000.0	49000.0	89.7	181.8
230H10600	本社営業課	諸会費	7450.0	10890.0	68.4	165.5
230H10600	本社営業課	会議費	0.0	0.0		
230H10600	本社営業課	寄付金	0.0	0.0		
230H10600	本社営業課	租税公課	195200.0	260000.0	75.0	92.9
230H10600	本社営業課	業務委託費	80000.0	0.0		
230H10600	本社営業課	業務受託収入	0.0	0.0		
230H10600	本社営業課	システム管理料	0.0	0.0		
230H10600	本社営業課	情報機器利用料	9480833.0	9478398.0	100.0	85.3
230H10600	本社営業課	貸倒金	315743.0	315743.0	100.0	23.6
230H10600	本社営業課	雑費	85155.0	91416.0	93.1	114.1
230H10600	本社営業課	福利消耗品費	110961.0	94770.0	117.0	91.9
230H10600	本社営業課	教育研修費	184249.0	774916.0	23.7	28.8
230H10600	本社営業課	廃棄損・減耗損	25000.0	25000.0	100.0	
230H10600	本社営業課	雑給	0.0	0.0		
230H10600	本社営業課	社内金利（固定資産）	0.0	0.0		
230H10600	本社営業課	社内金利（売掛金）	440873.0	360000.0	122.4	85.1
230H10600	本社営業課	社内金利（在庫）	1824.0	0.0		62.4
230H10600	本社営業課	営業口銭①（新築）	31949750.0	75000000.0	42.5	42.8
230H10600	本社営業課	営業口銭②（リフォ）	18067980.0	30000000.0	60.2	37.0
230H10600	本社営業課	開発口銭	0.0	0.0		
230H10600	本社営業課	部門共通（経費）	28788536.0	28653661.0	100.4	73.5
230H10600	本社営業課	グループ共通	2568400.0	3326400.0	77.2	67.3
230H10600	本社営業課	差引収益	28688205.0	182812596.0	15.6	25.1
230H10600	本社営業課	差引比率	1.6	5.3	30.1	57.1
230H10600	本社営業課	総時間	38306.0	38854.5	98.5	68.6
230H10600	本社営業課	定時間	23485.5	23912.0	98.2	85.7
230H10600	本社営業課	残業時間	3619.25	3671.0	98.5	98.7
230H10600	本社営業課	移動時間	-4457.5	-4425.0		
230H10600	本社営業課	部門共通（時間）	15658.75	15696.5	99.7	58.9
230H10600	本社営業課	当月時間当り	748.9	4705.0	15.9	36.7
230H10600	本社営業課	人員	12.0	12.0	100.0	80.0
