組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H30200	本社工務チーム	総出荷	759448200.0	1700000000.0	44.6	42.1
230H30200	本社工務チーム	社外売	759448200.0	1700000000.0	44.6	42.1
230H30200	本社工務チーム	社内売	0.0	0.0		
230H30200	本社工務チーム	社内仕入	257760326.0	467965000.0	55.0	136.2
230H30200	本社工務チーム	仕掛1	317677.0	0.0		4.8
230H30200	本社工務チーム	総生産	501370197.0	1232035000.0	40.6	31.1
230H30200	本社工務チーム	経費合計	528154191.0	1156913102.0	45.6	32.8
230H30200	本社工務チーム	経費合計(原価)	458170197.0	1032035000.0	44.3	31.6
230H30200	本社工務チーム	仕掛2	152065.0	0.0		0.2
230H30200	本社工務チーム	商品仕入高	187806644.0	448671001.0	41.8	63.6
230H30200	本社工務チーム	原材料費	0.0	0.0		
230H30200	本社工務チーム	外注加工費	228774534.0	540216999.0	42.3	20.9
230H30200	本社工務チーム	その他 直接経費	41436954.0	43147000.0	96.0	
230H30200	本社工務チーム	他勘定振替高	0.0	0.0		
230H30200	本社工務チーム	経費合計（販管費）	69983994.0	124878102.0	56.0	43.6
230H30200	本社工務チーム	減価償却費	0.0	0.0		
230H30200	本社工務チーム	車両費	4407682.0	4478400.0	98.4	97.1
230H30200	本社工務チーム	旅費交通費	709854.0	660000.0	107.5	7.0
230H30200	本社工務チーム	荷造運搬費	0.0	0.0		0.0
230H30200	本社工務チーム	通信費	112328.0	115756.0	97.0	116.5
230H30200	本社工務チーム	水道光熱費	144271.0	146963.0	98.1	104.8
230H30200	本社工務チーム	動力費	0.0	0.0		
230H30200	本社工務チーム	事務用品費	58699.0	55356.0	106.0	226.7
230H30200	本社工務チーム	消耗品費	17830.0	19791.0	90.0	54.3
230H30200	本社工務チーム	廃棄物処理料	11446.0	12877.0	88.8	67.8
230H30200	本社工務チーム	広告宣伝費	0.0	0.0		
230H30200	本社工務チーム	接待交際費	20000.0	20000.0	100.0	118.9
230H30200	本社工務チーム	研究開発費	0.0	0.0		
230H30200	本社工務チーム	アフターサービス費	0.0	0.0		
230H30200	本社工務チーム	クレーム費	0.0	0.0		
230H30200	本社工務チーム	賃借料	2562000.0	2562000.0	100.0	53.7
230H30200	本社工務チーム	賃貸料収入	0.0	0.0		
230H30200	本社工務チーム	修繕費	2581.0	2581.0	100.0	6.2
230H30200	本社工務チーム	支払リース料	4644.0	4550.0	102.0	97.8
230H30200	本社工務チーム	保険料	831006.0	0.0		
230H30200	本社工務チーム	支払報酬	0.0	0.0		0.0
230H30200	本社工務チーム	販売手数料	0.0	0.0		0.0
230H30200	本社工務チーム	支払手数料	33000.0	33000.0	100.0	98.9
230H30200	本社工務チーム	診断料	0.0	0.0		
230H30200	本社工務チーム	諸会費	3250.0	3750.0	86.6	216.6
230H30200	本社工務チーム	会議費	0.0	0.0		
230H30200	本社工務チーム	寄付金	0.0	0.0		
230H30200	本社工務チーム	租税公課	0.0	0.0		
230H30200	本社工務チーム	業務委託費	0.0	0.0		
230H30200	本社工務チーム	業務受託収入	0.0	0.0		
230H30200	本社工務チーム	システム管理料	0.0	0.0		
230H30200	本社工務チーム	情報機器利用料	1960985.0	1960986.0	99.9	109.7
230H30200	本社工務チーム	貸倒金	0.0	0.0		
230H30200	本社工務チーム	雑費	5820.0	5820.0	100.0	96.6
230H30200	本社工務チーム	福利消耗品費	37706.0	32930.0	114.5	174.3
230H30200	本社工務チーム	教育研修費	38924.0	56276.0	69.1	402.2
230H30200	本社工務チーム	廃棄損・減耗損	0.0	0.0		
230H30200	本社工務チーム	雑給	0.0	0.0		
230H30200	本社工務チーム	社内金利（固定資産）	0.0	0.0		
230H30200	本社工務チーム	社内金利（売掛金）	0.0	0.0		
230H30200	本社工務チーム	社内金利（在庫）	0.0	0.0		
230H30200	本社工務チーム	営業口銭①（新築）	31949750.0	75000000.0	42.5	42.8
230H30200	本社工務チーム	営業口銭②（リフォ）	18067980.0	30000000.0	60.2	37.0
230H30200	本社工務チーム	開発口銭	0.0	0.0		
230H30200	本社工務チーム	部門共通（経費）	8852638.0	8797466.0	100.6	71.4
230H30200	本社工務チーム	グループ共通	151600.0	909600.0	16.6	17.2
230H30200	本社工務チーム	差引収益	-26783994.0	75121898.0		
230H30200	本社工務チーム	差引比率	-5.3	6.0		
230H30200	本社工務チーム	総時間	10931.5	11060.0	98.8	65.2
230H30200	本社工務チーム	定時間	5776.0	5856.0	98.6	101.7
230H30200	本社工務チーム	残業時間	972.75	1000.0	97.2	129.2
230H30200	本社工務チーム	移動時間	-8.75	0.0		
230H30200	本社工務チーム	部門共通（時間）	4191.5	4204.0	99.7	51.0
230H30200	本社工務チーム	当月時間当り	-2450.1	6792.2		
230H30200	本社工務チーム	人員	3.0	3.0	100.0	100.0
