組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
100A10100	東日本営業部	総受注高	1447641021.0	2400000000.0	60.3	73.6
100A10100	東日本営業部	【新築】受注高	609080455.0	1386000000.0	43.9	56.1
100A10100	東日本営業部	【リフォ】受注高	361362649.0	574000000.0	62.9	81.6
100A10100	東日本営業部	【資材】受注高	477197917.0	440000000.0	108.4	108.9
100A10100	東日本営業部	総売上高	1727752460.0	2400000000.0	71.9	102.3
100A10100	東日本営業部	【新築】売上高	895380455.0	1400000000.0	63.9	115.5
100A10100	東日本営業部	【リフォ】売上高	379587228.0	560000000.0	67.7	79.2
100A10100	東日本営業部	【資材】売上高	453877006.0	441092000.0	102.8	104.2
100A10100	東日本営業部	【新築】インセンティブ	0.0	0.0		
100A10100	東日本営業部	【リフォ】インセンティブ	0.0	0.0		
100A10100	東日本営業部	【資材】インセンティブ	-1092229.0	-1092000.0		
100A10100	東日本営業部	収益①（営業口銭）	101707105.0	154000000.0	66.0	90.8
100A10100	東日本営業部	【新築】収益①(営業口銭)	44769022.0	70000000.0	63.9	111.8
100A10100	東日本営業部	【リフォ】収益①(営業口銭)	56938083.0	84000000.0	67.7	79.2
100A10100	東日本営業部	【資材】売上原価	372163678.0	363100000.0	102.4	102.8
100A10100	東日本営業部	収益②（資材）	80621099.0	76900000.0	104.8	112.8
100A10100	東日本営業部	総収益	182328204.0	230900000.0	78.9	99.5
100A10100	東日本営業部	総出荷	1274967683.0	1960000000.0	65.0	101.6
100A10100	東日本営業部	社外売	1274967683.0	1960000000.0	65.0	101.6
100A10100	東日本営業部	社内売	0.0	0.0		
100A10100	東日本営業部	社内仕入	316335600.0	426463440.0	74.1	160.0
100A10100	東日本営業部	仕掛1	-4807907.0	-4256344.0		
100A10100	東日本営業部	総生産	963439990.0	1537792904.0	62.6	91.2
100A10100	東日本営業部	経費合計	1007649252.0	1542631351.0	65.3	95.3
100A10100	東日本営業部	経費合計(原価)	797476582.0	1281692904.0	62.2	96.7
100A10100	東日本営業部	仕掛2	699325.0	499167.0	140.0	43.6
100A10100	東日本営業部	商品仕入高	481315211.0	733230558.0	65.6	104.2
100A10100	東日本営業部	原材料費	0.0	0.0		
100A10100	東日本営業部	外注加工費	312590236.0	546053179.0	57.2	86.6
100A10100	東日本営業部	その他 直接経費	2871810.0	1910000.0	150.3	
100A10100	東日本営業部	他勘定振替高	0.0	0.0		
100A10100	東日本営業部	経費合計（販管費）	210172670.0	260938447.0	80.5	90.2
100A10100	東日本営業部	減価償却費	419422.0	419422.0	100.0	93.6
100A10100	東日本営業部	車両費	11298622.0	11404641.0	99.0	91.1
100A10100	東日本営業部	旅費交通費	9933804.0	10160000.0	97.7	101.6
100A10100	東日本営業部	荷造運搬費	276581.0	312000.0	88.6	95.5
100A10100	東日本営業部	通信費	1764417.0	1784048.0	98.8	104.9
100A10100	東日本営業部	水道光熱費	1607588.0	1636880.0	98.2	105.9
100A10100	東日本営業部	動力費	0.0	0.0		
100A10100	東日本営業部	事務用品費	458220.0	446000.0	102.7	126.3
100A10100	東日本営業部	消耗品費	411265.0	403000.0	102.0	74.7
100A10100	東日本営業部	廃棄物処理料	0.0	0.0		
100A10100	東日本営業部	広告宣伝費	167000.0	197000.0	84.7	135.4
100A10100	東日本営業部	接待交際費	929381.0	915000.0	101.5	125.5
100A10100	東日本営業部	研究開発費	0.0	0.0		
100A10100	東日本営業部	アフターサービス費	0.0	0.0		
100A10100	東日本営業部	クレーム費	5090250.0	5000000.0	101.8	32.2
100A10100	東日本営業部	賃借料	12621729.0	11613696.0	108.6	100.6
100A10100	東日本営業部	賃貸料収入	-1368520.0	-1080000.0		
100A10100	東日本営業部	修繕費	406502.0	400000.0	101.6	46.5
100A10100	東日本営業部	支払リース料	32225.0	38727.0	83.2	100.0
100A10100	東日本営業部	保険料	18144.0	18144.0	100.0	95.4
100A10100	東日本営業部	支払報酬	900000.0	900000.0	100.0	377.2
100A10100	東日本営業部	販売手数料	0.0	0.0		0.0
100A10100	東日本営業部	支払手数料	1379120.0	767103.0	179.7	184.5
100A10100	東日本営業部	診断料	0.0	0.0		
100A10100	東日本営業部	諸会費	307250.0	334900.0	91.7	101.5
100A10100	東日本営業部	会議費	0.0	0.0		
100A10100	東日本営業部	寄付金	0.0	0.0		
100A10100	東日本営業部	租税公課	270000.0	278000.0	97.1	74.8
100A10100	東日本営業部	業務委託費	0.0	0.0		0.0
100A10100	東日本営業部	業務受託収入	0.0	0.0		
100A10100	東日本営業部	システム管理料	0.0	0.0		
100A10100	東日本営業部	情報機器利用料	11331770.0	10865760.0	104.2	115.6
100A10100	東日本営業部	貸倒金	0.0	0.0		
100A10100	東日本営業部	雑費	230492.0	204000.0	112.9	121.7
100A10100	東日本営業部	福利消耗品費	109893.0	224300.0	48.9	44.8
100A10100	東日本営業部	教育研修費	289386.0	278940.0	103.7	95.2
100A10100	東日本営業部	廃棄損・減耗損	0.0	0.0		0.0
100A10100	東日本営業部	雑給	0.0	0.0		
100A10100	東日本営業部	社内金利（固定資産）	152139.0	156000.0	97.5	114.5
100A10100	東日本営業部	社内金利（売掛金）	787422.0	765000.0	102.9	107.8
100A10100	東日本営業部	社内金利（在庫）	130272.0	120000.0	108.5	92.7
100A10100	東日本営業部	営業口銭①（新築）	44769022.0	70000000.0	63.9	111.8
100A10100	東日本営業部	営業口銭②（リフォ）	56938083.0	84000000.0	67.7	79.2
100A10100	東日本営業部	開発口銭	0.0	0.0		
100A10100	東日本営業部	部門共通（経費）	43972791.0	43837486.0	100.3	94.0
100A10100	東日本営業部	グループ共通	4538400.0	4538400.0	100.0	102.9
100A10100	東日本営業部	差引収益	138118942.0	226061553.0	61.0	75.7
100A10100	東日本営業部	差引比率	5.1	5.7	89.4	77.2
100A10100	東日本営業部	総時間	59892.75	59748.75	100.2	98.6
100A10100	東日本営業部	定時間	29007.25	29128.0	99.5	111.4
100A10100	東日本営業部	残業時間	5078.75	4841.0	104.9	101.2
100A10100	東日本営業部	移動時間	318.25	224.0	142.0	16.7
100A10100	東日本営業部	部門共通（時間）	25488.5	25555.75	99.7	91.7
100A10100	東日本営業部	当月時間当り	2306.1	3783.5	60.9	76.8
100A10100	東日本営業部	人員	15.0	15.0	100.0	100.0
