組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220C10200	浜松営業課	総受注高	886278336.0	1090000000.0	81.3	73.5
220C10200	浜松営業課	【新築】受注高	195540000.0	370000000.0	52.8	35.6
220C10200	浜松営業課	【リフォ】受注高	252248689.0	300000000.0	84.0	103.3
220C10200	浜松営業課	【資材】受注高	438489647.0	420000000.0	104.4	106.1
220C10200	浜松営業課	総売上高	1030647862.0	1090000000.0	94.5	93.5
220C10200	浜松営業課	【新築】売上高	335440000.0	370000000.0	90.6	78.8
220C10200	浜松営業課	【リフォ】売上高	272377557.0	300000000.0	90.7	106.5
220C10200	浜松営業課	【資材】売上高	422830305.0	420000000.0	100.6	100.6
220C10200	浜松営業課	【新築】インセンティブ	0.0	0.0		
220C10200	浜松営業課	【リフォ】インセンティブ	0.0	0.0		
220C10200	浜松営業課	【資材】インセンティブ	0.0	0.0		
220C10200	浜松営業課	収益①（営業口銭）	57628631.0	63500000.0	90.7	96.7
220C10200	浜松営業課	【新築】収益①(営業口銭)	16772000.0	18500000.0	90.6	78.8
220C10200	浜松営業課	【リフォ】収益①(営業口銭)	40856631.0	45000000.0	90.7	106.6
220C10200	浜松営業課	【資材】売上原価	338509656.0	336000000.0	100.7	98.5
220C10200	浜松営業課	収益②（資材）	84320649.0	84000000.0	100.3	109.6
220C10200	浜松営業課	総収益	141949280.0	147500000.0	96.2	104.0
220C10200	浜松営業課	総出荷	607817557.0	670000000.0	90.7	89.2
220C10200	浜松営業課	社外売	607817557.0	670000000.0	90.7	89.2
220C10200	浜松営業課	社内売	0.0	0.0		
220C10200	浜松営業課	社内仕入	80439727.0	123035959.0	65.3	34.4
220C10200	浜松営業課	仕掛1	0.0	15864041.0	0.0	
220C10200	浜松営業課	総生産	527377830.0	531100000.0	99.2	114.3
220C10200	浜松営業課	経費合計	579547579.0	555333306.0	104.3	121.2
220C10200	浜松営業課	経費合計(原価)	441660490.0	411100000.0	107.4	130.2
220C10200	浜松営業課	仕掛2	127535050.0	124221764.0	102.6	
220C10200	浜松営業課	商品仕入高	114391397.0	130475519.0	87.6	67.4
220C10200	浜松営業課	原材料費	0.0	0.0		
220C10200	浜松営業課	外注加工費	192261471.0	151067717.0	127.2	65.6
220C10200	浜松営業課	その他 直接経費	7472572.0	5335000.0	140.0	
220C10200	浜松営業課	他勘定振替高	0.0	0.0		
220C10200	浜松営業課	経費合計（販管費）	137887089.0	144233306.0	95.6	99.0
220C10200	浜松営業課	減価償却費	610255.0	639870.0	95.3	170.6
220C10200	浜松営業課	車両費	13478456.0	13594368.0	99.1	90.5
220C10200	浜松営業課	旅費交通費	5040661.0	4965700.0	101.5	89.1
220C10200	浜松営業課	荷造運搬費	180525.0	156000.0	115.7	21.5
220C10200	浜松営業課	通信費	1230778.0	1233950.0	99.7	95.9
220C10200	浜松営業課	水道光熱費	736294.0	753042.0	97.7	96.3
220C10200	浜松営業課	動力費	0.0	0.0		
220C10200	浜松営業課	事務用品費	444335.0	452782.0	98.1	95.7
220C10200	浜松営業課	消耗品費	2161175.0	1935628.0	111.6	260.5
220C10200	浜松営業課	廃棄物処理料	768064.0	563600.0	136.2	28.7
220C10200	浜松営業課	広告宣伝費	127449.0	127449.0	100.0	100.7
220C10200	浜松営業課	接待交際費	343167.0	347669.0	98.7	83.6
220C10200	浜松営業課	研究開発費	0.0	0.0		
220C10200	浜松営業課	アフターサービス費	0.0	0.0		
220C10200	浜松営業課	クレーム費	2000000.0	2000000.0	100.0	171.5
220C10200	浜松営業課	賃借料	8882400.0	8815680.0	100.7	99.8
220C10200	浜松営業課	賃貸料収入	-453600.0	-386880.0		
220C10200	浜松営業課	修繕費	50000.0	1179000.0	4.2	26.2
220C10200	浜松営業課	支払リース料	100800.0	100800.0	100.0	100.0
220C10200	浜松営業課	保険料	32784.0	32964.0	99.4	117.5
220C10200	浜松営業課	支払報酬	109091.0	109091.0	100.0	66.6
220C10200	浜松営業課	販売手数料	0.0	0.0		
220C10200	浜松営業課	支払手数料	648397.0	635460.0	102.0	94.3
220C10200	浜松営業課	診断料	0.0	0.0		
220C10200	浜松営業課	諸会費	108200.0	83200.0	130.0	129.2
220C10200	浜松営業課	会議費	0.0	0.0		
220C10200	浜松営業課	寄付金	15000.0	15000.0	100.0	100.0
220C10200	浜松営業課	租税公課	216279.0	218379.0	99.0	76.2
220C10200	浜松営業課	業務委託費	0.0	0.0		
220C10200	浜松営業課	業務受託収入	0.0	0.0		
220C10200	浜松営業課	システム管理料	0.0	0.0		
220C10200	浜松営業課	情報機器利用料	9465420.0	9471780.0	99.9	95.1
220C10200	浜松営業課	貸倒金	0.0	0.0		0.0
220C10200	浜松営業課	雑費	549332.0	525673.0	104.5	239.4
220C10200	浜松営業課	福利消耗品費	188124.0	176065.0	106.8	70.7
220C10200	浜松営業課	教育研修費	180752.0	143252.0	126.1	42.8
220C10200	浜松営業課	廃棄損・減耗損	136961.0	60000.0	228.2	773.8
