組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220C30101	浜松工務チーム	総出荷	607817557.0	670000000.0	90.7	89.2
220C30101	浜松工務チーム	社外売	607817557.0	670000000.0	90.7	89.2
220C30101	浜松工務チーム	社内売	0.0	0.0		
220C30101	浜松工務チーム	社内仕入	80439727.0	123035959.0	65.3	34.4
220C30101	浜松工務チーム	仕掛1	0.0	15864041.0	0.0	
220C30101	浜松工務チーム	総生産	527377830.0	531100000.0	99.2	114.3
220C30101	浜松工務チーム	経費合計	519167381.0	494120963.0	105.0	124.3
220C30101	浜松工務チーム	経費合計(原価)	441660490.0	411100000.0	107.4	130.2
220C30101	浜松工務チーム	仕掛2	127535050.0	124221764.0	102.6	
220C30101	浜松工務チーム	商品仕入高	114391397.0	130475519.0	87.6	67.4
220C30101	浜松工務チーム	原材料費	0.0	0.0		
220C30101	浜松工務チーム	外注加工費	192261471.0	151067717.0	127.2	65.6
220C30101	浜松工務チーム	その他 直接経費	7472572.0	5335000.0	140.0	
220C30101	浜松工務チーム	他勘定振替高	0.0	0.0		
220C30101	浜松工務チーム	経費合計（販管費）	77506891.0	83020963.0	93.3	98.5
220C30101	浜松工務チーム	減価償却費	322900.0	387480.0	83.3	
220C30101	浜松工務チーム	車両費	3902095.0	3948224.0	98.8	82.6
220C30101	浜松工務チーム	旅費交通費	1614110.0	1420000.0	113.6	91.2
220C30101	浜松工務チーム	荷造運搬費	146560.0	120000.0	122.1	111.8
220C30101	浜松工務チーム	通信費	119121.0	119248.0	99.8	89.9
220C30101	浜松工務チーム	水道光熱費	124411.0	124320.0	100.0	89.1
220C30101	浜松工務チーム	動力費	0.0	0.0		
220C30101	浜松工務チーム	事務用品費	64869.0	69600.0	93.2	104.5
220C30101	浜松工務チーム	消耗品費	627313.0	594794.0	105.4	152.7
220C30101	浜松工務チーム	廃棄物処理料	212720.0	0.0		42.8
220C30101	浜松工務チーム	広告宣伝費	0.0	0.0		
220C30101	浜松工務チーム	接待交際費	20000.0	20000.0	100.0	118.9
220C30101	浜松工務チーム	研究開発費	0.0	0.0		
220C30101	浜松工務チーム	アフターサービス費	0.0	0.0		
220C30101	浜松工務チーム	クレーム費	0.0	0.0		
220C30101	浜松工務チーム	賃借料	1226400.0	1159680.0	105.7	98.9
220C30101	浜松工務チーム	賃貸料収入	-66720.0	0.0		
220C30101	浜松工務チーム	修繕費	50000.0	50000.0	100.0	26.6
220C30101	浜松工務チーム	支払リース料	20160.0	20160.0	100.0	100.0
220C30101	浜松工務チーム	保険料	0.0	0.0		
220C30101	浜松工務チーム	支払報酬	0.0	0.0		
220C30101	浜松工務チーム	販売手数料	0.0	0.0		
220C30101	浜松工務チーム	支払手数料	38880.0	38880.0	100.0	90.3
220C30101	浜松工務チーム	診断料	0.0	0.0		
220C30101	浜松工務チーム	諸会費	1500.0	1500.0	100.0	100.0
220C30101	浜松工務チーム	会議費	0.0	0.0		
220C30101	浜松工務チーム	寄付金	0.0	0.0		
220C30101	浜松工務チーム	租税公課	0.0	0.0		
220C30101	浜松工務チーム	業務委託費	0.0	0.0		
220C30101	浜松工務チーム	業務受託収入	0.0	0.0		
220C30101	浜松工務チーム	システム管理料	0.0	0.0		
220C30101	浜松工務チーム	情報機器利用料	1960920.0	1969200.0	99.5	101.0
220C30101	浜松工務チーム	貸倒金	0.0	0.0		
220C30101	浜松工務チーム	雑費	6880.0	6720.0	102.3	14.3
220C30101	浜松工務チーム	福利消耗品費	35705.0	41420.0	86.2	71.3
220C30101	浜松工務チーム	教育研修費	108800.0	108800.0	100.0	32.4
220C30101	浜松工務チーム	廃棄損・減耗損	0.0	0.0		
220C30101	浜松工務チーム	雑給	0.0	0.0		
220C30101	浜松工務チーム	社内金利（固定資産）	0.0	0.0		
220C30101	浜松工務チーム	社内金利（売掛金）	0.0	0.0		
220C30101	浜松工務チーム	社内金利（在庫）	0.0	0.0		
220C30101	浜松工務チーム	営業口銭①（新築）	16772000.0	18500000.0	90.6	78.8
220C30101	浜松工務チーム	営業口銭②（リフォ）	40856631.0	45000000.0	90.7	106.6
220C30101	浜松工務チーム	開発口銭	0.0	0.0		
220C30101	浜松工務チーム	部門共通（経費）	8432036.0	8411337.0	100.2	129.6
220C30101	浜松工務チーム	グループ共通	909600.0	909600.0	100.0	103.4
220C30101	浜松工務チーム	差引収益	8210449.0	36979037.0	22.2	18.7
220C30101	浜松工務チーム	差引比率	1.5	6.9	21.7	15.9
220C30101	浜松工務チーム	総時間	12603.25	12629.0	99.7	106.3
220C30101	浜松工務チーム	定時間	5372.0	5468.0	98.2	77.9
220C30101	浜松工務チーム	残業時間	1152.25	1107.0	104.0	81.5
220C30101	浜松工務チーム	移動時間	1848.0	1816.0	101.7	308.0
220C30101	浜松工務チーム	部門共通（時間）	4231.0	4238.0	99.8	143.5
220C30101	浜松工務チーム	当月時間当り	651.4	2928.1	22.2	17.6
220C30101	浜松工務チーム	人員	3.0	3.0	100.0	75.0
