組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230A30101	渥美工務チーム	総出荷	310171940.0	530000000.0	58.5	49.2
230A30101	渥美工務チーム	社外売	310171940.0	530000000.0	58.5	49.2
230A30101	渥美工務チーム	社内売	0.0	0.0		
230A30101	渥美工務チーム	社内仕入	31109865.0	52598000.0	59.1	29.1
230A30101	渥美工務チーム	仕掛1	0.0	0.0		0.0
230A30101	渥美工務チーム	総生産	279062075.0	477402000.0	58.4	53.6
230A30101	渥美工務チーム	経費合計	254685715.0	434063106.0	58.6	54.5
230A30101	渥美工務チーム	経費合計(原価)	194458548.0	341402000.0	56.9	52.6
230A30101	渥美工務チーム	仕掛2	0.0	0.0		0.0
230A30101	渥美工務チーム	商品仕入高	91237759.0	161310000.0	56.5	52.3
230A30101	渥美工務チーム	原材料費	0.0	0.0		
230A30101	渥美工務チーム	外注加工費	98852790.0	175492000.0	56.3	51.1
230A30101	渥美工務チーム	その他 直接経費	4367999.0	4600000.0	94.9	
230A30101	渥美工務チーム	他勘定振替高	0.0	0.0		
230A30101	渥美工務チーム	経費合計（販管費）	60227167.0	92661106.0	64.9	62.1
230A30101	渥美工務チーム	減価償却費	0.0	0.0		
230A30101	渥美工務チーム	車両費	2334689.0	2348400.0	99.4	170.8
230A30101	渥美工務チーム	旅費交通費	0.0	0.0		0.0
230A30101	渥美工務チーム	荷造運搬費	56676.0	60000.0	94.4	118.2
230A30101	渥美工務チーム	通信費	130391.0	132000.0	98.7	111.1
230A30101	渥美工務チーム	水道光熱費	277855.0	283000.0	98.1	100.3
230A30101	渥美工務チーム	動力費	0.0	0.0		
230A30101	渥美工務チーム	事務用品費	81551.0	82000.0	99.4	115.5
230A30101	渥美工務チーム	消耗品費	233019.0	240000.0	97.0	103.6
230A30101	渥美工務チーム	廃棄物処理料	-87376.0	-60000.0		
230A30101	渥美工務チーム	広告宣伝費	0.0	0.0		
230A30101	渥美工務チーム	接待交際費	30555.0	20000.0	152.7	181.6
230A30101	渥美工務チーム	研究開発費	0.0	0.0		
230A30101	渥美工務チーム	アフターサービス費	0.0	0.0		
230A30101	渥美工務チーム	クレーム費	0.0	0.0		
230A30101	渥美工務チーム	賃借料	1497600.0	1497600.0	100.0	130.0
230A30101	渥美工務チーム	賃貸料収入	0.0	0.0		
230A30101	渥美工務チーム	修繕費	0.0	0.0		
230A30101	渥美工務チーム	支払リース料	15662.0	14760.0	106.1	106.1
230A30101	渥美工務チーム	保険料	0.0	0.0		
230A30101	渥美工務チーム	支払報酬	0.0	0.0		
230A30101	渥美工務チーム	販売手数料	0.0	0.0		
230A30101	渥美工務チーム	支払手数料	-2300.0	-3600.0		
230A30101	渥美工務チーム	診断料	0.0	0.0		
230A30101	渥美工務チーム	諸会費	0.0	0.0		
230A30101	渥美工務チーム	会議費	0.0	0.0		
230A30101	渥美工務チーム	寄付金	0.0	0.0		
230A30101	渥美工務チーム	租税公課	0.0	0.0		
230A30101	渥美工務チーム	業務委託費	0.0	0.0		
230A30101	渥美工務チーム	業務受託収入	0.0	0.0		
230A30101	渥美工務チーム	システム管理料	0.0	0.0		
230A30101	渥美工務チーム	情報機器利用料	1960920.0	1960920.0	100.0	109.7
230A30101	渥美工務チーム	貸倒金	0.0	0.0		
230A30101	渥美工務チーム	雑費	22651.0	22800.0	99.3	110.5
230A30101	渥美工務チーム	福利消耗品費	33400.0	40600.0	82.2	42.5
230A30101	渥美工務チーム	教育研修費	526451.0	564000.0	93.3	520.4
230A30101	渥美工務チーム	廃棄損・減耗損	0.0	0.0		
230A30101	渥美工務チーム	雑給	0.0	0.0		
230A30101	渥美工務チーム	社内金利（固定資産）	0.0	0.0		
230A30101	渥美工務チーム	社内金利（売掛金）	0.0	0.0		
230A30101	渥美工務チーム	社内金利（在庫）	0.0	0.0		
230A30101	渥美工務チーム	営業口銭①（新築）	702000.0	1000000.0	70.2	10.8
230A30101	渥美工務チーム	営業口銭②（リフォ）	44419789.0	76500000.0	58.0	57.5
230A30101	渥美工務チーム	開発口銭	0.0	0.0		
230A30101	渥美工務チーム	部門共通（経費）	7084034.0	7049026.0	100.4	110.9
230A30101	渥美工務チーム	グループ共通	909600.0	909600.0	100.0	103.4
230A30101	渥美工務チーム	差引収益	24376360.0	43338894.0	56.2	45.8
230A30101	渥美工務チーム	差引比率	8.7	9.0	96.6	85.2
230A30101	渥美工務チーム	総時間	11932.25	12046.5	99.0	103.2
230A30101	渥美工務チーム	定時間	5874.5	5952.0	98.6	106.3
230A30101	渥美工務チーム	残業時間	1110.25	1140.0	97.3	105.4
230A30101	渥美工務チーム	移動時間	1984.0	1984.0	100.0	92.7
230A30101	渥美工務チーム	部門共通（時間）	2963.5	2970.5	99.7	104.4
230A30101	渥美工務チーム	当月時間当り	2042.8	3597.6	56.7	44.3
230A30101	渥美工務チーム	人員	3.0	3.0	100.0	100.0
