組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230B60100	物流チーム	総受注高	0.0	0.0		
230B60100	物流チーム	【新築】受注高	0.0	0.0		
230B60100	物流チーム	【リフォ】受注高	0.0	0.0		
230B60100	物流チーム	【資材】受注高	0.0	0.0		
230B60100	物流チーム	総売上高	0.0	0.0		
230B60100	物流チーム	【新築】売上高	0.0	0.0		
230B60100	物流チーム	【リフォ】売上高	0.0	0.0		
230B60100	物流チーム	【資材】売上高	0.0	0.0		
230B60100	物流チーム	【新築】インセンティブ	0.0	0.0		
230B60100	物流チーム	【リフォ】インセンティブ	0.0	0.0		
230B60100	物流チーム	【資材】インセンティブ	0.0	0.0		
230B60100	物流チーム	収益①（営業口銭）	0.0	0.0		
230B60100	物流チーム	【新築】収益①(営業口銭)	0.0	0.0		
230B60100	物流チーム	【リフォ】収益①(営業口銭)	0.0	0.0		
230B60100	物流チーム	【資材】売上原価	0.0	0.0		
230B60100	物流チーム	収益②（資材）	0.0	0.0		
230B60100	物流チーム	総収益	0.0	0.0		
230B60100	物流チーム	経費合計	0.0	0.0		
230B60100	物流チーム	減価償却費	0.0	0.0		
230B60100	物流チーム	車両費	3042166.0	3002700.0	101.3	106.0
230B60100	物流チーム	旅費交通費	88427.0	163000.0	54.2	207.9
230B60100	物流チーム	荷造運搬費	32287771.0	32160000.0	100.3	99.8
230B60100	物流チーム	通信費	134774.0	129420.0	104.1	134.8
230B60100	物流チーム	水道光熱費	342477.0	343900.0	99.5	170.5
230B60100	物流チーム	動力費	0.0	0.0		
230B60100	物流チーム	事務用品費	65978.0	55000.0	119.9	157.1
230B60100	物流チーム	消耗品費	1361738.0	930600.0	146.3	135.3
230B60100	物流チーム	廃棄物処理料	635690.0	646000.0	98.4	108.7
230B60100	物流チーム	広告宣伝費	3600.0	3600.0	100.0	188.3
230B60100	物流チーム	接待交際費	0.0	0.0		
230B60100	物流チーム	研究開発費	0.0	0.0		
230B60100	物流チーム	アフターサービス費	0.0	0.0		
230B60100	物流チーム	クレーム費	6210.0	0.0		461.3
230B60100	物流チーム	賃借料	2729520.0	2729520.0	100.0	140.0
230B60100	物流チーム	賃貸料収入	0.0	0.0		
230B60100	物流チーム	修繕費	0.0	0.0		
230B60100	物流チーム	支払リース料	97324.0	98400.0	98.9	112.6
230B60100	物流チーム	保険料	24943.0	78962.0	31.5	335.5
230B60100	物流チーム	支払報酬	0.0	0.0		
230B60100	物流チーム	販売手数料	0.0	0.0		
230B60100	物流チーム	支払手数料	9675.0	8600.0	112.5	190.5
230B60100	物流チーム	診断料	0.0	0.0		
230B60100	物流チーム	諸会費	8154.0	9200.0	88.6	91.2
230B60100	物流チーム	会議費	0.0	0.0		
230B60100	物流チーム	寄付金	0.0	0.0		
230B60100	物流チーム	租税公課	0.0	0.0		0.0
230B60100	物流チーム	業務委託費	0.0	0.0		
230B60100	物流チーム	業務受託収入	0.0	0.0		
230B60100	物流チーム	システム管理料	0.0	0.0		
230B60100	物流チーム	情報機器利用料	3453672.0	3453672.0	100.0	192.7
230B60100	物流チーム	貸倒金	0.0	0.0		
230B60100	物流チーム	雑費	43800.0	49800.0	87.9	150.3
230B60100	物流チーム	福利消耗品費	95375.0	124900.0	76.3	64.2
230B60100	物流チーム	教育研修費	33968.0	39100.0	86.8	77.0
230B60100	物流チーム	廃棄損・減耗損	0.0	0.0		0.0
230B60100	物流チーム	雑給	0.0	0.0		
230B60100	物流チーム	社内金利（固定資産）	0.0	0.0		
230B60100	物流チーム	社内金利（売掛金）	0.0	0.0		
230B60100	物流チーム	社内金利（在庫）	0.0	0.0		
230B60100	物流チーム	開発口銭	0.0	0.0		
230B60100	物流チーム	部門共通（経費）	-46222062.0	-45835974.0		
230B60100	物流チーム	グループ共通	1756800.0	1809600.0	97.0	149.3
230B60100	物流チーム	差引収益	0.0	0.0		
230B60100	物流チーム	差引比率	0.0	0.0		
230B60100	物流チーム	総時間	0.0	0.0		
230B60100	物流チーム	定時間	10828.0	10800.0	100.2	149.1
230B60100	物流チーム	残業時間	1007.75	910.0	110.7	173.2
230B60100	物流チーム	移動時間	304.0	339.0	89.6	16.7
230B60100	物流チーム	部門共通（時間）	-12139.75	-12049.0		
230B60100	物流チーム	当月時間当り	0.0	0.0		
230B60100	物流チーム	人員	6.0	6.0	100.0	150.0
