組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230B10300	田原営業課	総受注高	668070386.0	870000000.0	76.7	77.0
230B10300	田原営業課	【新築】受注高	4620000.0	20000000.0	23.1	9.1
230B10300	田原営業課	【リフォ】受注高	166718122.0	360000000.0	46.3	45.0
230B10300	田原営業課	【資材】受注高	496732264.0	490000000.0	101.3	111.4
230B10300	田原営業課	総売上高	716653298.0	870000000.0	82.3	85.2
230B10300	田原営業課	【新築】売上高	5390000.0	20000000.0	26.9	10.3
230B10300	田原営業課	【リフォ】売上高	218909793.0	360000000.0	60.8	62.3
230B10300	田原営業課	【資材】売上高	492353505.0	490000000.0	100.4	112.5
230B10300	田原営業課	【新築】インセンティブ	0.0	0.0		
230B10300	田原営業課	【リフォ】インセンティブ	0.0	0.0		
230B10300	田原営業課	【資材】インセンティブ	0.0	0.0		
230B10300	田原営業課	収益①（営業口銭）	33105966.0	55000000.0	60.1	59.8
230B10300	田原営業課	【新築】収益①(営業口銭)	269500.0	1000000.0	26.9	10.3
230B10300	田原営業課	【リフォ】収益①(営業口銭)	32836466.0	54000000.0	60.8	62.3
230B10300	田原営業課	【資材】売上原価	398984983.0	399000000.0	99.9	110.7
230B10300	田原営業課	収益②（資材）	93368522.0	91000000.0	102.6	120.8
230B10300	田原営業課	総収益	126474488.0	146000000.0	86.6	95.4
230B10300	田原営業課	総出荷	224299793.0	380000000.0	59.0	55.5
230B10300	田原営業課	社外売	224299793.0	380000000.0	59.0	55.5
230B10300	田原営業課	社内売	0.0	0.0		
230B10300	田原営業課	社内仕入	25586075.0	37900000.0	67.5	35.5
230B10300	田原営業課	仕掛1	0.0	0.0		0.0
230B10300	田原営業課	総生産	198713718.0	342100000.0	58.0	60.0
230B10300	田原営業課	経費合計	240088939.0	363117581.0	66.1	70.7
230B10300	田原営業課	経費合計(原価)	137943692.0	239100000.0	57.6	63.1
230B10300	田原営業課	仕掛2	0.0	0.0		
230B10300	田原営業課	商品仕入高	60982461.0	112200000.0	54.3	57.2
230B10300	田原営業課	原材料費	0.0	0.0		
230B10300	田原営業課	外注加工費	72900401.0	122700000.0	59.4	60.2
230B10300	田原営業課	その他 直接経費	4060830.0	4200000.0	96.6	
230B10300	田原営業課	他勘定振替高	0.0	0.0		
230B10300	田原営業課	経費合計（販管費）	102145247.0	124017581.0	82.3	84.7
230B10300	田原営業課	減価償却費	53188.0	53188.0	100.0	93.6
230B10300	田原営業課	車両費	8399649.0	8491619.0	98.9	93.1
230B10300	田原営業課	旅費交通費	43750.0	36000.0	121.5	158.8
230B10300	田原営業課	荷造運搬費	263930.0	262000.0	100.7	150.3
