組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230B30601	田原工務チーム	総出荷	224299793.0	380000000.0	59.0	55.5
230B30601	田原工務チーム	社外売	224299793.0	380000000.0	59.0	55.5
230B30601	田原工務チーム	社内売	0.0	0.0		
230B30601	田原工務チーム	社内仕入	25586075.0	37900000.0	67.5	35.5
230B30601	田原工務チーム	仕掛1	0.0	0.0		0.0
230B30601	田原工務チーム	総生産	198713718.0	342100000.0	58.0	60.0
230B30601	田原工務チーム	経費合計	185721509.0	309098147.0	60.0	64.7
230B30601	田原工務チーム	経費合計(原価)	137943692.0	239100000.0	57.6	63.1
230B30601	田原工務チーム	仕掛2	0.0	0.0		
230B30601	田原工務チーム	商品仕入高	60982461.0	112200000.0	54.3	57.2
230B30601	田原工務チーム	原材料費	0.0	0.0		
230B30601	田原工務チーム	外注加工費	72900401.0	122700000.0	59.4	60.2
230B30601	田原工務チーム	その他 直接経費	4060830.0	4200000.0	96.6	
230B30601	田原工務チーム	他勘定振替高	0.0	0.0		
230B30601	田原工務チーム	経費合計（販管費）	47777817.0	69998147.0	68.2	69.9
230B30601	田原工務チーム	減価償却費	0.0	0.0		
230B30601	田原工務チーム	車両費	2489421.0	2533491.0	98.2	98.8
230B30601	田原工務チーム	旅費交通費	0.0	0.0		
230B30601	田原工務チーム	荷造運搬費	252000.0	252000.0	100.0	150.0
230B30601	田原工務チーム	通信費	114973.0	116500.0	98.6	109.7
230B30601	田原工務チーム	水道光熱費	171417.0	171000.0	100.2	110.0
230B30601	田原工務チーム	動力費	0.0	0.0		
230B30601	田原工務チーム	事務用品費	67339.0	72000.0	93.5	129.3
230B30601	田原工務チーム	消耗品費	136449.0	161736.0	84.3	270.2
230B30601	田原工務チーム	廃棄物処理料	371595.0	360000.0	103.2	139.4
230B30601	田原工務チーム	広告宣伝費	4000.0	4000.0	100.0	277.2
230B30601	田原工務チーム	接待交際費	20000.0	20000.0	100.0	118.9
230B30601	田原工務チーム	研究開発費	0.0	0.0		
230B30601	田原工務チーム	アフターサービス費	0.0	0.0		
230B30601	田原工務チーム	クレーム費	0.0	0.0		
230B30601	田原工務チーム	賃借料	900360.0	900360.0	100.0	116.5
230B30601	田原工務チーム	賃貸料収入	0.0	0.0		
230B30601	田原工務チーム	修繕費	0.0	0.0		
230B30601	田原工務チーム	支払リース料	12262.0	12000.0	102.1	103.9
230B30601	田原工務チーム	保険料	0.0	0.0		
230B30601	田原工務チーム	支払報酬	0.0	0.0		
230B30601	田原工務チーム	販売手数料	0.0	0.0		
230B30601	田原工務チーム	支払手数料	5732.0	6000.0	95.5	131.9
230B30601	田原工務チーム	診断料	0.0	0.0		
230B30601	田原工務チーム	諸会費	6000.0	6000.0	100.0	152.9
230B30601	田原工務チーム	会議費	0.0	0.0		
230B30601	田原工務チーム	寄付金	0.0	0.0		
230B30601	田原工務チーム	租税公課	0.0	0.0		
230B30601	田原工務チーム	業務委託費	0.0	0.0		
230B30601	田原工務チーム	業務受託収入	0.0	0.0		
230B30601	田原工務チーム	システム管理料	0.0	0.0		
230B30601	田原工務チーム	情報機器利用料	1966920.0	1968120.0	99.9	110.0
230B30601	田原工務チーム	貸倒金	0.0	0.0		
230B30601	田原工務チーム	雑費	45064.0	48000.0	93.8	160.0
230B30601	田原工務チーム	福利消耗品費	36869.0	38540.0	95.6	45.8
230B30601	田原工務チーム	教育研修費	211956.0	491200.0	43.1	527.7
230B30601	田原工務チーム	廃棄損・減耗損	0.0	0.0		
230B30601	田原工務チーム	雑給	0.0	0.0		
230B30601	田原工務チーム	社内金利（固定資産）	0.0	0.0		
230B30601	田原工務チーム	社内金利（売掛金）	0.0	0.0		
230B30601	田原工務チーム	社内金利（在庫）	0.0	0.0		
230B30601	田原工務チーム	営業口銭①（新築）	269500.0	1000000.0	26.9	10.3
230B30601	田原工務チーム	営業口銭②（リフォ）	32836466.0	54000000.0	60.8	62.3
230B30601	田原工務チーム	開発口銭	0.0	0.0		
230B30601	田原工務チーム	部門共通（経費）	6949894.0	6927600.0	100.3	114.3
230B30601	田原工務チーム	グループ共通	909600.0	909600.0	100.0	103.4
230B30601	田原工務チーム	差引収益	12992209.0	33001853.0	39.3	29.3
230B30601	田原工務チーム	差引比率	6.5	9.6	67.7	48.8
230B30601	田原工務チーム	総時間	9679.75	9696.75	99.8	107.9
230B30601	田原工務チーム	定時間	5787.5	5820.0	99.4	102.6
230B30601	田原工務チーム	残業時間	772.0	750.0	102.9	112.6
230B30601	田原工務チーム	移動時間	0.0	0.0		
230B30601	田原工務チーム	部門共通（時間）	3120.25	3126.75	99.7	117.6
230B30601	田原工務チーム	当月時間当り	1342.2	3403.3	39.4	27.1
230B30601	田原工務チーム	人員	3.0	3.0	100.0	100.0
