組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
400A10200	福岡営業チーム	総受注高	884395898.0	1830000000.0	48.3	56.2
400A10200	福岡営業チーム	【新築】受注高	260730000.0	1000000000.0	26.0	30.3
400A10200	福岡営業チーム	【リフォ】受注高	185447995.0	430000000.0	43.1	58.2
400A10200	福岡営業チーム	【資材】受注高	438217903.0	400000000.0	109.5	111.0
400A10200	福岡営業チーム	総売上高	876252113.0	1830000000.0	47.8	34.0
400A10200	福岡営業チーム	【新築】売上高	260730000.0	1000000000.0	26.0	14.2
400A10200	福岡営業チーム	【リフォ】売上高	202968804.0	430000000.0	47.2	58.4
400A10200	福岡営業チーム	【資材】売上高	412683309.0	400130000.0	103.1	104.0
400A10200	福岡営業チーム	【新築】インセンティブ	0.0	0.0		
400A10200	福岡営業チーム	【リフォ】インセンティブ	0.0	0.0		
400A10200	福岡営業チーム	【資材】インセンティブ	-130000.0	-130000.0		
400A10200	福岡営業チーム	収益①（営業口銭）	43481817.0	114500000.0	37.9	27.5
400A10200	福岡営業チーム	【新築】収益①(営業口銭)	13036500.0	50000000.0	26.0	12.3
400A10200	福岡営業チーム	【リフォ】収益①(営業口銭)	30445317.0	64500000.0	47.2	58.4
400A10200	福岡営業チーム	【資材】売上原価	311586596.0	300000000.0	103.8	101.3
400A10200	福岡営業チーム	収益②（資材）	100966713.0	100000000.0	100.9	114.2
400A10200	福岡営業チーム	総収益	144448530.0	214500000.0	67.3	58.6
400A10200	福岡営業チーム	経費合計	61300763.0	61313461.0	99.9	98.2
400A10200	福岡営業チーム	減価償却費	434393.0	413797.0	104.9	73.5
400A10200	福岡営業チーム	車両費	6588910.0	5683053.0	115.9	87.4
400A10200	福岡営業チーム	旅費交通費	3798080.0	3950000.0	96.1	88.2
400A10200	福岡営業チーム	荷造運搬費	262605.0	280000.0	93.7	117.0
400A10200	福岡営業チーム	通信費	1299682.0	1339024.0	97.0	111.1
400A10200	福岡営業チーム	水道光熱費	744268.0	892000.0	83.4	127.0
400A10200	福岡営業チーム	動力費	0.0	0.0		
400A10200	福岡営業チーム	事務用品費	445081.0	502700.0	88.5	85.9
400A10200	福岡営業チーム	消耗品費	312711.0	340800.0	91.7	102.8
400A10200	福岡営業チーム	廃棄物処理料	1415433.0	1606990.0	88.0	272.0
400A10200	福岡営業チーム	広告宣伝費	244000.0	238000.0	102.5	83.6
400A10200	福岡営業チーム	接待交際費	756189.0	830000.0	91.1	67.2
400A10200	福岡営業チーム	研究開発費	0.0	0.0		
400A10200	福岡営業チーム	アフターサービス費	0.0	0.0		
400A10200	福岡営業チーム	クレーム費	3500000.0	4000000.0	87.5	279.3
400A10200	福岡営業チーム	賃借料	6410109.0	6216012.0	103.1	88.4
400A10200	福岡営業チーム	賃貸料収入	-636840.0	-638568.0		
400A10200	福岡営業チーム	修繕費	0.0	0.0		
400A10200	福岡営業チーム	支払リース料	0.0	0.0		
400A10200	福岡営業チーム	保険料	24528.0	24528.0	100.0	144.8
400A10200	福岡営業チーム	支払報酬	0.0	0.0		0.0
400A10200	福岡営業チーム	販売手数料	0.0	0.0		
400A10200	福岡営業チーム	支払手数料	324538.0	329688.0	98.4	106.0
400A10200	福岡営業チーム	診断料	0.0	0.0		
400A10200	福岡営業チーム	諸会費	79150.0	78250.0	101.1	104.8
400A10200	福岡営業チーム	会議費	0.0	0.0		
400A10200	福岡営業チーム	寄付金	0.0	0.0		
400A10200	福岡営業チーム	租税公課	488100.0	450000.0	108.4	108.7
400A10200	福岡営業チーム	業務委託費	0.0	0.0		
400A10200	福岡営業チーム	業務受託収入	0.0	0.0		
400A10200	福岡営業チーム	システム管理料	0.0	0.0		
400A10200	福岡営業チーム	情報機器利用料	7468668.0	7469760.0	99.9	78.4
400A10200	福岡営業チーム	貸倒金	0.0	0.0		
400A10200	福岡営業チーム	雑費	112602.0	112000.0	100.5	101.9
400A10200	福岡営業チーム	福利消耗品費	59291.0	117000.0	50.6	31.0
400A10200	福岡営業チーム	教育研修費	408437.0	373161.0	109.4	79.6
400A10200	福岡営業チーム	廃棄損・減耗損	0.0	37248.0	0.0	0.0
400A10200	福岡営業チーム	雑給	0.0	0.0		
400A10200	福岡営業チーム	社内金利（固定資産）	145050.0	137681.0	105.3	70.1
400A10200	福岡営業チーム	社内金利（売掛金）	587573.0	564000.0	104.1	101.2
400A10200	福岡営業チーム	社内金利（在庫）	542139.0	544600.0	99.5	103.8
400A10200	福岡営業チーム	開発口銭	0.0	0.0		
400A10200	福岡営業チーム	部門共通（経費）	21865666.0	21801337.0	100.2	103.9
400A10200	福岡営業チーム	グループ共通	3620400.0	3620400.0	100.0	102.6
400A10200	福岡営業チーム	差引収益	83147767.0	153186539.0	54.2	45.2
400A10200	福岡営業チーム	差引比率	9.4	8.3	113.2	132.3
400A10200	福岡営業チーム	総時間	33115.25	32704.5	101.2	95.5
400A10200	福岡営業チーム	定時間	18016.5	17888.0	100.7	79.1
400A10200	福岡営業チーム	残業時間	2935.75	2943.0	99.7	75.3
400A10200	福岡営業チーム	移動時間	-1784.5	-2123.0		
400A10200	福岡営業チーム	部門共通（時間）	13947.5	13996.5	99.6	106.2
400A10200	福岡営業チーム	当月時間当り	2510.8	4683.9	53.6	47.3
400A10200	福岡営業チーム	人員	10.0	10.0	100.0	76.9
