組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
400A30100	福岡工務チーム	総出荷	463698804.0	1430000000.0	32.4	21.2
400A30100	福岡工務チーム	社外売	463698804.0	1430000000.0	32.4	21.2
400A30100	福岡工務チーム	社内売	0.0	0.0		
400A30100	福岡工務チーム	社内仕入	77394551.0	307460000.0	25.1	27.5
400A30100	福岡工務チーム	仕掛1	-518800.0	0.0		
400A30100	福岡工務チーム	総生産	386823053.0	1122540000.0	34.4	23.8
400A30100	福岡工務チーム	経費合計	398211624.0	1053333579.0	37.8	25.3
400A30100	福岡工務チーム	経費合計(原価)	334836354.0	919540000.0	36.4	24.2
400A30100	福岡工務チーム	仕掛2	1721380.0	0.0		0.5
400A30100	福岡工務チーム	商品仕入高	204411130.0	555700000.0	36.7	31.2
400A30100	福岡工務チーム	原材料費	0.0	0.0		
400A30100	福岡工務チーム	外注加工費	110790500.0	345480000.0	32.0	27.8
400A30100	福岡工務チーム	その他 直接経費	17913344.0	18360000.0	97.5	
400A30100	福岡工務チーム	他勘定振替高	0.0	0.0		
400A30100	福岡工務チーム	経費合計（販管費）	63375270.0	133793579.0	47.3	32.6
400A30100	福岡工務チーム	減価償却費	116472.0	123584.0	94.2	120.0
400A30100	福岡工務チーム	車両費	3592758.0	3237410.0	110.9	85.8
400A30100	福岡工務チーム	旅費交通費	988155.0	993000.0	99.5	12.0
400A30100	福岡工務チーム	荷造運搬費	0.0	0.0		0.0
400A30100	福岡工務チーム	通信費	208098.0	222016.0	93.7	137.4
400A30100	福岡工務チーム	水道光熱費	560884.0	605000.0	92.7	69.0
400A30100	福岡工務チーム	動力費	0.0	0.0		
400A30100	福岡工務チーム	事務用品費	132881.0	150600.0	88.2	108.3
400A30100	福岡工務チーム	消耗品費	122399.0	131100.0	93.3	60.7
400A30100	福岡工務チーム	廃棄物処理料	732397.0	480010.0	152.5	44.4
400A30100	福岡工務チーム	広告宣伝費	0.0	0.0		
400A30100	福岡工務チーム	接待交際費	734.0	0.0		1.7
400A30100	福岡工務チーム	研究開発費	0.0	0.0		
400A30100	福岡工務チーム	アフターサービス費	0.0	0.0		
400A30100	福岡工務チーム	クレーム費	0.0	0.0		
400A30100	福岡工務チーム	賃借料	2689726.0	2690724.0	99.9	72.4
400A30100	福岡工務チーム	賃貸料収入	-143170.0	-141444.0		
400A30100	福岡工務チーム	修繕費	0.0	0.0		
400A30100	福岡工務チーム	支払リース料	0.0	0.0		
400A30100	福岡工務チーム	保険料	4098.0	19800.0	20.6	0.9
400A30100	福岡工務チーム	支払報酬	0.0	0.0		0.0
400A30100	福岡工務チーム	販売手数料	0.0	0.0		
400A30100	福岡工務チーム	支払手数料	45325.0	44712.0	101.3	4.8
400A30100	福岡工務チーム	診断料	0.0	0.0		
400A30100	福岡工務チーム	諸会費	500.0	500.0	100.0	10.1
400A30100	福岡工務チーム	会議費	0.0	0.0		
400A30100	福岡工務チーム	寄付金	0.0	0.0		
400A30100	福岡工務チーム	租税公課	0.0	0.0		0.0
400A30100	福岡工務チーム	業務委託費	0.0	0.0		0.0
400A30100	福岡工務チーム	業務受託収入	0.0	0.0		
400A30100	福岡工務チーム	システム管理料	0.0	0.0		
400A30100	福岡工務チーム	情報機器利用料	1221720.0	1154520.0	105.8	72.4
400A30100	福岡工務チーム	貸倒金	0.0	0.0		
400A30100	福岡工務チーム	雑費	6000.0	6000.0	100.0	0.8
400A30100	福岡工務チーム	福利消耗品費	30000.0	33000.0	90.9	191.6
400A30100	福岡工務チーム	教育研修費	183936.0	203922.0	90.1	297.0
400A30100	福岡工務チーム	廃棄損・減耗損	0.0	0.0		
400A30100	福岡工務チーム	雑給	0.0	0.0		
400A30100	福岡工務チーム	社内金利（固定資産）	36075.0	41124.0	87.7	209.7
400A30100	福岡工務チーム	社内金利（売掛金）	0.0	0.0		
400A30100	福岡工務チーム	社内金利（在庫）	0.0	0.0		
400A30100	福岡工務チーム	営業口銭①（新築）	13036500.0	50000000.0	26.0	12.3
400A30100	福岡工務チーム	営業口銭②（リフォ）	30445317.0	64500000.0	47.2	58.4
400A30100	福岡工務チーム	開発口銭	0.0	0.0		
400A30100	福岡工務チーム	部門共通（経費）	8758465.0	8692001.0	100.7	108.4
400A30100	福岡工務チーム	グループ共通	606000.0	606000.0	100.0	68.8
400A30100	福岡工務チーム	差引収益	-11388571.0	69206421.0		
400A30100	福岡工務チーム	差引比率	-2.9	6.1		
400A30100	福岡工務チーム	総時間	12575.75	12994.0	96.7	75.8
400A30100	福岡工務チーム	定時間	5525.25	5592.0	98.8	122.5
400A30100	福岡工務チーム	残業時間	896.75	907.0	98.8	115.1
400A30100	福岡工務チーム	移動時間	1751.75	2083.0	84.0	26.4
400A30100	福岡工務チーム	部門共通（時間）	4402.0	4412.0	99.7	94.1
400A30100	福岡工務チーム	当月時間当り	-905.5	5326.0		
400A30100	福岡工務チーム	人員	3.0	3.0	100.0	100.0
