組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
040A10400	福島営業課	総受注高	51889703.0	100000000.0	51.8	20.5
040A10400	福島営業課	【新築】受注高	0.0	50000000.0	0.0	0.0
040A10400	福島営業課	【リフォ】受注高	25187000.0	30000000.0	83.9	281.4
040A10400	福島営業課	【資材】受注高	26702703.0	20000000.0	133.5	136.3
040A10400	福島営業課	総売上高	55258831.0	100000000.0	55.2	22.0
040A10400	福島営業課	【新築】売上高	0.0	50000000.0	0.0	0.0
040A10400	福島営業課	【リフォ】売上高	34187000.0	30000000.0	113.9	455.2
040A10400	福島営業課	【資材】売上高	21071831.0	20000000.0	105.3	109.7
040A10400	福島営業課	【新築】インセンティブ	0.0	0.0		
040A10400	福島営業課	【リフォ】インセンティブ	0.0	0.0		
040A10400	福島営業課	【資材】インセンティブ	0.0	0.0		
040A10400	福島営業課	収益①（営業口銭）	5128050.0	7000000.0	73.2	41.6
040A10400	福島営業課	【新築】収益①(営業口銭)	0.0	2500000.0	0.0	0.0
040A10400	福島営業課	【リフォ】収益①(営業口銭)	5128050.0	4500000.0	113.9	455.2
040A10400	福島営業課	【資材】売上原価	17025228.0	16000000.0	106.4	91.0
040A10400	福島営業課	収益②（資材）	4046603.0	4000000.0	101.1	786.2
040A10400	福島営業課	総収益	9174653.0	11000000.0	83.4	71.4
040A10400	福島営業課	総出荷	34187000.0	80000000.0	42.7	14.7
040A10400	福島営業課	社外売	34187000.0	80000000.0	42.7	14.7
040A10400	福島営業課	社内売	0.0	0.0		
040A10400	福島営業課	社内仕入	71120.0	4350000.0	1.6	0.8
040A10400	福島営業課	仕掛1	0.0	0.0		
040A10400	福島営業課	総生産	34115880.0	75650000.0	45.0	15.2
040A10400	福島営業課	経費合計	43236980.0	80100598.0	53.9	21.6
040A10400	福島営業課	経費合計(原価)	27513413.0	62550000.0	43.9	15.5
040A10400	福島営業課	仕掛2	0.0	0.0		0.0
040A10400	福島営業課	商品仕入高	12846651.0	31110000.0	41.2	11.7
040A10400	福島営業課	原材料費	0.0	0.0		
040A10400	福島営業課	外注加工費	13934644.0	31440000.0	44.3	20.8
040A10400	福島営業課	その他 直接経費	732118.0	0.0		
040A10400	福島営業課	他勘定振替高	0.0	0.0		
040A10400	福島営業課	経費合計（販管費）	15723567.0	17550598.0	89.5	68.5
040A10400	福島営業課	減価償却費	0.0	0.0		
040A10400	福島営業課	車両費	0.0	0.0		
040A10400	福島営業課	旅費交通費	816882.0	840000.0	97.2	78.8
040A10400	福島営業課	荷造運搬費	0.0	0.0		0.0
040A10400	福島営業課	通信費	0.0	0.0		
040A10400	福島営業課	水道光熱費	0.0	0.0		
040A10400	福島営業課	動力費	0.0	0.0		
040A10400	福島営業課	事務用品費	0.0	0.0		
040A10400	福島営業課	消耗品費	0.0	0.0		
040A10400	福島営業課	廃棄物処理料	0.0	0.0		
040A10400	福島営業課	広告宣伝費	0.0	0.0		
040A10400	福島営業課	接待交際費	50000.0	50000.0	100.0	61.5
040A10400	福島営業課	研究開発費	0.0	0.0		
040A10400	福島営業課	アフターサービス費	0.0	0.0		
040A10400	福島営業課	クレーム費	1000000.0	1000000.0	100.0	67.4
040A10400	福島営業課	賃借料	178800.0	178800.0	100.0	100.0
040A10400	福島営業課	賃貸料収入	0.0	0.0		
040A10400	福島営業課	修繕費	0.0	0.0		
040A10400	福島営業課	支払リース料	0.0	0.0		
040A10400	福島営業課	保険料	0.0	0.0		
040A10400	福島営業課	支払報酬	0.0	0.0		0.0
040A10400	福島営業課	販売手数料	0.0	0.0		
040A10400	福島営業課	支払手数料	600.0	0.0		100.0
040A10400	福島営業課	診断料	0.0	0.0		
040A10400	福島営業課	諸会費	0.0	0.0		
040A10400	福島営業課	会議費	0.0	0.0		
040A10400	福島営業課	寄付金	0.0	0.0		
040A10400	福島営業課	租税公課	37000.0	37000.0	100.0	
040A10400	福島営業課	業務委託費	0.0	0.0		
040A10400	福島営業課	業務受託収入	0.0	0.0		
040A10400	福島営業課	システム管理料	0.0	0.0		
040A10400	福島営業課	情報機器利用料	0.0	0.0		
040A10400	福島営業課	貸倒金	0.0	0.0		
040A10400	福島営業課	雑費	0.0	0.0		
040A10400	福島営業課	福利消耗品費	0.0	0.0		
040A10400	福島営業課	教育研修費	0.0	0.0		
040A10400	福島営業課	廃棄損・減耗損	0.0	0.0		
040A10400	福島営業課	雑給	0.0	0.0		
040A10400	福島営業課	社内金利（固定資産）	0.0	0.0		
040A10400	福島営業課	社内金利（売掛金）	547116.0	525000.0	104.2	148.0
040A10400	福島営業課	社内金利（在庫）	358.0	0.0		31.9
040A10400	福島営業課	営業口銭①（新築）	0.0	2500000.0	0.0	0.0
040A10400	福島営業課	営業口銭②（リフォ）	5128050.0	4500000.0	113.9	455.2
040A10400	福島営業課	開発口銭	0.0	0.0		
040A10400	福島営業課	部門共通（経費）	7964761.0	7919798.0	100.5	108.4
040A10400	福島営業課	グループ共通	0.0	0.0		
040A10400	福島営業課	差引収益	53553.0	6549402.0	0.8	0.1
040A10400	福島営業課	差引比率	0.0	3.7	0.0	0.0
040A10400	福島営業課	総時間	6092.5	6103.5	99.8	99.7
040A10400	福島営業課	定時間	0.0	0.0		
040A10400	福島営業課	残業時間	0.0	0.0		
040A10400	福島営業課	移動時間	2160.0	2160.0	100.0	100.0
040A10400	福島営業課	部門共通（時間）	3932.5	3943.5	99.7	99.6
040A10400	福島営業課	当月時間当り	8.7	1073.0	0.8	0.1
040A10400	福島営業課	人員	0.0	0.0		
