組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
040A30201	福島工務チーム	総出荷	34187000.0	80000000.0	42.7	14.7
040A30201	福島工務チーム	社外売	34187000.0	80000000.0	42.7	14.7
040A30201	福島工務チーム	社内売	0.0	0.0		
040A30201	福島工務チーム	社内仕入	71120.0	4350000.0	1.6	0.8
040A30201	福島工務チーム	仕掛1	0.0	0.0		
040A30201	福島工務チーム	総生産	34115880.0	75650000.0	45.0	15.2
040A30201	福島工務チーム	経費合計	34743447.0	71640057.0	48.4	18.1
040A30201	福島工務チーム	経費合計(原価)	27513413.0	62550000.0	43.9	15.5
040A30201	福島工務チーム	仕掛2	0.0	0.0		0.0
040A30201	福島工務チーム	商品仕入高	12846651.0	31110000.0	41.2	11.7
040A30201	福島工務チーム	原材料費	0.0	0.0		
040A30201	福島工務チーム	外注加工費	13934644.0	31440000.0	44.3	20.8
040A30201	福島工務チーム	その他 直接経費	732118.0	0.0		
040A30201	福島工務チーム	他勘定振替高	0.0	0.0		
040A30201	福島工務チーム	経費合計（販管費）	7230034.0	9090057.0	79.5	49.8
040A30201	福島工務チーム	減価償却費	0.0	0.0		
040A30201	福島工務チーム	車両費	0.0	0.0		
040A30201	福島工務チーム	旅費交通費	0.0	0.0		0.0
040A30201	福島工務チーム	荷造運搬費	0.0	0.0		
040A30201	福島工務チーム	通信費	0.0	0.0		
040A30201	福島工務チーム	水道光熱費	0.0	0.0		
040A30201	福島工務チーム	動力費	0.0	0.0		
040A30201	福島工務チーム	事務用品費	0.0	0.0		
040A30201	福島工務チーム	消耗品費	0.0	0.0		
040A30201	福島工務チーム	廃棄物処理料	0.0	0.0		
040A30201	福島工務チーム	広告宣伝費	0.0	0.0		
040A30201	福島工務チーム	接待交際費	0.0	0.0		
040A30201	福島工務チーム	研究開発費	0.0	0.0		
040A30201	福島工務チーム	アフターサービス費	0.0	0.0		
040A30201	福島工務チーム	クレーム費	0.0	0.0		
040A30201	福島工務チーム	賃借料	0.0	0.0		
040A30201	福島工務チーム	賃貸料収入	0.0	0.0		
040A30201	福島工務チーム	修繕費	0.0	0.0		
040A30201	福島工務チーム	支払リース料	0.0	0.0		
040A30201	福島工務チーム	保険料	0.0	0.0		
040A30201	福島工務チーム	支払報酬	0.0	0.0		0.0
040A30201	福島工務チーム	販売手数料	0.0	0.0		
040A30201	福島工務チーム	支払手数料	0.0	0.0		
040A30201	福島工務チーム	診断料	0.0	0.0		
040A30201	福島工務チーム	諸会費	0.0	0.0		
040A30201	福島工務チーム	会議費	0.0	0.0		
040A30201	福島工務チーム	寄付金	0.0	0.0		
040A30201	福島工務チーム	租税公課	0.0	0.0		
040A30201	福島工務チーム	業務委託費	0.0	0.0		
040A30201	福島工務チーム	業務受託収入	0.0	0.0		
040A30201	福島工務チーム	システム管理料	0.0	0.0		
040A30201	福島工務チーム	情報機器利用料	0.0	0.0		
040A30201	福島工務チーム	貸倒金	0.0	0.0		
040A30201	福島工務チーム	雑費	0.0	0.0		
040A30201	福島工務チーム	福利消耗品費	0.0	0.0		
040A30201	福島工務チーム	教育研修費	0.0	0.0		
040A30201	福島工務チーム	廃棄損・減耗損	0.0	0.0		
040A30201	福島工務チーム	雑給	0.0	0.0		
040A30201	福島工務チーム	社内金利（固定資産）	0.0	0.0		
040A30201	福島工務チーム	社内金利（売掛金）	0.0	0.0		
040A30201	福島工務チーム	社内金利（在庫）	0.0	0.0		
040A30201	福島工務チーム	営業口銭①（新築）	0.0	2500000.0	0.0	0.0
040A30201	福島工務チーム	営業口銭②（リフォ）	5128050.0	4500000.0	113.9	455.2
040A30201	福島工務チーム	開発口銭	0.0	0.0		
040A30201	福島工務チーム	部門共通（経費）	2101984.0	2090057.0	100.5	120.9
040A30201	福島工務チーム	グループ共通	0.0	0.0		
040A30201	福島工務チーム	差引収益	-627567.0	4009943.0		
040A30201	福島工務チーム	差引比率	-1.8	5.3		
040A30201	福島工務チーム	総時間	2130.75	2132.0	99.9	114.9
040A30201	福島工務チーム	定時間	0.0	0.0		
040A30201	福島工務チーム	残業時間	0.0	0.0		
040A30201	福島工務チーム	移動時間	1080.0	1080.0	100.0	100.0
040A30201	福島工務チーム	部門共通（時間）	1050.75	1052.0	99.8	135.7
040A30201	福島工務チーム	当月時間当り	-294.5	1880.8		
040A30201	福島工務チーム	人員	0.0	0.0		
