組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H61210	管理課	総受注高	0.0	0.0		
230H61210	管理課	【新築】受注高	0.0	0.0		
230H61210	管理課	【リフォ】受注高	0.0	0.0		
230H61210	管理課	【資材】受注高	0.0	0.0		
230H61210	管理課	総売上高	0.0	0.0		
230H61210	管理課	【新築】売上高	0.0	0.0		
230H61210	管理課	【リフォ】売上高	0.0	0.0		
230H61210	管理課	【資材】売上高	0.0	0.0		
230H61210	管理課	【新築】インセンティブ	0.0	0.0		
230H61210	管理課	【リフォ】インセンティブ	0.0	0.0		
230H61210	管理課	【資材】インセンティブ	0.0	0.0		
230H61210	管理課	収益①（営業口銭）	0.0	0.0		
230H61210	管理課	【新築】収益①(営業口銭)	0.0	0.0		
230H61210	管理課	【リフォ】収益①(営業口銭)	0.0	0.0		
230H61210	管理課	【資材】売上原価	0.0	0.0		
230H61210	管理課	収益②（資材）	0.0	0.0		
230H61210	管理課	総収益	0.0	0.0		
230H61210	管理課	経費合計	0.0	0.0		
230H61210	管理課	減価償却費	0.0	0.0		
230H61210	管理課	車両費	319644.0	304860.0	104.8	102.1
230H61210	管理課	旅費交通費	49270.0	50600.0	97.3	23.8
230H61210	管理課	荷造運搬費	823335.0	898395.0	91.6	93.6
230H61210	管理課	通信費	535656.0	535756.0	99.9	103.8
230H61210	管理課	水道光熱費	336807.0	343091.0	98.1	104.9
230H61210	管理課	動力費	0.0	0.0		
230H61210	管理課	事務用品費	38911.0	35184.0	110.5	65.3
230H61210	管理課	消耗品費	41635.0	46211.0	90.0	19.0
230H61210	管理課	廃棄物処理料	46723.0	50064.0	93.3	75.9
230H61210	管理課	広告宣伝費	0.0	0.0		
230H61210	管理課	接待交際費	0.0	0.0		
230H61210	管理課	研究開発費	0.0	0.0		
230H61210	管理課	アフターサービス費	0.0	0.0		
230H61210	管理課	クレーム費	0.0	0.0		
230H61210	管理課	賃借料	5981280.0	5981280.0	100.0	107.4
230H61210	管理課	賃貸料収入	0.0	0.0		
230H61210	管理課	修繕費	6025.0	6025.0	100.0	
230H61210	管理課	支払リース料	10838.0	10618.0	102.0	97.9
230H61210	管理課	保険料	0.0	0.0		
230H61210	管理課	支払報酬	600000.0	600000.0	100.0	100.0
230H61210	管理課	販売手数料	0.0	0.0		
230H61210	管理課	支払手数料	42164.0	44804.0	94.1	115.8
230H61210	管理課	診断料	0.0	0.0		
230H61210	管理課	諸会費	500.0	500.0	100.0	100.0
230H61210	管理課	会議費	0.0	0.0		
230H61210	管理課	寄付金	0.0	0.0		
230H61210	管理課	租税公課	32000.0	32000.0	100.0	42.1
230H61210	管理課	業務委託費	0.0	0.0		
230H61210	管理課	業務受託収入	0.0	0.0		
230H61210	管理課	システム管理料	0.0	0.0		
230H61210	管理課	情報機器利用料	5104340.0	4853740.0	105.1	91.1
230H61210	管理課	貸倒金	0.0	0.0		
230H61210	管理課	雑費	14794.0	13596.0	108.8	42.2
230H61210	管理課	福利消耗品費	14243.0	28590.0	49.8	62.8
230H61210	管理課	教育研修費	14640.0	14640.0	100.0	90.2
230H61210	管理課	廃棄損・減耗損	0.0	0.0		
230H61210	管理課	雑給	0.0	0.0		
230H61210	管理課	社内金利（固定資産）	0.0	0.0		
230H61210	管理課	社内金利（売掛金）	0.0	0.0		
230H61210	管理課	社内金利（在庫）	0.0	0.0		
230H61210	管理課	開発口銭	0.0	0.0		
230H61210	管理課	部門共通（経費）	-16079205.0	-15916354.0		
230H61210	管理課	グループ共通	2066400.0	2066400.0	100.0	100.5
230H61210	管理課	差引収益	0.0	0.0		
230H61210	管理課	差引比率	0.0	0.0		
230H61210	管理課	総時間	0.0	0.0		
230H61210	管理課	定時間	13537.5	13581.0	99.6	97.9
230H61210	管理課	残業時間	1586.75	1323.0	119.9	139.6
230H61210	管理課	移動時間	-1820.5	-1686.0		
230H61210	管理課	部門共通（時間）	-13303.75	-13218.0		
230H61210	管理課	当月時間当り	0.0	0.0		
230H61210	管理課	人員	8.0	8.0	100.0	100.0
