組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
003060100	経営本部	総受注高	0.0	0.0		
003060100	経営本部	【新築】受注高	0.0	0.0		
003060100	経営本部	【リフォ】受注高	0.0	0.0		
003060100	経営本部	【資材】受注高	0.0	0.0		
003060100	経営本部	総売上高	0.0	0.0		
003060100	経営本部	【新築】売上高	0.0	0.0		
003060100	経営本部	【リフォ】売上高	0.0	0.0		
003060100	経営本部	【資材】売上高	0.0	0.0		
003060100	経営本部	【新築】インセンティブ	0.0	0.0		
003060100	経営本部	【リフォ】インセンティブ	0.0	0.0		
003060100	経営本部	【資材】インセンティブ	0.0	0.0		
003060100	経営本部	収益①（営業口銭）	0.0	0.0		
003060100	経営本部	【新築】収益①(営業口銭)	0.0	0.0		
003060100	経営本部	【リフォ】収益①(営業口銭)	0.0	0.0		
003060100	経営本部	【資材】売上原価	0.0	0.0		
003060100	経営本部	収益②（資材）	0.0	0.0		
003060100	経営本部	総収益	0.0	0.0		
003060100	経営本部	経費合計	0.0	0.0		
003060100	経営本部	減価償却費	25452.0	0.0		
003060100	経営本部	車両費	910891.0	907890.0	100.3	23.9
003060100	経営本部	旅費交通費	8890971.0	8838600.0	100.5	193.1
003060100	経営本部	荷造運搬費	915200.0	1006395.0	90.9	2.7
003060100	経営本部	通信費	1026880.0	1021341.0	100.5	89.0
003060100	経営本部	水道光熱費	1110591.0	1132338.0	98.0	91.8
003060100	経営本部	動力費	0.0	0.0		
003060100	経営本部	事務用品費	198879.0	220876.0	90.0	62.6
003060100	経営本部	消耗品費	187872.0	189644.0	99.0	12.7
003060100	経営本部	廃棄物処理料	133980.0	145731.0	91.9	18.9
003060100	経営本部	広告宣伝費	20004087.0	19488000.0	102.6	142.3
003060100	経営本部	接待交際費	549551.0	597000.0	92.0	79.9
003060100	経営本部	研究開発費	0.0	0.0		
003060100	経営本部	アフターサービス費	0.0	0.0		
003060100	経営本部	クレーム費	300000.0	360000.0	83.3	75.4
003060100	経営本部	賃借料	19655280.0	19655280.0	100.0	101.0
003060100	経営本部	賃貸料収入	0.0	0.0		
003060100	経営本部	修繕費	19799.0	19799.0	100.0	
003060100	経営本部	支払リース料	38616.0	38270.0	100.9	30.5
003060100	経営本部	保険料	216790.0	216790.0	100.0	111.4
003060100	経営本部	支払報酬	2536364.0	2400000.0	105.6	88.2
003060100	経営本部	販売手数料	0.0	0.0		
003060100	経営本部	支払手数料	1667349.0	2270321.0	73.4	73.7
003060100	経営本部	診断料	2617650.0	2040000.0	128.3	134.9
003060100	経営本部	諸会費	500.0	500.0	100.0	2.3
003060100	経営本部	会議費	0.0	0.0		
003060100	経営本部	寄付金	0.0	0.0		
003060100	経営本部	租税公課	36000.0	40000.0	90.0	40.5
003060100	経営本部	業務委託費	1200000.0	1200000.0	100.0	100.0
003060100	経営本部	業務受託収入	0.0	0.0		
003060100	経営本部	システム管理料	0.0	0.0		
003060100	経営本部	情報機器利用料	18305792.0	17970684.0	101.8	106.9
003060100	経営本部	貸倒金	0.0	0.0		
003060100	経営本部	雑費	1866418.0	2038068.0	91.5	139.0
003060100	経営本部	福利消耗品費	52589.0	116238.0	45.2	21.0
003060100	経営本部	教育研修費	1777912.0	1987436.0	89.4	77.2
003060100	経営本部	廃棄損・減耗損	0.0	0.0		0.0
003060100	経営本部	雑給	0.0	0.0		
003060100	経営本部	社内金利（固定資産）	1878.0	0.0		
003060100	経営本部	社内金利（売掛金）	0.0	0.0		
003060100	経営本部	社内金利（在庫）	0.0	0.0		
003060100	経営本部	開発口銭	0.0	0.0		
003060100	経営本部	部門共通（経費）	-91137691.0	-90791601.0		
003060100	経営本部	グループ共通	6890400.0	6890400.0	100.0	90.1
003060100	経営本部	差引収益	0.0	0.0		
003060100	経営本部	差引比率	0.0	0.0		
003060100	経営本部	総時間	0.0	0.0		
003060100	経営本部	定時間	43469.25	43655.0	99.5	85.4
003060100	経営本部	残業時間	4732.5	4397.0	107.6	99.8
003060100	経営本部	移動時間	-311.0	-65.0		
003060100	経営本部	部門共通（時間）	-47890.75	-47987.0		
003060100	経営本部	当月時間当り	0.0	0.0		
003060100	経営本部	人員	24.0	24.0	100.0	82.7
