組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230Q10300	西三河営業課	総受注高	799541421.0	840000000.0	95.1	99.9
230Q10300	西三河営業課	【新築】受注高	160218000.0	130000000.0	123.2	133.9
230Q10300	西三河営業課	【リフォ】受注高	185957185.0	280000000.0	66.4	69.2
230Q10300	西三河営業課	【資材】受注高	453366236.0	430000000.0	105.4	109.9
230Q10300	西三河営業課	総売上高	736482056.0	840000000.0	87.6	90.7
230Q10300	西三河営業課	【新築】売上高	105853000.0	130000000.0	81.4	87.0
230Q10300	西三河営業課	【リフォ】売上高	207189408.0	280000000.0	73.9	78.7
230Q10300	西三河営業課	【資材】売上高	423439648.0	430000000.0	98.4	99.3
230Q10300	西三河営業課	【新築】インセンティブ	0.0	0.0		
230Q10300	西三河営業課	【リフォ】インセンティブ	0.0	0.0		
230Q10300	西三河営業課	【資材】インセンティブ	0.0	0.0		
230Q10300	西三河営業課	収益①（営業口銭）	36371059.0	48500000.0	74.9	79.8
230Q10300	西三河営業課	【新築】収益①(営業口銭)	5292650.0	6500000.0	81.4	87.0
230Q10300	西三河営業課	【リフォ】収益①(営業口銭)	31078409.0	42000000.0	73.9	78.7
230Q10300	西三河営業課	【資材】売上原価	315530001.0	320000000.0	98.6	97.8
230Q10300	西三河営業課	収益②（資材）	107909647.0	110000000.0	98.0	103.7
230Q10300	西三河営業課	総収益	144280706.0	158500000.0	91.0	96.4
230Q10300	西三河営業課	総出荷	313042408.0	410000000.0	76.3	81.3
230Q10300	西三河営業課	社外売	313042408.0	410000000.0	76.3	81.3
230Q10300	西三河営業課	社内売	0.0	0.0		
230Q10300	西三河営業課	社内仕入	43320161.0	41110000.0	105.3	86.7
230Q10300	西三河営業課	仕掛1	0.0	0.0		
230Q10300	西三河営業課	総生産	269722247.0	368890000.0	73.1	80.4
230Q10300	西三河営業課	経費合計	299647142.0	385464293.0	77.7	85.2
230Q10300	西三河営業課	経費合計(原価)	195883760.0	268890000.0	72.8	80.4
230Q10300	西三河営業課	仕掛2	0.0	0.0		0.0
230Q10300	西三河営業課	商品仕入高	105655744.0	103400000.0	102.1	115.3
230Q10300	西三河営業課	原材料費	0.0	0.0		
230Q10300	西三河営業課	外注加工費	87166590.0	159190000.0	54.7	57.5
230Q10300	西三河営業課	その他 直接経費	3061426.0	6300000.0	48.5	
230Q10300	西三河営業課	他勘定振替高	0.0	0.0		
230Q10300	西三河営業課	経費合計（販管費）	103763382.0	116574293.0	89.0	95.7
230Q10300	西三河営業課	減価償却費	537035.0	532841.0	100.7	97.3
230Q10300	西三河営業課	車両費	10659856.0	10823494.0	98.4	102.3
230Q10300	西三河営業課	旅費交通費	762657.0	700000.0	108.9	90.9
230Q10300	西三河営業課	荷造運搬費	225615.0	202100.0	111.6	84.6
230Q10300	西三河営業課	通信費	1059923.0	1049724.0	100.9	101.1
230Q10300	西三河営業課	水道光熱費	1083099.0	1090100.0	99.3	108.2
230Q10300	西三河営業課	動力費	0.0	0.0		
230Q10300	西三河営業課	事務用品費	412661.0	426100.0	96.8	99.9
230Q10300	西三河営業課	消耗品費	328131.0	384190.0	85.4	123.3
230Q10300	西三河営業課	廃棄物処理料	1259871.0	1265700.0	99.5	116.5
230Q10300	西三河営業課	広告宣伝費	67000.0	67000.0	100.0	90.6
230Q10300	西三河営業課	接待交際費	223200.0	180000.0	124.0	204.1
230Q10300	西三河営業課	研究開発費	0.0	0.0		
230Q10300	西三河営業課	アフターサービス費	0.0	0.0		
230Q10300	西三河営業課	クレーム費	1800000.0	2000000.0	90.0	49.9
230Q10300	西三河営業課	賃借料	5293710.0	5293710.0	100.0	100.0
230Q10300	西三河営業課	賃貸料収入	0.0	0.0		
230Q10300	西三河営業課	修繕費	2600000.0	2844000.0	91.4	520.0
230Q10300	西三河営業課	支払リース料	95402.0	94320.0	101.1	94.6
230Q10300	西三河営業課	保険料	24528.0	24528.0	100.0	97.1
230Q10300	西三河営業課	支払報酬	72727.0	72727.0	100.0	98.0
230Q10300	西三河営業課	販売手数料	0.0	0.0		
230Q10300	西三河営業課	支払手数料	556130.0	551200.0	100.8	97.9
230Q10300	西三河営業課	診断料	0.0	0.0		
230Q10300	西三河営業課	諸会費	91190.0	80340.0	113.5	152.6
230Q10300	西三河営業課	会議費	0.0	0.0		
230Q10300	西三河営業課	寄付金	13000.0	13000.0	100.0	100.0
230Q10300	西三河営業課	租税公課	259075.0	255400.0	101.4	107.8
230Q10300	西三河営業課	業務委託費	0.0	0.0		
230Q10300	西三河営業課	業務受託収入	0.0	0.0		
230Q10300	西三河営業課	システム管理料	0.0	0.0		
230Q10300	西三河営業課	情報機器利用料	9107568.0	9178560.0	99.2	100.0
230Q10300	西三河営業課	貸倒金	0.0	0.0		
230Q10300	西三河営業課	雑費	149853.0	166500.0	90.0	60.1
230Q10300	西三河営業課	福利消耗品費	22841.0	159455.0	14.3	8.2
230Q10300	西三河営業課	教育研修費	151228.0	213800.0	70.7	66.2
230Q10300	西三河営業課	廃棄損・減耗損	0.0	0.0		0.0
230Q10300	西三河営業課	雑給	0.0	0.0		
230Q10300	西三河営業課	社内金利（固定資産）	489007.0	461496.0	105.9	105.9
230Q10300	西三河営業課	社内金利（売掛金）	227253.0	211000.0	107.7	111.4
230Q10300	西三河営業課	社内金利（在庫）	407563.0	361541.0	112.7	148.9
230Q10300	西三河営業課	営業口銭①（新築）	5292650.0	6500000.0	81.4	87.0
230Q10300	西三河営業課	営業口銭②（リフォ）	31078409.0	42000000.0	73.9	78.7
230Q10300	西三河営業課	開発口銭	0.0	0.0		
230Q10300	西三河営業課	部門共通（経費）	24891800.0	24851067.0	100.1	120.2
230Q10300	西三河営業課	グループ共通	4520400.0	4520400.0	100.0	96.2
230Q10300	西三河営業課	差引収益	114355811.0	141925707.0	80.5	85.7
230Q10300	西三河営業課	差引比率	11.3	11.7	96.5	97.4
230Q10300	西三河営業課	総時間	47440.75	47322.5	100.2	106.6
230Q10300	西三河営業課	定時間	28520.25	28768.0	99.1	101.9
230Q10300	西三河営業課	残業時間	3734.75	3309.0	112.8	124.0
230Q10300	西三河営業課	移動時間	742.0	742.0	100.0	260.1
230Q10300	西三河営業課	部門共通（時間）	14443.75	14503.5	99.5	109.4
230Q10300	西三河営業課	当月時間当り	2410.4	2999.1	80.3	80.3
230Q10300	西三河営業課	人員	15.0	15.0	100.0	93.7
