組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230B30200	設計課	総出荷	0.0	0.0		
230B30200	設計課	社外売	0.0	0.0		
230B30200	設計課	社内売	0.0	0.0		
230B30200	設計課	社内仕入	0.0	0.0		
230B30200	設計課	仕掛1	0.0	0.0		
230B30200	設計課	総生産	0.0	0.0		
230B30200	設計課	経費合計	0.0	0.0		
230B30200	設計課	経費合計(原価)	0.0	0.0		
230B30200	設計課	仕掛2	0.0	0.0		
230B30200	設計課	商品仕入高	0.0	0.0		
230B30200	設計課	原材料費	0.0	0.0		
230B30200	設計課	外注加工費	0.0	0.0		
230B30200	設計課	その他 直接経費	0.0	0.0		
230B30200	設計課	他勘定振替高	0.0	0.0		
230B30200	設計課	経費合計（販管費）	0.0	0.0		
230B30200	設計課	減価償却費	0.0	0.0		
230B30200	設計課	車両費	2124072.0	2132800.0	99.5	99.0
230B30200	設計課	旅費交通費	970063.0	1030000.0	94.1	174.0
230B30200	設計課	荷造運搬費	10000.0	12000.0	83.3	
230B30200	設計課	通信費	315004.0	315300.0	99.9	95.0
230B30200	設計課	水道光熱費	721290.0	735600.0	98.0	126.2
230B30200	設計課	動力費	0.0	0.0		
230B30200	設計課	事務用品費	86511.0	100700.0	85.9	127.3
230B30200	設計課	消耗品費	303822.0	279700.0	108.6	72.3
230B30200	設計課	廃棄物処理料	76952.0	105600.0	72.8	75.6
230B30200	設計課	広告宣伝費	5566.0	5700.0	97.6	129.1
230B30200	設計課	接待交際費	100000.0	120000.0	83.3	
230B30200	設計課	研究開発費	0.0	0.0		
230B30200	設計課	アフターサービス費	0.0	0.0		
230B30200	設計課	クレーム費	0.0	0.0		
230B30200	設計課	賃借料	6347416.0	5764800.0	110.1	98.9
230B30200	設計課	賃貸料収入	-1569000.0	-984000.0		
230B30200	設計課	修繕費	0.0	0.0		
230B30200	設計課	支払リース料	71148.0	71500.0	99.5	95.7
230B30200	設計課	保険料	5000.0	5000.0	100.0	42.7
230B30200	設計課	支払報酬	500000.0	500000.0	100.0	139.2
230B30200	設計課	販売手数料	0.0	0.0		
230B30200	設計課	支払手数料	1043697.0	1034600.0	100.8	126.5
230B30200	設計課	診断料	0.0	0.0		
230B30200	設計課	諸会費	19240.0	19400.0	99.1	113.9
230B30200	設計課	会議費	0.0	0.0		
230B30200	設計課	寄付金	0.0	0.0		
230B30200	設計課	租税公課	0.0	0.0		
230B30200	設計課	業務委託費	3087600.0	3087600.0	100.0	137.9
230B30200	設計課	業務受託収入	0.0	0.0		
230B30200	設計課	システム管理料	0.0	0.0		
230B30200	設計課	情報機器利用料	8171120.0	8187600.0	99.7	105.9
230B30200	設計課	貸倒金	0.0	0.0		
230B30200	設計課	雑費	36856.0	35100.0	105.0	91.5
230B30200	設計課	福利消耗品費	68144.0	168800.0	40.3	68.1
230B30200	設計課	教育研修費	34291.0	34600.0	99.1	42.7
230B30200	設計課	廃棄損・減耗損	0.0	0.0		
230B30200	設計課	雑給	0.0	0.0		
230B30200	設計課	社内金利（固定資産）	0.0	0.0		
230B30200	設計課	社内金利（売掛金）	0.0	0.0		
230B30200	設計課	社内金利（在庫）	0.0	0.0		
230B30200	設計課	営業口銭①（新築）	0.0	0.0		
230B30200	設計課	営業口銭②（リフォ）	0.0	0.0		
230B30200	設計課	開発口銭	0.0	0.0		
230B30200	設計課	部門共通（経費）	-26451592.0	-26685200.0		
230B30200	設計課	グループ共通	3922800.0	3922800.0	100.0	111.1
230B30200	設計課	差引収益	0.0	0.0		
230B30200	設計課	差引比率	0.0	0.0		
230B30200	設計課	総時間	0.0	0.0		
230B30200	設計課	定時間	24462.0	24416.0	100.1	112.4
230B30200	設計課	残業時間	2276.75	2365.0	96.2	94.3
230B30200	設計課	移動時間	215.0	225.0	95.5	95.5
230B30200	設計課	部門共通（時間）	-26953.75	-27006.0		
230B30200	設計課	当月時間当り	0.0	0.0		
230B30200	設計課	人員	13.0	13.0	100.0	108.3
