組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230P10300	豊川営業チーム	総受注高	866011965.0	960000000.0	90.2	100.2
230P10300	豊川営業チーム	【新築】受注高	98448000.0	150000000.0	65.6	74.6
230P10300	豊川営業チーム	【リフォ】受注高	249739988.0	300000000.0	83.2	97.8
230P10300	豊川営業チーム	【資材】受注高	517823977.0	510000000.0	101.5	108.6
230P10300	豊川営業チーム	総売上高	864948134.0	960000000.0	90.0	97.4
230P10300	豊川営業チーム	【新築】売上高	73728000.0	150000000.0	49.1	49.9
230P10300	豊川営業チーム	【リフォ】売上高	276181585.0	300000000.0	92.0	103.5
230P10300	豊川営業チーム	【資材】売上高	515038549.0	510000000.0	100.9	108.7
230P10300	豊川営業チーム	【新築】インセンティブ	0.0	0.0		
230P10300	豊川営業チーム	【リフォ】インセンティブ	0.0	0.0		
230P10300	豊川営業チーム	【資材】インセンティブ	0.0	0.0		
230P10300	豊川営業チーム	収益①（営業口銭）	45211633.0	52500000.0	86.1	95.4
230P10300	豊川営業チーム	【新築】収益①(営業口銭)	3784400.0	7500000.0	50.4	51.2
230P10300	豊川営業チーム	【リフォ】収益①(営業口銭)	41427233.0	45000000.0	92.0	103.6
230P10300	豊川営業チーム	【資材】売上原価	389079173.0	387000000.0	100.5	107.5
230P10300	豊川営業チーム	収益②（資材）	125959376.0	123000000.0	102.4	112.7
230P10300	豊川営業チーム	総収益	171171009.0	175500000.0	97.5	107.5
230P10300	豊川営業チーム	経費合計	56898033.0	56884184.0	100.0	106.9
230P10300	豊川営業チーム	減価償却費	29505.0	29505.0	100.0	100.0
230P10300	豊川営業チーム	車両費	5249293.0	5289000.0	99.2	105.0
230P10300	豊川営業チーム	旅費交通費	10000.0	0.0		12.4
230P10300	豊川営業チーム	荷造運搬費	54335.0	60000.0	90.5	64.3
230P10300	豊川営業チーム	通信費	1097118.0	1117000.0	98.2	108.1
230P10300	豊川営業チーム	水道光熱費	1066101.0	1080000.0	98.7	102.4
230P10300	豊川営業チーム	動力費	0.0	0.0		
230P10300	豊川営業チーム	事務用品費	407818.0	420000.0	97.0	101.3
230P10300	豊川営業チーム	消耗品費	258074.0	240000.0	107.5	108.9
230P10300	豊川営業チーム	廃棄物処理料	52004.0	120000.0	43.3	
230P10300	豊川営業チーム	広告宣伝費	1521194.0	1520000.0	100.0	98.8
230P10300	豊川営業チーム	接待交際費	137250.0	140000.0	98.0	90.5
230P10300	豊川営業チーム	研究開発費	0.0	0.0		
230P10300	豊川営業チーム	アフターサービス費	0.0	0.0		
230P10300	豊川営業チーム	クレーム費	1300000.0	1300000.0	100.0	383.7
230P10300	豊川営業チーム	賃借料	7099716.0	7099716.0	100.0	101.2
230P10300	豊川営業チーム	賃貸料収入	0.0	0.0		
230P10300	豊川営業チーム	修繕費	0.0	0.0		
230P10300	豊川営業チーム	支払リース料	84000.0	84000.0	100.0	100.0
230P10300	豊川営業チーム	保険料	98822.0	56412.0	175.1	201.8
230P10300	豊川営業チーム	支払報酬	0.0	0.0		
230P10300	豊川営業チーム	販売手数料	0.0	0.0		
230P10300	豊川営業チーム	支払手数料	3734770.0	3700000.0	100.9	105.2
230P10300	豊川営業チーム	診断料	0.0	0.0		
230P10300	豊川営業チーム	諸会費	64600.0	64100.0	100.7	198.1
230P10300	豊川営業チーム	会議費	0.0	0.0		0.0
230P10300	豊川営業チーム	寄付金	12910.0	14000.0	92.2	41.6
230P10300	豊川営業チーム	租税公課	227901.0	240000.0	94.9	105.8
230P10300	豊川営業チーム	業務委託費	0.0	0.0		
230P10300	豊川営業チーム	業務受託収入	0.0	0.0		
230P10300	豊川営業チーム	システム管理料	0.0	0.0		
230P10300	豊川営業チーム	情報機器利用料	8966330.0	8969990.0	99.9	98.5
230P10300	豊川営業チーム	貸倒金	0.0	0.0		
230P10300	豊川営業チーム	雑費	145866.0	155000.0	94.1	131.5
230P10300	豊川営業チーム	福利消耗品費	68301.0	70000.0	97.5	28.3
230P10300	豊川営業チーム	教育研修費	310413.0	279000.0	111.2	77.0
230P10300	豊川営業チーム	廃棄損・減耗損	46330.0	40000.0	115.8	28.0
230P10300	豊川営業チーム	雑給	0.0	0.0		
230P10300	豊川営業チーム	社内金利（固定資産）	806.0	806.0	100.0	31.2
230P10300	豊川営業チーム	社内金利（売掛金）	438632.0	442000.0	99.2	95.7
230P10300	豊川営業チーム	社内金利（在庫）	992568.0	953000.0	104.1	106.1
230P10300	豊川営業チーム	開発口銭	0.0	0.0		
230P10300	豊川営業チーム	部門共通（経費）	19196976.0	19174255.0	100.1	115.1
230P10300	豊川営業チーム	グループ共通	4226400.0	4226400.0	100.0	95.8
230P10300	豊川営業チーム	差引収益	114272976.0	118615816.0	96.3	107.8
230P10300	豊川営業チーム	差引比率	13.2	12.3	107.3	110.9
230P10300	豊川営業チーム	総時間	39468.5	40000.25	98.6	96.0
230P10300	豊川営業チーム	定時間	23717.5	24146.0	98.2	95.3
230P10300	豊川営業チーム	残業時間	3202.0	3200.0	100.0	95.9
230P10300	豊川営業チーム	移動時間	704.5	726.0	97.0	66.6
230P10300	豊川営業チーム	部門共通（時間）	11844.5	11928.25	99.2	99.9
230P10300	豊川営業チーム	当月時間当り	2895.2	2965.3	97.6	112.3
230P10300	豊川営業チーム	人員	13.0	13.0	100.0	92.8
