組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230K10100	豊橋営業チーム	総受注高	826508684.0	960000000.0	86.0	88.9
230K10100	豊橋営業チーム	【新築】受注高	80457000.0	50000000.0	160.9	166.2
230K10100	豊橋営業チーム	【リフォ】受注高	200924775.0	360000000.0	55.8	55.2
230K10100	豊橋営業チーム	【資材】受注高	545126909.0	550000000.0	99.1	105.4
230K10100	豊橋営業チーム	総売上高	925793538.0	960000000.0	96.4	99.9
230K10100	豊橋営業チーム	【新築】売上高	82373000.0	50000000.0	164.7	149.6
230K10100	豊橋営業チーム	【リフォ】売上高	289658913.0	360000000.0	80.4	80.5
230K10100	豊橋営業チーム	【資材】売上高	553761625.0	550000000.0	100.6	108.2
230K10100	豊橋営業チーム	【新築】インセンティブ	0.0	0.0		
230K10100	豊橋営業チーム	【リフォ】インセンティブ	0.0	0.0		
230K10100	豊橋営業チーム	【資材】インセンティブ	0.0	0.0		
230K10100	豊橋営業チーム	収益①（営業口銭）	47567479.0	56500000.0	84.1	83.8
230K10100	豊橋営業チーム	【新築】収益①(営業口銭)	4118650.0	2500000.0	164.7	149.6
230K10100	豊橋営業チーム	【リフォ】収益①(営業口銭)	43448829.0	54000000.0	80.4	80.5
230K10100	豊橋営業チーム	【資材】売上原価	429980813.0	429000000.0	100.2	107.2
230K10100	豊橋営業チーム	収益②（資材）	123780812.0	121000000.0	102.2	112.1
230K10100	豊橋営業チーム	総収益	171348291.0	177500000.0	96.5	102.5
230K10100	豊橋営業チーム	経費合計	61620699.0	60954048.0	101.0	113.8
230K10100	豊橋営業チーム	減価償却費	657281.0	657000.0	100.0	97.4
230K10100	豊橋営業チーム	車両費	6715713.0	6598000.0	101.7	131.5
230K10100	豊橋営業チーム	旅費交通費	18636.0	0.0		83.2
230K10100	豊橋営業チーム	荷造運搬費	0.0	0.0		0.0
230K10100	豊橋営業チーム	通信費	1015406.0	1032000.0	98.3	104.4
230K10100	豊橋営業チーム	水道光熱費	943024.0	995000.0	94.7	120.9
230K10100	豊橋営業チーム	動力費	0.0	0.0		
230K10100	豊橋営業チーム	事務用品費	426650.0	429000.0	99.4	111.3
230K10100	豊橋営業チーム	消耗品費	376033.0	243000.0	154.7	172.6
230K10100	豊橋営業チーム	廃棄物処理料	132459.0	132000.0	100.3	101.6
230K10100	豊橋営業チーム	広告宣伝費	2826591.0	2839000.0	99.5	106.5
230K10100	豊橋営業チーム	接待交際費	264091.0	275000.0	96.0	190.4
230K10100	豊橋営業チーム	研究開発費	0.0	0.0		
230K10100	豊橋営業チーム	アフターサービス費	0.0	0.0		
230K10100	豊橋営業チーム	クレーム費	1300000.0	1300000.0	100.0	70.0
230K10100	豊橋営業チーム	賃借料	10533600.0	10533600.0	100.0	123.2
230K10100	豊橋営業チーム	賃貸料収入	0.0	0.0		
230K10100	豊橋営業チーム	修繕費	0.0	0.0		0.0
230K10100	豊橋営業チーム	支払リース料	198018.0	216000.0	91.6	197.8
230K10100	豊橋営業チーム	保険料	50628.0	48000.0	105.4	97.1
230K10100	豊橋営業チーム	支払報酬	0.0	0.0		
230K10100	豊橋営業チーム	販売手数料	0.0	0.0		
230K10100	豊橋営業チーム	支払手数料	1087797.0	986000.0	110.3	126.5
230K10100	豊橋営業チーム	診断料	0.0	0.0		
230K10100	豊橋営業チーム	諸会費	27000.0	27000.0	100.0	105.8
230K10100	豊橋営業チーム	会議費	0.0	0.0		0.0
230K10100	豊橋営業チーム	寄付金	53000.0	53000.0	100.0	76.2
230K10100	豊橋営業チーム	租税公課	203500.0	175000.0	116.2	142.3
230K10100	豊橋営業チーム	業務委託費	0.0	0.0		
230K10100	豊橋営業チーム	業務受託収入	0.0	0.0		
230K10100	豊橋営業チーム	システム管理料	0.0	0.0		
230K10100	豊橋営業チーム	情報機器利用料	8873970.0	8776800.0	101.1	108.0
230K10100	豊橋営業チーム	貸倒金	0.0	0.0		
230K10100	豊橋営業チーム	雑費	374224.0	363000.0	103.0	108.8
230K10100	豊橋営業チーム	福利消耗品費	89644.0	103000.0	87.0	46.8
230K10100	豊橋営業チーム	教育研修費	258198.0	298000.0	86.6	124.8
230K10100	豊橋営業チーム	廃棄損・減耗損	239964.0	0.0		321.2
230K10100	豊橋営業チーム	雑給	0.0	0.0		
230K10100	豊橋営業チーム	社内金利（固定資産）	204644.0	203197.0	100.7	94.0
230K10100	豊橋営業チーム	社内金利（売掛金）	291973.0	316500.0	92.2	58.4
230K10100	豊橋営業チーム	社内金利（在庫）	922675.0	844000.0	109.3	114.2
230K10100	豊橋営業チーム	開発口銭	0.0	0.0		
230K10100	豊橋営業チーム	部門共通（経費）	19309580.0	19284551.0	100.1	122.2
230K10100	豊橋営業チーム	グループ共通	4226400.0	4226400.0	100.0	119.7
230K10100	豊橋営業チーム	差引収益	109727592.0	116545952.0	94.1	97.1
230K10100	豊橋営業チーム	差引比率	11.8	12.1	97.5	97.5
230K10100	豊橋営業チーム	総時間	38650.0	35919.25	107.6	111.5
230K10100	豊橋営業チーム	定時間	24558.0	22141.0	110.9	112.2
230K10100	豊橋営業チーム	残業時間	3172.5	3141.25	100.9	98.8
230K10100	豊橋営業チーム	移動時間	-1001.0	-1366.0		
230K10100	豊橋営業チーム	部門共通（時間）	11920.5	12003.0	99.3	106.9
230K10100	豊橋営業チーム	当月時間当り	2839.0	3244.6	87.4	87.0
230K10100	豊橋営業チーム	人員	13.0	13.0	100.0	108.3
