組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230K10200	豊橋営業課	総受注高	826508684.0	960000000.0	86.0	88.9
230K10200	豊橋営業課	【新築】受注高	80457000.0	50000000.0	160.9	166.2
230K10200	豊橋営業課	【リフォ】受注高	200924775.0	360000000.0	55.8	55.2
230K10200	豊橋営業課	【資材】受注高	545126909.0	550000000.0	99.1	105.4
230K10200	豊橋営業課	総売上高	925793538.0	960000000.0	96.4	99.9
230K10200	豊橋営業課	【新築】売上高	82373000.0	50000000.0	164.7	149.6
230K10200	豊橋営業課	【リフォ】売上高	289658913.0	360000000.0	80.4	80.5
230K10200	豊橋営業課	【資材】売上高	553761625.0	550000000.0	100.6	108.2
230K10200	豊橋営業課	【新築】インセンティブ	0.0	0.0		
230K10200	豊橋営業課	【リフォ】インセンティブ	0.0	0.0		
230K10200	豊橋営業課	【資材】インセンティブ	0.0	0.0		
230K10200	豊橋営業課	収益①（営業口銭）	47567479.0	56500000.0	84.1	83.8
230K10200	豊橋営業課	【新築】収益①(営業口銭)	4118650.0	2500000.0	164.7	149.6
230K10200	豊橋営業課	【リフォ】収益①(営業口銭)	43448829.0	54000000.0	80.4	80.5
230K10200	豊橋営業課	【資材】売上原価	429980813.0	429000000.0	100.2	107.2
230K10200	豊橋営業課	収益②（資材）	123780812.0	121000000.0	102.2	112.1
230K10200	豊橋営業課	総収益	171348291.0	177500000.0	96.5	102.5
230K10200	豊橋営業課	総出荷	372031913.0	410000000.0	90.7	89.7
230K10200	豊橋営業課	社外売	372031913.0	410000000.0	90.7	89.7
230K10200	豊橋営業課	社内売	0.0	0.0		
230K10200	豊橋営業課	社内仕入	49878900.0	39300000.0	126.9	84.9
230K10200	豊橋営業課	仕掛1	0.0	0.0		0.0
230K10200	豊橋営業課	総生産	322153013.0	370700000.0	86.9	90.5
230K10200	豊橋営業課	経費合計	369506028.0	399547068.0	92.4	97.6
230K10200	豊橋営業課	経費合計(原価)	243978601.0	265700000.0	91.8	97.2
230K10200	豊橋営業課	仕掛2	0.0	0.0		
230K10200	豊橋営業課	商品仕入高	135120566.0	146051000.0	92.5	111.4
230K10200	豊橋営業課	原材料費	0.0	0.0		
230K10200	豊橋営業課	外注加工費	106951835.0	117599000.0	90.9	76.6
230K10200	豊橋営業課	その他 直接経費	1906200.0	2050000.0	92.9	
230K10200	豊橋営業課	他勘定振替高	0.0	0.0		
230K10200	豊橋営業課	経費合計（販管費）	125527427.0	133847068.0	93.7	98.3
230K10200	豊橋営業課	減価償却費	657281.0	657000.0	100.0	97.4
230K10200	豊橋営業課	車両費	9781682.0	9694000.0	100.9	119.1
230K10200	豊橋営業課	旅費交通費	18636.0	0.0		83.2
230K10200	豊橋営業課	荷造運搬費	0.0	0.0		0.0
230K10200	豊橋営業課	通信費	1147178.0	1164000.0	98.5	101.0
230K10200	豊橋営業課	水道光熱費	1165128.0	1230000.0	94.7	112.0
230K10200	豊橋営業課	動力費	0.0	0.0		
230K10200	豊橋営業課	事務用品費	493973.0	502000.0	98.4	114.7
230K10200	豊橋営業課	消耗品費	451065.0	323000.0	139.6	174.7
230K10200	豊橋営業課	廃棄物処理料	408349.0	372000.0	109.7	142.4
230K10200	豊橋営業課	広告宣伝費	2826591.0	2839000.0	99.5	106.5
230K10200	豊橋営業課	接待交際費	284091.0	295000.0	96.3	182.7
230K10200	豊橋営業課	研究開発費	0.0	0.0		
230K10200	豊橋営業課	アフターサービス費	0.0	0.0		
230K10200	豊橋営業課	クレーム費	1300000.0	1300000.0	100.0	70.0
230K10200	豊橋営業課	賃借料	13004000.0	13005600.0	99.9	114.0
230K10200	豊橋営業課	賃貸料収入	0.0	0.0		
230K10200	豊橋営業課	修繕費	0.0	0.0		0.0
230K10200	豊橋営業課	支払リース料	252522.0	276000.0	91.4	189.2
230K10200	豊橋営業課	保険料	60628.0	60000.0	101.0	116.3
230K10200	豊橋営業課	支払報酬	0.0	0.0		
230K10200	豊橋営業課	販売手数料	0.0	0.0		0.0
230K10200	豊橋営業課	支払手数料	1157120.0	1068000.0	108.3	125.7
230K10200	豊橋営業課	診断料	0.0	0.0		
230K10200	豊橋営業課	諸会費	27000.0	27000.0	100.0	103.8
230K10200	豊橋営業課	会議費	0.0	0.0		0.0
230K10200	豊橋営業課	寄付金	53000.0	53000.0	100.0	76.2
230K10200	豊橋営業課	租税公課	204500.0	176000.0	116.1	142.9
230K10200	豊橋営業課	業務委託費	0.0	0.0		
230K10200	豊橋営業課	業務受託収入	0.0	0.0		
230K10200	豊橋営業課	システム管理料	0.0	0.0		
230K10200	豊橋営業課	情報機器利用料	10850790.0	10756800.0	100.8	103.8
230K10200	豊橋営業課	貸倒金	0.0	0.0		
230K10200	豊橋営業課	雑費	413716.0	402000.0	102.9	106.5
230K10200	豊橋営業課	福利消耗品費	122544.0	127000.0	96.4	47.1
230K10200	豊橋営業課	教育研修費	468198.0	556000.0	84.2	226.3
230K10200	豊橋営業課	廃棄損・減耗損	239964.0	0.0		321.2
230K10200	豊橋営業課	雑給	0.0	0.0		
230K10200	豊橋営業課	社内金利（固定資産）	204644.0	203197.0	100.7	94.0
230K10200	豊橋営業課	社内金利（売掛金）	291973.0	316500.0	92.2	58.4
230K10200	豊橋営業課	社内金利（在庫）	922675.0	844000.0	109.3	114.2
230K10200	豊橋営業課	営業口銭①（新築）	4118650.0	2500000.0	164.7	149.6
230K10200	豊橋営業課	営業口銭②（リフォ）	43448829.0	54000000.0	80.4	80.5
230K10200	豊橋営業課	開発口銭	0.0	0.0		
230K10200	豊橋営業課	部門共通（経費）	26016700.0	25963971.0	100.2	118.5
230K10200	豊橋営業課	グループ共通	5136000.0	5136000.0	100.0	109.1
230K10200	豊橋営業課	差引収益	123995276.0	148652932.0	83.4	85.9
230K10200	豊橋営業課	差引比率	9.9	11.1	89.1	88.3
230K10200	豊橋営業課	総時間	47492.75	47294.0	100.4	103.8
230K10200	豊橋営業課	定時間	28659.75	28045.5	102.1	103.4
230K10200	豊橋営業課	残業時間	3598.25	3842.5	93.6	93.5
230K10200	豊橋営業課	移動時間	479.0	562.0	85.2	142.3
230K10200	豊橋営業課	部門共通（時間）	14755.75	14844.0	99.4	106.4
230K10200	豊橋営業課	当月時間当り	2610.8	3143.1	83.0	82.7
230K10200	豊橋営業課	人員	15.0	16.0	93.7	100.0
