組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230K30101	豊橋工務チーム	総出荷	372031913.0	410000000.0	90.7	89.7
230K30101	豊橋工務チーム	社外売	372031913.0	410000000.0	90.7	89.7
230K30101	豊橋工務チーム	社内売	0.0	0.0		
230K30101	豊橋工務チーム	社内仕入	49878900.0	39300000.0	126.9	84.9
230K30101	豊橋工務チーム	仕掛1	0.0	0.0		0.0
230K30101	豊橋工務チーム	総生産	322153013.0	370700000.0	86.9	90.5
230K30101	豊橋工務チーム	経費合計	307885329.0	338593020.0	90.9	94.9
230K30101	豊橋工務チーム	経費合計(原価)	243978601.0	265700000.0	91.8	97.2
230K30101	豊橋工務チーム	仕掛2	0.0	0.0		
230K30101	豊橋工務チーム	商品仕入高	135120566.0	146051000.0	92.5	111.4
230K30101	豊橋工務チーム	原材料費	0.0	0.0		
230K30101	豊橋工務チーム	外注加工費	106951835.0	117599000.0	90.9	76.6
230K30101	豊橋工務チーム	その他 直接経費	1906200.0	2050000.0	92.9	
230K30101	豊橋工務チーム	他勘定振替高	0.0	0.0		
230K30101	豊橋工務チーム	経費合計（販管費）	63906728.0	72893020.0	87.6	86.8
230K30101	豊橋工務チーム	減価償却費	0.0	0.0		
230K30101	豊橋工務チーム	車両費	3065969.0	3096000.0	99.0	98.6
230K30101	豊橋工務チーム	旅費交通費	0.0	0.0		
230K30101	豊橋工務チーム	荷造運搬費	0.0	0.0		
230K30101	豊橋工務チーム	通信費	131772.0	132000.0	99.8	80.9
230K30101	豊橋工務チーム	水道光熱費	222104.0	235000.0	94.5	85.4
230K30101	豊橋工務チーム	動力費	0.0	0.0		
230K30101	豊橋工務チーム	事務用品費	67323.0	73000.0	92.2	142.5
230K30101	豊橋工務チーム	消耗品費	75032.0	80000.0	93.7	185.9
230K30101	豊橋工務チーム	廃棄物処理料	275890.0	240000.0	114.9	176.3
230K30101	豊橋工務チーム	広告宣伝費	0.0	0.0		
230K30101	豊橋工務チーム	接待交際費	20000.0	20000.0	100.0	118.9
230K30101	豊橋工務チーム	研究開発費	0.0	0.0		
230K30101	豊橋工務チーム	アフターサービス費	0.0	0.0		
230K30101	豊橋工務チーム	クレーム費	0.0	0.0		
230K30101	豊橋工務チーム	賃借料	2470400.0	2472000.0	99.9	86.6
230K30101	豊橋工務チーム	賃貸料収入	0.0	0.0		
230K30101	豊橋工務チーム	修繕費	0.0	0.0		
230K30101	豊橋工務チーム	支払リース料	54504.0	60000.0	90.8	163.3
230K30101	豊橋工務チーム	保険料	10000.0	12000.0	83.3	
230K30101	豊橋工務チーム	支払報酬	0.0	0.0		
230K30101	豊橋工務チーム	販売手数料	0.0	0.0		0.0
230K30101	豊橋工務チーム	支払手数料	69323.0	82000.0	84.5	114.4
230K30101	豊橋工務チーム	診断料	0.0	0.0		
230K30101	豊橋工務チーム	諸会費	0.0	0.0		0.0
230K30101	豊橋工務チーム	会議費	0.0	0.0		
230K30101	豊橋工務チーム	寄付金	0.0	0.0		
230K30101	豊橋工務チーム	租税公課	1000.0	1000.0	100.0	549.4
230K30101	豊橋工務チーム	業務委託費	0.0	0.0		
230K30101	豊橋工務チーム	業務受託収入	0.0	0.0		
230K30101	豊橋工務チーム	システム管理料	0.0	0.0		
230K30101	豊橋工務チーム	情報機器利用料	1976820.0	1980000.0	99.8	88.3
230K30101	豊橋工務チーム	貸倒金	0.0	0.0		
230K30101	豊橋工務チーム	雑費	39492.0	39000.0	101.2	88.9
230K30101	豊橋工務チーム	福利消耗品費	32900.0	24000.0	137.0	48.0
230K30101	豊橋工務チーム	教育研修費	210000.0	258000.0	81.3	
230K30101	豊橋工務チーム	廃棄損・減耗損	0.0	0.0		
230K30101	豊橋工務チーム	雑給	0.0	0.0		
230K30101	豊橋工務チーム	社内金利（固定資産）	0.0	0.0		
230K30101	豊橋工務チーム	社内金利（売掛金）	0.0	0.0		
230K30101	豊橋工務チーム	社内金利（在庫）	0.0	0.0		
230K30101	豊橋工務チーム	営業口銭①（新築）	4118650.0	2500000.0	164.7	149.6
230K30101	豊橋工務チーム	営業口銭②（リフォ）	43448829.0	54000000.0	80.4	80.5
230K30101	豊橋工務チーム	開発口銭	0.0	0.0		
230K30101	豊橋工務チーム	部門共通（経費）	6707120.0	6679420.0	100.4	108.9
230K30101	豊橋工務チーム	グループ共通	909600.0	909600.0	100.0	77.3
230K30101	豊橋工務チーム	差引収益	14267684.0	32106980.0	44.4	45.5
230K30101	豊橋工務チーム	差引比率	4.4	8.6	51.1	50.0
230K30101	豊橋工務チーム	総時間	8842.75	11374.75	77.7	79.6
230K30101	豊橋工務チーム	定時間	4101.75	5904.5	69.4	70.5
230K30101	豊橋工務チーム	残業時間	425.75	701.25	60.7	66.8
230K30101	豊橋工務チーム	移動時間	1480.0	1928.0	76.7	76.4
230K30101	豊橋工務チーム	部門共通（時間）	2835.25	2841.0	99.7	104.3
230K30101	豊橋工務チーム	当月時間当り	1613.4	2822.6	57.1	57.2
230K30101	豊橋工務チーム	人員	2.0	3.0	66.6	66.6
