組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230B50100	開発課	総出荷	0.0	0.0		
230B50100	開発課	社外売	0.0	0.0		
230B50100	開発課	社内売	0.0	0.0		
230B50100	開発課	社内仕入	0.0	0.0		
230B50100	開発課	仕掛1	0.0	0.0		
230B50100	開発課	総生産	0.0	0.0		
230B50100	開発課	経費合計	0.0	0.0		
230B50100	開発課	経費合計(原価)	0.0	0.0		
230B50100	開発課	仕掛2	0.0	0.0		
230B50100	開発課	商品仕入高	0.0	0.0		
230B50100	開発課	原材料費	0.0	0.0		
230B50100	開発課	外注加工費	0.0	0.0		
230B50100	開発課	その他 直接経費	0.0	0.0		
230B50100	開発課	他勘定振替高	0.0	0.0		
230B50100	開発課	経費合計（販管費）	0.0	0.0		
230B50100	開発課	減価償却費	14502432.0	13200000.0	109.8	109.6
230B50100	開発課	車両費	1698928.0	1718500.0	98.8	104.3
230B50100	開発課	旅費交通費	1755968.0	1763000.0	99.6	95.6
230B50100	開発課	荷造運搬費	10000.0	12000.0	83.3	
230B50100	開発課	通信費	206991.0	207000.0	99.9	103.9
230B50100	開発課	水道光熱費	328674.0	336500.0	97.6	107.5
230B50100	開発課	動力費	0.0	0.0		
230B50100	開発課	事務用品費	35024.0	34000.0	103.0	98.4
230B50100	開発課	消耗品費	393145.0	99000.0	397.1	71.2
230B50100	開発課	廃棄物処理料	22177.0	35200.0	63.0	52.6
230B50100	開発課	広告宣伝費	3000.0	3000.0	100.0	104.6
230B50100	開発課	接待交際費	348935.0	360000.0	96.9	183.9
230B50100	開発課	研究開発費	13230000.0	13500000.0	98.0	455.8
230B50100	開発課	アフターサービス費	0.0	0.0		
230B50100	開発課	クレーム費	0.0	0.0		0.0
230B50100	開発課	賃借料	3065920.0	3066000.0	99.9	79.3
230B50100	開発課	賃貸料収入	-1080000.0	-1080000.0		
230B50100	開発課	修繕費	0.0	0.0		
230B50100	開発課	支払リース料	23784.0	24000.0	99.1	101.7
230B50100	開発課	保険料	0.0	0.0		
230B50100	開発課	支払報酬	1345000.0	1345000.0	100.0	238.2
230B50100	開発課	販売手数料	0.0	0.0		
230B50100	開発課	支払手数料	196344.0	195500.0	100.4	145.3
230B50100	開発課	診断料	0.0	0.0		
230B50100	開発課	諸会費	54600.0	54600.0	100.0	139.0
230B50100	開発課	会議費	20000.0	24000.0	83.3	227.5
230B50100	開発課	寄付金	0.0	0.0		
230B50100	開発課	租税公課	471500.0	471500.0	100.0	133.7
230B50100	開発課	業務委託費	480000.0	480000.0	100.0	84.2
230B50100	開発課	業務受託収入	0.0	0.0		
230B50100	開発課	システム管理料	0.0	0.0		
230B50100	開発課	情報機器利用料	4195008.0	4218500.0	99.4	99.0
230B50100	開発課	貸倒金	0.0	0.0		
230B50100	開発課	雑費	12283.0	12000.0	102.3	94.4
230B50100	開発課	福利消耗品費	21678.0	71500.0	30.3	29.3
230B50100	開発課	教育研修費	120268.0	121000.0	99.3	337.9
230B50100	開発課	廃棄損・減耗損	0.0	0.0		
230B50100	開発課	雑給	0.0	0.0		
230B50100	開発課	社内金利（固定資産）	2608222.0	2678600.0	97.3	94.6
230B50100	開発課	社内金利（売掛金）	0.0	0.0		
230B50100	開発課	社内金利（在庫）	0.0	0.0		
230B50100	開発課	営業口銭①（新築）	0.0	0.0		
230B50100	開発課	営業口銭②（リフォ）	0.0	0.0		
230B50100	開発課	開発口銭	0.0	0.0		
230B50100	開発課	部門共通（経費）	-45879481.0	-44760000.0		
230B50100	開発課	グループ共通	1809600.0	1809600.0	100.0	76.9
230B50100	開発課	差引収益	0.0	0.0		
230B50100	開発課	差引比率	0.0	0.0		
230B50100	開発課	総時間	0.0	0.0		
230B50100	開発課	定時間	12077.25	12082.0	99.9	87.0
230B50100	開発課	残業時間	1503.25	1577.0	95.3	125.8
230B50100	開発課	移動時間	-2619.0	-2619.0		
230B50100	開発課	部門共通（時間）	-10961.5	-11040.0		
230B50100	開発課	当月時間当り	0.0	0.0		
230B50100	開発課	人員	7.0	7.0	100.0	87.5
