組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
100A10200	関東営業チーム	総受注高	1133386788.0	2000000000.0	56.6	70.9
100A10200	関東営業チーム	【新築】受注高	457765455.0	1166000000.0	39.2	54.0
100A10200	関東営業チーム	【リフォ】受注高	283962914.0	464000000.0	61.1	75.3
100A10200	関東営業チーム	【資材】受注高	391658419.0	370000000.0	105.8	105.2
100A10200	関東営業チーム	総売上高	1453479275.0	2000000000.0	72.6	110.3
100A10200	関東営業チーム	【新築】売上高	794065455.0	1180000000.0	67.2	147.6
100A10200	関東営業チーム	【リフォ】売上高	284528273.0	450000000.0	63.2	69.0
100A10200	関東営業チーム	【資材】売上高	375677547.0	370792000.0	101.3	101.8
100A10200	関東営業チーム	【新築】インセンティブ	0.0	0.0		
100A10200	関東営業チーム	【リフォ】インセンティブ	0.0	0.0		
100A10200	関東営業チーム	【資材】インセンティブ	-792000.0	-792000.0		
100A10200	関東営業チーム	収益①（営業口銭）	82382512.0	126500000.0	65.1	91.5
100A10200	関東営業チーム	【新築】収益①(営業口銭)	39703272.0	59000000.0	67.2	140.9
100A10200	関東営業チーム	【リフォ】収益①(営業口銭)	42679240.0	67500000.0	63.2	69.0
100A10200	関東営業チーム	【資材】売上原価	308965635.0	307100000.0	100.6	101.5
100A10200	関東営業チーム	収益②（資材）	65919912.0	62900000.0	104.8	104.9
100A10200	関東営業チーム	総収益	148302424.0	189400000.0	78.3	97.2
100A10200	関東営業チーム	経費合計	60242090.0	60791073.0	99.0	85.2
100A10200	関東営業チーム	減価償却費	419422.0	419422.0	100.0	93.6
100A10200	関東営業チーム	車両費	5501547.0	6910000.0	79.6	82.0
100A10200	関東営業チーム	旅費交通費	5839690.0	6100000.0	95.7	117.2
100A10200	関東営業チーム	荷造運搬費	266581.0	300000.0	88.8	235.1
100A10200	関東営業チーム	通信費	1120367.0	1140000.0	98.2	112.2
100A10200	関東営業チーム	水道光熱費	1095579.0	1140000.0	96.1	101.6
100A10200	関東営業チーム	動力費	0.0	0.0		
100A10200	関東営業チーム	事務用品費	317090.0	342000.0	92.7	112.1
100A10200	関東営業チーム	消耗品費	306114.0	288000.0	106.2	124.7
100A10200	関東営業チーム	廃棄物処理料	0.0	0.0		
100A10200	関東営業チーム	広告宣伝費	150000.0	180000.0	83.3	140.6
100A10200	関東営業チーム	接待交際費	784381.0	760000.0	103.2	131.8
100A10200	関東営業チーム	研究開発費	0.0	0.0		
100A10200	関東営業チーム	アフターサービス費	0.0	0.0		
100A10200	関東営業チーム	クレーム費	4090250.0	4000000.0	102.2	28.5
100A10200	関東営業チーム	賃借料	8140133.0	7924200.0	102.7	93.2
100A10200	関東営業チーム	賃貸料収入	-954740.0	-856620.0		
100A10200	関東営業チーム	修繕費	400000.0	400000.0	100.0	45.7
100A10200	関東営業チーム	支払リース料	32225.0	32225.0	100.0	121.9
100A10200	関東営業チーム	保険料	15696.0	15696.0	100.0	133.6
100A10200	関東営業チーム	支払報酬	800000.0	800000.0	100.0	
100A10200	関東営業チーム	販売手数料	0.0	0.0		
100A10200	関東営業チーム	支払手数料	1135332.0	480000.0	236.5	221.5
100A10200	関東営業チーム	診断料	0.0	0.0		
100A10200	関東営業チーム	諸会費	212150.0	240000.0	88.3	135.1
100A10200	関東営業チーム	会議費	0.0	0.0		
100A10200	関東営業チーム	寄付金	0.0	0.0		
100A10200	関東営業チーム	租税公課	147900.0	156000.0	94.8	101.9
100A10200	関東営業チーム	業務委託費	0.0	0.0		0.0
100A10200	関東営業チーム	業務受託収入	0.0	0.0		
100A10200	関東営業チーム	システム管理料	0.0	0.0		
100A10200	関東営業チーム	情報機器利用料	7233590.0	6805500.0	106.2	115.8
100A10200	関東営業チーム	貸倒金	0.0	0.0		
100A10200	関東営業チーム	雑費	203832.0	180000.0	113.2	144.5
100A10200	関東営業チーム	福利消耗品費	89950.0	175000.0	51.4	54.2
100A10200	関東営業チーム	教育研修費	250239.0	240000.0	104.2	153.2
100A10200	関東営業チーム	廃棄損・減耗損	0.0	0.0		0.0
100A10200	関東営業チーム	雑給	0.0	0.0		
100A10200	関東営業チーム	社内金利（固定資産）	152139.0	156000.0	97.5	114.5
100A10200	関東営業チーム	社内金利（売掛金）	240306.0	240000.0	100.1	66.6
100A10200	関東営業チーム	社内金利（在庫）	125330.0	120000.0	104.4	90.0
100A10200	関東営業チーム	開発口銭	0.0	0.0		
100A10200	関東営業チーム	部門共通（経費）	19407787.0	19384450.0	100.1	91.9
100A10200	関東営業チーム	グループ共通	2719200.0	2719200.0	100.0	102.6
100A10200	関東営業チーム	差引収益	88060334.0	128608927.0	68.4	107.5
100A10200	関東営業チーム	差引比率	6.0	6.4	93.7	96.7
100A10200	関東営業チーム	総時間	32138.25	31989.75	100.4	104.1
100A10200	関東営業チーム	定時間	19140.25	19224.0	99.5	118.5
100A10200	関東営業チーム	残業時間	3545.5	3356.0	105.6	113.2
100A10200	関東営業チーム	移動時間	-3153.75	-3234.0		
100A10200	関東営業チーム	部門共通（時間）	12606.25	12643.75	99.7	94.9
100A10200	関東営業チーム	当月時間当り	2740.0	4020.3	68.1	103.2
100A10200	関東営業チーム	人員	10.0	10.0	100.0	111.1
