組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
100A10300	関東営業課	総受注高	1133386788.0	2000000000.0	56.6	70.9
100A10300	関東営業課	【新築】受注高	457765455.0	1166000000.0	39.2	54.0
100A10300	関東営業課	【リフォ】受注高	283962914.0	464000000.0	61.1	75.3
100A10300	関東営業課	【資材】受注高	391658419.0	370000000.0	105.8	105.2
100A10300	関東営業課	総売上高	1453479275.0	2000000000.0	72.6	110.3
100A10300	関東営業課	【新築】売上高	794065455.0	1180000000.0	67.2	147.6
100A10300	関東営業課	【リフォ】売上高	284528273.0	450000000.0	63.2	69.0
100A10300	関東営業課	【資材】売上高	375677547.0	370792000.0	101.3	101.8
100A10300	関東営業課	【新築】インセンティブ	0.0	0.0		
100A10300	関東営業課	【リフォ】インセンティブ	0.0	0.0		
100A10300	関東営業課	【資材】インセンティブ	-792000.0	-792000.0		
100A10300	関東営業課	収益①（営業口銭）	82382512.0	126500000.0	65.1	91.5
100A10300	関東営業課	【新築】収益①(営業口銭)	39703272.0	59000000.0	67.2	140.9
100A10300	関東営業課	【リフォ】収益①(営業口銭)	42679240.0	67500000.0	63.2	69.0
100A10300	関東営業課	【資材】売上原価	308965635.0	307100000.0	100.6	101.5
100A10300	関東営業課	収益②（資材）	65919912.0	62900000.0	104.8	104.9
100A10300	関東営業課	総収益	148302424.0	189400000.0	78.3	97.2
100A10300	関東営業課	総出荷	1078593728.0	1630000000.0	66.1	113.5
100A10300	関東営業課	社外売	1078593728.0	1630000000.0	66.1	113.5
100A10300	関東営業課	社内売	0.0	0.0		
100A10300	関東営業課	社内仕入	290049065.0	385138440.0	75.3	157.2
100A10300	関東営業課	仕掛1	-6087161.0	-5535598.0		
100A10300	関東営業課	総生産	794631824.0	1250397158.0	63.5	104.0
100A10300	関東営業課	経費合計	812977778.0	1249904639.0	65.0	105.0
100A10300	関東営業課	経費合計(原価)	653503090.0	1047097158.0	62.4	109.7
100A10300	関東営業課	仕掛2	-506349.0	101479.0		
100A10300	関東営業課	商品仕入高	417113050.0	627072500.0	66.5	122.1
100A10300	関東営業課	原材料費	0.0	0.0		
100A10300	関東営業課	外注加工費	235029159.0	418013179.0	56.2	91.3
100A10300	関東営業課	その他 直接経費	1867230.0	1910000.0	97.7	
100A10300	関東営業課	他勘定振替高	0.0	0.0		
100A10300	関東営業課	経費合計（販管費）	159474688.0	202807481.0	78.6	89.5
100A10300	関東営業課	減価償却費	419422.0	419422.0	100.0	93.6
100A10300	関東営業課	車両費	9336712.0	9445896.0	98.8	92.3
100A10300	関東営業課	旅費交通費	7631894.0	7760000.0	98.3	104.8
100A10300	関東営業課	荷造運搬費	266581.0	300000.0	88.8	94.5
100A10300	関東営業課	通信費	1252242.0	1272000.0	98.4	110.2
100A10300	関東営業課	水道光熱費	1230902.0	1266000.0	97.2	101.2
100A10300	関東営業課	動力費	0.0	0.0		
100A10300	関東営業課	事務用品費	356497.0	384000.0	92.8	113.9
100A10300	関東営業課	消耗品費	369640.0	360000.0	102.6	76.5
100A10300	関東営業課	廃棄物処理料	0.0	0.0		
100A10300	関東営業課	広告宣伝費	150000.0	180000.0	83.3	140.6
100A10300	関東営業課	接待交際費	784381.0	760000.0	103.2	131.2
100A10300	関東営業課	研究開発費	0.0	0.0		
100A10300	関東営業課	アフターサービス費	0.0	0.0		
100A10300	関東営業課	クレーム費	4090250.0	4000000.0	102.2	28.5
100A10300	関東営業課	賃借料	8672133.0	8620200.0	100.6	91.3
