組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
013000000	㈱アグリコ	総受注高	439770126.0	440000000.0	99.9	135.8
013000000	㈱アグリコ	総売上高	439770126.0	440000000.0	99.9	135.8
013000000	㈱アグリコ	売上高	447292952.0	447900000.0	99.8	134.6
013000000	㈱アグリコ	売上値引	-7522826.0	-7900000.0		
013000000	㈱アグリコ	売上原価	366201473.0	366000000.0	100.0	130.6
013000000	㈱アグリコ	総収益	73568653.0	74000000.0	99.4	169.8
013000000	㈱アグリコ	経費合計	44100758.0	44005293.0	100.2	208.3
013000000	㈱アグリコ	減価償却費	1932205.0	1933927.0	99.9	
013000000	㈱アグリコ	車両費	1614845.0	1640420.0	98.4	191.9
013000000	㈱アグリコ	旅費交通費	489119.0	525300.0	93.1	97.4
013000000	㈱アグリコ	荷造運搬費	1733810.0	1731390.0	100.1	89.3
013000000	㈱アグリコ	通信費	523138.0	546240.0	95.7	244.0
013000000	㈱アグリコ	水道光熱費	946700.0	1038700.0	91.1	
013000000	㈱アグリコ	事務用品費	526205.0	260210.0	202.2	112.5
013000000	㈱アグリコ	消耗品費	91900.0	149600.0	61.4	471.9
013000000	㈱アグリコ	廃棄物処理料	210905.0	210000.0	100.4	
013000000	㈱アグリコ	広告宣伝費	528500.0	529300.0	99.8	279.6
013000000	㈱アグリコ	接待交際費	40820.0	40820.0	100.0	272.1
013000000	㈱アグリコ	賃借料	4520319.0	4506000.0	100.3	753.3
013000000	㈱アグリコ	賃貸料収入	0.0	0.0		
013000000	㈱アグリコ	修繕費	82500.0	82500.0	100.0	
013000000	㈱アグリコ	支払リース料	128200.0	128200.0	100.0	29.3
013000000	㈱アグリコ	保険料	151380.0	151380.0	100.0	54.2
013000000	㈱アグリコ	支払報酬	0.0	0.0		
013000000	㈱アグリコ	販売手数料	0.0	0.0		
013000000	㈱アグリコ	支払手数料	1730421.0	1646400.0	105.1	118.3
013000000	㈱アグリコ	診断料	0.0	0.0		
013000000	㈱アグリコ	諸会費	32000.0	32000.0	100.0	139.1
013000000	㈱アグリコ	会議費	0.0	0.0		
013000000	㈱アグリコ	寄付金	0.0	0.0		
013000000	㈱アグリコ	租税公課	66400.0	68400.0	97.0	74.9
013000000	㈱アグリコ	業務委託費	2050000.0	0.0		
013000000	㈱アグリコ	業務受託収入	0.0	0.0		
013000000	㈱アグリコ	システム管理料	0.0	0.0		
013000000	㈱アグリコ	情報機器利用料	1814530.0	1809600.0	100.2	243.6
013000000	㈱アグリコ	貸倒金	656965.0	656965.0	100.0	
013000000	㈱アグリコ	雑費	580460.0	611787.0	94.8	182.0
013000000	㈱アグリコ	福利消耗品費	0.0	0.0		
013000000	㈱アグリコ	教育研修費	1436.0	2154.0	66.6	
013000000	㈱アグリコ	廃棄損・減耗損	0.0	0.0		
013000000	㈱アグリコ	雑給	66000.0	72000.0	91.6	47.6
013000000	㈱アグリコ	社内金利（固定資産）	0.0	0.0		
013000000	㈱アグリコ	社内金利（売掛金）	0.0	0.0		
013000000	㈱アグリコ	部門共通（経費）	0.0	0.0		
013000000	㈱アグリコ	グループ共通	23582000.0	25632000.0	92.0	182.9
013000000	㈱アグリコ	差引収益	29467895.0	29994707.0	98.2	133.1
013000000	㈱アグリコ	差引比率	6.7	6.8	98.5	98.5
013000000	㈱アグリコ	総時間	12058.5	13849.0	87.0	168.3
013000000	㈱アグリコ	定時間	11160.5	13158.0	84.8	166.3
013000000	㈱アグリコ	残業時間	730.0	691.0	105.6	162.1
013000000	㈱アグリコ	移動時間	168.0	0.0		
013000000	㈱アグリコ	部門共通（時間）	0.0	0.0		
013000000	㈱アグリコ	当月時間当り	2443.7	2165.8	112.8	79.0
013000000	㈱アグリコ	人員	7.0	7.0	100.0	175.0
