組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
014000000	イノチオ・フジプランツ㈱	総受注高	367574100.0	366000000.0	100.4	103.6
014000000	イノチオ・フジプランツ㈱	総売上高	382568330.0	377100000.0	101.4	92.3
014000000	イノチオ・フジプランツ㈱	カーネーション売上高	372356650.0	365600000.0	101.8	92.8
014000000	イノチオ・フジプランツ㈱	カスミ草売上高	1513800.0	1654200.0	91.5	80.3
014000000	イノチオ・フジプランツ㈱	その他の売上	722500.0	565800.0	127.6	70.5
014000000	イノチオ・フジプランツ㈱	送料	7975380.0	9280000.0	85.9	77.7
014000000	イノチオ・フジプランツ㈱	売上原価	208119498.0	218066533.0	95.4	89.5
014000000	イノチオ・フジプランツ㈱	苗仕入	187293947.0	191874761.0	97.6	90.7
014000000	イノチオ・フジプランツ㈱	送料他	1623607.0	2123919.0	76.4	
014000000	イノチオ・フジプランツ㈱	在庫増減	-5059909.0	0.0		
014000000	イノチオ・フジプランツ㈱	パテント仕入	24261853.0	24067853.0	100.8	92.8
014000000	イノチオ・フジプランツ㈱	社内売	0.0	0.0		
014000000	イノチオ・フジプランツ㈱	社内仕入	0.0	0.0		
014000000	イノチオ・フジプランツ㈱	総収益	174448832.0	159033467.0	109.6	96.0
014000000	イノチオ・フジプランツ㈱	経費合計	85330109.0	83865139.0	101.7	94.2
014000000	イノチオ・フジプランツ㈱	種苗費	18999601.0	17460276.0	108.8	110.0
014000000	イノチオ・フジプランツ㈱	肥料費	0.0	0.0		
014000000	イノチオ・フジプランツ㈱	培土費用	11754743.0	10595343.0	110.9	106.9
014000000	イノチオ・フジプランツ㈱	農薬衛生費	0.0	0.0		
014000000	イノチオ・フジプランツ㈱	農具費	0.0	0.0		
014000000	イノチオ・フジプランツ㈱	諸材料費	1184800.0	1033200.0	114.6	126.1
014000000	イノチオ・フジプランツ㈱	その他仕入高	0.0	0.0		
014000000	イノチオ・フジプランツ㈱	減価償却費	5296173.0	5305586.0	99.8	122.6
014000000	イノチオ・フジプランツ㈱	車両費	1978354.0	1983631.0	99.7	95.6
014000000	イノチオ・フジプランツ㈱	旅費交通費	5242740.0	4942000.0	106.0	101.9
014000000	イノチオ・フジプランツ㈱	荷造運搬費	13771032.0	14017196.0	98.2	90.5
014000000	イノチオ・フジプランツ㈱	通信費	1054118.0	1054154.0	99.9	94.4
014000000	イノチオ・フジプランツ㈱	水道光熱費	2026537.0	2040000.0	99.3	101.2
014000000	イノチオ・フジプランツ㈱	動力費	0.0	0.0		
014000000	イノチオ・フジプランツ㈱	燃料費	0.0	0.0		
014000000	イノチオ・フジプランツ㈱	事務用品費	499499.0	490000.0	101.9	94.6
014000000	イノチオ・フジプランツ㈱	消耗品費	197012.0	565000.0	34.8	82.4
