組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
002000000	イノチオプラントケア㈱	総受注高	13718368423.0	13500000000.0	101.6	103.8
002000000	イノチオプラントケア㈱	受注高	13928995466.0	13717049000.0	101.5	103.4
002000000	イノチオプラントケア㈱	受注割戻高	-210627043.0	-217049000.0		
002000000	イノチオプラントケア㈱	総売上高	13730661376.0	13500000000.0	101.7	104.5
002000000	イノチオプラントケア㈱	売上高	13943610772.0	13717049000.0	101.6	104.1
002000000	イノチオプラントケア㈱	売上割戻高	-212949396.0	-217049000.0		
002000000	イノチオプラントケア㈱	売上原価	11494593561.0	11270000000.0	101.9	103.4
002000000	イノチオプラントケア㈱	売上原価（割戻前）	11494593561.0	11270000000.0	101.9	103.4
002000000	イノチオプラントケア㈱	仕入割戻高	0.0	0.0		
002000000	イノチオプラントケア㈱	総収益	2236067815.0	2230000000.0	100.2	110.5
002000000	イノチオプラントケア㈱	経費合計	966481744.0	950462861.0	101.6	105.2
002000000	イノチオプラントケア㈱	減価償却費	72593964.0	73956844.0	98.1	101.2
002000000	イノチオプラントケア㈱	車両費	100194287.0	100976117.0	99.2	103.2
002000000	イノチオプラントケア㈱	旅費交通費	40116581.0	40576066.0	98.8	105.6
002000000	イノチオプラントケア㈱	荷造運搬費	165241280.0	162721211.0	101.5	96.4
002000000	イノチオプラントケア㈱	通信費	16108915.0	16283488.0	98.9	98.4
002000000	イノチオプラントケア㈱	水道光熱費	11312482.0	11463813.0	98.6	97.9
002000000	イノチオプラントケア㈱	事務用品費	5617063.0	5682424.0	98.8	89.4
002000000	イノチオプラントケア㈱	消耗品費	15421658.0	13868537.0	111.1	103.7
002000000	イノチオプラントケア㈱	廃棄物処理料	3870915.0	3482893.0	111.1	117.5
002000000	イノチオプラントケア㈱	広告宣伝費	13560891.0	13315749.0	101.8	106.7
002000000	イノチオプラントケア㈱	接待交際費	7436397.0	7356124.0	101.0	110.7
002000000	イノチオプラントケア㈱	研究開発費	1526241.0	1584000.0	96.3	111.0
002000000	イノチオプラントケア㈱	賃借料	83691208.0	84075904.0	99.5	99.5
002000000	イノチオプラントケア㈱	賃貸料収入	-1857281.0	-1845281.0		
002000000	イノチオプラントケア㈱	修繕費	8325570.0	8828167.0	94.3	241.6
002000000	イノチオプラントケア㈱	支払リース料	1661520.0	1656026.0	100.3	88.2
002000000	イノチオプラントケア㈱	保険料	4641801.0	4588098.0	101.1	107.0
002000000	イノチオプラントケア㈱	支払報酬	3037570.0	3114098.0	97.5	103.9
002000000	イノチオプラントケア㈱	販売手数料	186834860.0	174618327.0	106.9	132.8
002000000	イノチオプラントケア㈱	支払手数料	11911720.0	11968158.0	99.5	103.2
002000000	イノチオプラントケア㈱	診断料	8025010.0	8449300.0	94.9	93.8
002000000	イノチオプラントケア㈱	諸会費	4977185.0	4870235.0	102.1	96.2
002000000	イノチオプラントケア㈱	会議費	1794792.0	1793542.0	100.0	
002000000	イノチオプラントケア㈱	寄付金	51900.0	51900.0	100.0	85.4
002000000	イノチオプラントケア㈱	租税公課	11765117.0	11805168.0	99.6	99.9
002000000	イノチオプラントケア㈱	業務委託費	77505772.0	72464502.0	106.9	102.5
002000000	イノチオプラントケア㈱	業務受託収入	-2866875.0	-2845057.0		
002000000	イノチオプラントケア㈱	システム管理料	24169739.0	24483083.0	98.7	105.0
002000000	イノチオプラントケア㈱	情報機器利用料	37584094.0	38475736.0	97.6	108.9
002000000	イノチオプラントケア㈱	貸倒金	0.0	0.0		0.0
002000000	イノチオプラントケア㈱	雑費	5028157.0	4882213.0	102.9	60.3
002000000	イノチオプラントケア㈱	福利消耗品費	2350409.0	3102869.0	75.7	159.9
002000000	イノチオプラントケア㈱	教育研修費	3742561.0	3541607.0	105.6	125.2
002000000	イノチオプラントケア㈱	廃棄損・減耗損	2094241.0	2105000.0	99.4	14.4
002000000	イノチオプラントケア㈱	雑給	0.0	0.0		
002000000	イノチオプラントケア㈱	社内金利（固定資産）	0.0	0.0		
002000000	イノチオプラントケア㈱	社内金利（売掛金）	0.0	0.0		
002000000	イノチオプラントケア㈱	社内金利（在庫）	0.0	0.0		
002000000	イノチオプラントケア㈱	部門共通（経費）	0.0	0.0		
002000000	イノチオプラントケア㈱	全社共通（経費）	0.0	0.0		
002000000	イノチオプラントケア㈱	グループ共通	39012000.0	39012000.0	100.0	95.7
002000000	イノチオプラントケア㈱	差引収益	1269586071.0	1279537139.0	99.2	114.9
002000000	イノチオプラントケア㈱	差引比率	9.2	9.4	97.8	109.5
002000000	イノチオプラントケア㈱	総時間	356850.5	357211.75	99.8	103.0
002000000	イノチオプラントケア㈱	定時間	327979.75	328212.25	99.9	103.2
002000000	イノチオプラントケア㈱	残業時間	23303.5	23236.75	100.2	95.7
002000000	イノチオプラントケア㈱	移動時間	5567.25	5762.75	96.6	126.1
002000000	イノチオプラントケア㈱	部門共通（時間）	0.0	0.0		
002000000	イノチオプラントケア㈱	全社共通（時間）	0.0	0.0		
002000000	イノチオプラントケア㈱	当月時間当り	3557.7	3582.0	99.3	111.5
002000000	イノチオプラントケア㈱	人員	176.0	176.0	100.0	98.8
