組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
002090100	イノチオプラントケア本社	総受注高	0.0	0.0		
002090100	イノチオプラントケア本社	受注高	0.0	0.0		
002090100	イノチオプラントケア本社	受注割戻高	0.0	0.0		
002090100	イノチオプラントケア本社	総売上高	0.0	0.0		
002090100	イノチオプラントケア本社	売上高	0.0	0.0		
002090100	イノチオプラントケア本社	売上割戻高	0.0	0.0		
002090100	イノチオプラントケア本社	売上原価	0.0	0.0		
002090100	イノチオプラントケア本社	売上原価（割戻前）	0.0	0.0		
002090100	イノチオプラントケア本社	仕入割戻高	0.0	0.0		
002090100	イノチオプラントケア本社	総収益	0.0	0.0		
002090100	イノチオプラントケア本社	経費合計	38461279.0	35669234.0	107.8	115.7
002090100	イノチオプラントケア本社	減価償却費	54250857.0	54314705.0	99.8	102.2
002090100	イノチオプラントケア本社	車両費	151203.0	150000.0	100.8	88.4
002090100	イノチオプラントケア本社	旅費交通費	2701931.0	2620000.0	103.1	111.2
002090100	イノチオプラントケア本社	荷造運搬費	632215.0	632500.0	99.9	480.9
002090100	イノチオプラントケア本社	通信費	864429.0	852824.0	101.3	100.5
002090100	イノチオプラントケア本社	水道光熱費	0.0	0.0		
002090100	イノチオプラントケア本社	事務用品費	10700.0	15600.0	68.5	7.9
002090100	イノチオプラントケア本社	消耗品費	0.0	0.0		0.0
002090100	イノチオプラントケア本社	廃棄物処理料	0.0	0.0		
002090100	イノチオプラントケア本社	広告宣伝費	4500.0	4500.0	100.0	99.0
002090100	イノチオプラントケア本社	接待交際費	1800483.0	1590000.0	113.2	151.1
002090100	イノチオプラントケア本社	研究開発費	0.0	0.0		
002090100	イノチオプラントケア本社	賃借料	50000.0	50000.0	100.0	385.8
002090100	イノチオプラントケア本社	賃貸料収入	-25000.0	-25000.0		
002090100	イノチオプラントケア本社	修繕費	4470000.0	4411000.0	101.3	
002090100	イノチオプラントケア本社	支払リース料	0.0	0.0		0.0
002090100	イノチオプラントケア本社	保険料	88460.0	72000.0	122.8	123.0
002090100	イノチオプラントケア本社	支払報酬	6603540.0	3114098.0	212.0	226.8
002090100	イノチオプラントケア本社	販売手数料	0.0	0.0		
002090100	イノチオプラントケア本社	支払手数料	3424090.0	3380490.0	101.2	107.3
002090100	イノチオプラントケア本社	診断料	0.0	0.0		
002090100	イノチオプラントケア本社	諸会費	3105166.0	3101000.0	100.1	100.1
002090100	イノチオプラントケア本社	会議費	903000.0	1200000.0	75.2	
002090100	イノチオプラントケア本社	寄付金	0.0	0.0		
002090100	イノチオプラントケア本社	租税公課	4548400.0	4710250.0	96.5	98.8
002090100	イノチオプラントケア本社	業務委託費	0.0	0.0		
002090100	イノチオプラントケア本社	業務受託収入	-1200000.0	-1200000.0		
002090100	イノチオプラントケア本社	システム管理料	22292483.0	22578083.0	98.7	99.3
002090100	イノチオプラントケア本社	情報機器利用料	-76579200.0	-76593816.0		
002090100	イノチオプラントケア本社	貸倒金	0.0	0.0		
002090100	イノチオプラントケア本社	雑費	673786.0	683000.0	98.6	125.9
002090100	イノチオプラントケア本社	福利消耗品費	952000.0	1252000.0	76.0	
002090100	イノチオプラントケア本社	教育研修費	0.0	0.0		0.0
002090100	イノチオプラントケア本社	廃棄損・減耗損	0.0	0.0		
002090100	イノチオプラントケア本社	雑給	0.0	0.0		
002090100	イノチオプラントケア本社	社内金利（固定資産）	8738236.0	8756000.0	99.7	75.1
002090100	イノチオプラントケア本社	社内金利（売掛金）	0.0	0.0		
002090100	イノチオプラントケア本社	社内金利（在庫）	0.0	0.0		
002090100	イノチオプラントケア本社	部門共通（経費）	0.0	0.0		
002090100	イノチオプラントケア本社	全社共通（経費）	0.0	0.0		
002090100	イノチオプラントケア本社	グループ共通	0.0	0.0		
002090100	イノチオプラントケア本社	差引収益	-38461279.0	-35669234.0		
002090100	イノチオプラントケア本社	差引比率	0.0	0.0		
002090100	イノチオプラントケア本社	総時間	2232.0	2232.0	100.0	100.0
002090100	イノチオプラントケア本社	定時間	1984.0	1984.0	100.0	100.0
002090100	イノチオプラントケア本社	残業時間	248.0	248.0	100.0	100.0
002090100	イノチオプラントケア本社	移動時間	0.0	0.0		
002090100	イノチオプラントケア本社	部門共通（時間）	0.0	0.0		
002090100	イノチオプラントケア本社	全社共通（時間）	0.0	0.0		
002090100	イノチオプラントケア本社	当月時間当り	-17231.7	-15980.8		
002090100	イノチオプラントケア本社	人員	1.0	1.0	100.0	100.0
