組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I60100	オペレーション部	総受注高	0.0	0.0		
230I60100	オペレーション部	受注高	0.0	0.0		
230I60100	オペレーション部	受注割戻高	0.0	0.0		
230I60100	オペレーション部	総売上高	0.0	0.0		
230I60100	オペレーション部	売上高	0.0	0.0		
230I60100	オペレーション部	売上割戻高	0.0	0.0		
230I60100	オペレーション部	売上原価	0.0	0.0		
230I60100	オペレーション部	売上原価（割戻前）	0.0	0.0		
230I60100	オペレーション部	仕入割戻高	0.0	0.0		
230I60100	オペレーション部	総収益	0.0	0.0		
230I60100	オペレーション部	経費合計	0.0	0.0		
230I60100	オペレーション部	減価償却費	259822.0	259822.0	100.0	29.8
230I60100	オペレーション部	車両費	340154.0	337704.0	100.7	2.7
230I60100	オペレーション部	旅費交通費	1416612.0	1153020.0	122.8	92.0
230I60100	オペレーション部	荷造運搬費	502.0	555.0	90.4	4.9
230I60100	オペレーション部	通信費	1018504.0	1007484.0	101.0	86.0
230I60100	オペレーション部	水道光熱費	717479.0	720900.0	99.5	37.2
230I60100	オペレーション部	事務用品費	393536.0	387900.0	101.4	42.1
230I60100	オペレーション部	消耗品費	63713.0	63000.0	101.1	5.4
230I60100	オペレーション部	廃棄物処理料	263419.0	277650.0	94.8	45.9
230I60100	オペレーション部	広告宣伝費	0.0	0.0		
230I60100	オペレーション部	接待交際費	40000.0	48000.0	83.3	90.8
230I60100	オペレーション部	研究開発費	0.0	0.0		
230I60100	オペレーション部	賃借料	480268.0	480180.0	100.0	7.2
230I60100	オペレーション部	賃貸料収入	-1001.0	-1001.0		
230I60100	オペレーション部	修繕費	330662.0	339870.0	97.2	59.1
230I60100	オペレーション部	支払リース料	87221.0	87225.0	99.9	31.5
230I60100	オペレーション部	保険料	37530.0	37533.0	99.9	26.9
230I60100	オペレーション部	支払報酬	0.0	0.0		
230I60100	オペレーション部	販売手数料	0.0	0.0		
230I60100	オペレーション部	支払手数料	181131.0	186290.0	97.2	54.2
230I60100	オペレーション部	診断料	0.0	0.0		
230I60100	オペレーション部	諸会費	42718.0	36718.0	116.3	20.6
230I60100	オペレーション部	会議費	0.0	0.0		
230I60100	オペレーション部	寄付金	1900.0	1900.0	100.0	29.9
230I60100	オペレーション部	租税公課	177025.0	176626.0	100.2	30.4
230I60100	オペレーション部	業務委託費	0.0	0.0		0.0
230I60100	オペレーション部	業務受託収入	0.0	0.0		
230I60100	オペレーション部	システム管理料	0.0	0.0		
230I60100	オペレーション部	情報機器利用料	9734448.0	9734448.0	100.0	35.8
230I60100	オペレーション部	貸倒金	0.0	0.0		
230I60100	オペレーション部	雑費	150460.0	155694.0	96.6	39.0
230I60100	オペレーション部	福利消耗品費	21124.0	149915.0	14.0	6.8
230I60100	オペレーション部	教育研修費	721830.0	735976.0	98.0	237.3
230I60100	オペレーション部	廃棄損・減耗損	0.0	0.0		
230I60100	オペレーション部	雑給	0.0	0.0		
230I60100	オペレーション部	社内金利（固定資産）	143261.0	143266.0	99.9	29.1
230I60100	オペレーション部	社内金利（売掛金）	0.0	0.0		
230I60100	オペレーション部	社内金利（在庫）	0.0	0.0		
230I60100	オペレーション部	部門共通（経費）	0.0	0.0		
230I60100	オペレーション部	全社共通（経費）	-19795118.0	-19693475.0		
230I60100	オペレーション部	グループ共通	3172800.0	3172800.0	100.0	26.0
230I60100	オペレーション部	差引収益	0.0	0.0		
230I60100	オペレーション部	差引比率	0.0	0.0		
230I60100	オペレーション部	総時間	0.0	0.0		
230I60100	オペレーション部	定時間	23799.5	23699.5	100.4	26.3
230I60100	オペレーション部	残業時間	1388.5	1252.75	110.8	27.7
230I60100	オペレーション部	移動時間	-1153.0	-1147.0		
230I60100	オペレーション部	部門共通（時間）	0.0	0.0		
230I60100	オペレーション部	全社共通（時間）	-24035.0	-23805.25		
230I60100	オペレーション部	当月時間当り	0.0	0.0		
230I60100	オペレーション部	人員	13.0	13.0	100.0	25.0
