組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
002010200	カスタマーソリューション本部	総受注高	9817851125.0	9740000000.0	100.7	100.9
002010200	カスタマーソリューション本部	受注高	10028478168.0	9957049000.0	100.7	100.5
002010200	カスタマーソリューション本部	受注割戻高	-210627043.0	-217049000.0		
002010200	カスタマーソリューション本部	総売上高	9827159869.0	9740000000.0	100.8	101.4
002010200	カスタマーソリューション本部	売上高	10040109265.0	9957049000.0	100.8	101.0
002010200	カスタマーソリューション本部	売上割戻高	-212949396.0	-217049000.0		
002010200	カスタマーソリューション本部	売上原価	8108401244.0	8023000000.0	101.0	100.2
002010200	カスタマーソリューション本部	売上原価（割戻前）	8108401244.0	8023000000.0	101.0	100.2
002010200	カスタマーソリューション本部	仕入割戻高	0.0	0.0		
002010200	カスタマーソリューション本部	総収益	1718758625.0	1717000000.0	100.1	107.8
002010200	カスタマーソリューション本部	経費合計	638804973.0	636930064.0	100.2	97.7
002010200	カスタマーソリューション本部	減価償却費	7354259.0	7354151.0	100.0	45.0
002010200	カスタマーソリューション本部	車両費	71409389.0	72027242.0	99.1	96.2
002010200	カスタマーソリューション本部	旅費交通費	17984825.0	18005646.0	99.8	75.4
002010200	カスタマーソリューション本部	荷造運搬費	24682047.0	25466784.0	96.9	92.6
002010200	カスタマーソリューション本部	通信費	9031942.0	9361179.0	96.4	87.1
002010200	カスタマーソリューション本部	水道光熱費	6596752.0	6721240.0	98.1	87.2
002010200	カスタマーソリューション本部	事務用品費	3621246.0	3673802.0	98.5	86.3
002010200	カスタマーソリューション本部	消耗品費	1681469.0	1273422.0	132.0	81.0
002010200	カスタマーソリューション本部	廃棄物処理料	1818079.0	1795292.0	101.2	92.9
002010200	カスタマーソリューション本部	広告宣伝費	2854275.0	2911718.0	98.0	22.0
002010200	カスタマーソリューション本部	接待交際費	4221876.0	4348764.0	97.0	95.5
002010200	カスタマーソリューション本部	研究開発費	0.0	0.0		0.0
002010200	カスタマーソリューション本部	賃借料	46112638.0	46405246.0	99.3	94.3
002010200	カスタマーソリューション本部	賃貸料収入	-1167280.0	-1155280.0		
002010200	カスタマーソリューション本部	修繕費	1596019.0	1981050.0	80.5	89.4
002010200	カスタマーソリューション本部	支払リース料	1058550.0	1052808.0	100.5	88.5
002010200	カスタマーソリューション本部	保険料	1375763.0	1373655.0	100.1	50.9
002010200	カスタマーソリューション本部	支払報酬	16200.0	0.0		162.0
002010200	カスタマーソリューション本部	販売手数料	0.0	0.0		
002010200	カスタマーソリューション本部	支払手数料	4403209.0	4422641.0	99.5	85.1
002010200	カスタマーソリューション本部	診断料	6325610.0	6526300.0	96.9	91.8
002010200	カスタマーソリューション本部	諸会費	994830.0	957880.0	103.8	77.0
002010200	カスタマーソリューション本部	会議費	61977.0	57727.0	107.3	58.3
002010200	カスタマーソリューション本部	寄付金	38000.0	38000.0	100.0	91.1
002010200	カスタマーソリューション本部	租税公課	5712333.0	5754154.0	99.2	97.6
002010200	カスタマーソリューション本部	業務委託費	38251785.0	32170132.0	118.9	99.0
002010200	カスタマーソリューション本部	業務受託収入	-1666875.0	-1645057.0		
002010200	カスタマーソリューション本部	システム管理料	420000.0	465000.0	90.3	78.3
002010200	カスタマーソリューション本部	情報機器利用料	66092128.0	66069310.0	100.0	107.0
002010200	カスタマーソリューション本部	貸倒金	0.0	0.0		0.0
002010200	カスタマーソリューション本部	雑費	2749024.0	2730640.0	100.6	81.5
002010200	カスタマーソリューション本部	福利消耗品費	557295.0	964834.0	57.7	61.9
002010200	カスタマーソリューション本部	教育研修費	1497228.0	1497525.0	99.9	61.4
002010200	カスタマーソリューション本部	廃棄損・減耗損	6411533.0	6393000.0	100.2	71.5
002010200	カスタマーソリューション本部	雑給	0.0	0.0		
002010200	カスタマーソリューション本部	社内金利（固定資産）	3218071.0	3221495.0	99.8	62.6
002010200	カスタマーソリューション本部	社内金利（売掛金）	35826235.0	35871757.0	99.8	98.0
002010200	カスタマーソリューション本部	社内金利（在庫）	32084744.0	32825186.0	97.7	92.8
002010200	カスタマーソリューション本部	部門共通（経費）	56529373.0	57914118.0	97.6	
002010200	カスタマーソリューション本部	全社共通（経費）	157612424.0	156660703.0	100.6	83.6
002010200	カスタマーソリューション本部	グループ共通	21438000.0	21438000.0	100.0	96.8
002010200	カスタマーソリューション本部	差引収益	1079953652.0	1080069936.0	99.9	114.9
002010200	カスタマーソリューション本部	差引比率	10.9	11.0	99.0	112.3
002010200	カスタマーソリューション本部	総時間	275275.0	275238.25	100.0	97.7
002010200	カスタマーソリューション本部	定時間	176990.25	174771.0	101.2	101.2
002010200	カスタマーソリューション本部	残業時間	13086.25	13427.0	97.4	90.8
002010200	カスタマーソリューション本部	移動時間	13209.0	13445.5	98.2	116.7
002010200	カスタマーソリューション本部	部門共通（時間）	20457.25	21328.5	95.9	
002010200	カスタマーソリューション本部	全社共通（時間）	51532.25	52266.25	98.5	63.0
002010200	カスタマーソリューション本部	当月時間当り	3923.1	3924.1	99.9	117.5
002010200	カスタマーソリューション本部	人員	94.0	93.0	101.0	97.9
