組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I10300	ドローン課	総受注高	0.0	0.0		
230I10300	ドローン課	受注高	0.0	0.0		
230I10300	ドローン課	受注割戻高	0.0	0.0		
230I10300	ドローン課	総売上高	0.0	0.0		
230I10300	ドローン課	売上高	0.0	0.0		
230I10300	ドローン課	売上割戻高	0.0	0.0		
230I10300	ドローン課	売上原価	0.0	0.0		
230I10300	ドローン課	売上原価（割戻前）	0.0	0.0		
230I10300	ドローン課	仕入割戻高	0.0	0.0		
230I10300	ドローン課	総収益	0.0	0.0		
230I10300	ドローン課	経費合計	0.0	0.0		
230I10300	ドローン課	減価償却費	8814156.0	10594000.0	83.1	98.7
230I10300	ドローン課	車両費	2716380.0	2756200.0	98.5	102.2
230I10300	ドローン課	旅費交通費	2081677.0	2082500.0	99.9	109.6
230I10300	ドローン課	荷造運搬費	11174.0	15200.0	73.5	72.2
230I10300	ドローン課	通信費	361774.0	365200.0	99.0	110.3
230I10300	ドローン課	水道光熱費	586583.0	579200.0	101.2	98.2
230I10300	ドローン課	事務用品費	61577.0	75900.0	81.1	98.1
230I10300	ドローン課	消耗品費	465210.0	313700.0	148.2	113.5
230I10300	ドローン課	廃棄物処理料	64216.0	60400.0	106.3	95.3
230I10300	ドローン課	広告宣伝費	36500.0	21500.0	169.7	
230I10300	ドローン課	接待交際費	35000.0	60000.0	58.3	88.3
230I10300	ドローン課	研究開発費	0.0	0.0		
230I10300	ドローン課	賃借料	1375440.0	1376200.0	99.9	99.7
230I10300	ドローン課	賃貸料収入	0.0	0.0		
230I10300	ドローン課	修繕費	68918.0	95500.0	72.1	13.6
230I10300	ドローン課	支払リース料	37020.0	37200.0	99.5	91.0
230I10300	ドローン課	保険料	1614712.0	1615300.0	99.9	112.0
230I10300	ドローン課	支払報酬	0.0	0.0		
230I10300	ドローン課	販売手数料	0.0	0.0		
230I10300	ドローン課	支払手数料	1059190.0	1060500.0	99.8	376.9
230I10300	ドローン課	診断料	0.0	0.0		
230I10300	ドローン課	諸会費	25780.0	27800.0	92.7	82.5
230I10300	ドローン課	会議費	0.0	0.0		
230I10300	ドローン課	寄付金	0.0	0.0		
230I10300	ドローン課	租税公課	178412.0	171400.0	104.0	100.2
230I10300	ドローン課	業務委託費	1679766.0	1160000.0	144.8	69.6
230I10300	ドローン課	業務受託収入	0.0	0.0		
230I10300	ドローン課	システム管理料	0.0	0.0		
230I10300	ドローン課	情報機器利用料	2433400.0	2433600.0	99.9	111.1
230I10300	ドローン課	貸倒金	0.0	0.0		
230I10300	ドローン課	雑費	64108.0	55700.0	115.0	92.4
230I10300	ドローン課	福利消耗品費	39476.0	38600.0	102.2	212.4
230I10300	ドローン課	教育研修費	820624.0	515600.0	159.1	
230I10300	ドローン課	廃棄損・減耗損	0.0	0.0		
230I10300	ドローン課	雑給	0.0	0.0		
230I10300	ドローン課	社内金利（固定資産）	1463396.0	1614500.0	90.6	84.2
230I10300	ドローン課	社内金利（売掛金）	0.0	0.0		
230I10300	ドローン課	社内金利（在庫）	0.0	0.0		
230I10300	ドローン課	部門共通（経費）	-26827689.0	-27858900.0		
230I10300	ドローン課	全社共通（経費）	0.0	0.0		
230I10300	ドローン課	グループ共通	733200.0	733200.0	100.0	98.2
230I10300	ドローン課	差引収益	0.0	0.0		
230I10300	ドローン課	差引比率	0.0	0.0		
230I10300	ドローン課	総時間	0.0	0.0		
230I10300	ドローン課	定時間	5775.0	5832.0	99.0	101.1
230I10300	ドローン課	残業時間	478.25	528.0	90.5	97.9
230I10300	ドローン課	移動時間	672.0	767.0	87.6	
230I10300	ドローン課	部門共通（時間）	-6925.25	-7127.0		
230I10300	ドローン課	全社共通（時間）	0.0	0.0		
230I10300	ドローン課	当月時間当り	0.0	0.0		
230I10300	ドローン課	人員	3.0	3.0	100.0	100.0
